E,sigma_mb,sigma_err_mb,proj
4.0,1719,43,p
4.5,1605,100,p
5.0,1486,40,p
5.0,1546,80,p
5.2,1506,60,p
5.55,1260,130,n
5.6,1429,70,p
6.0,1293,33,p
6.5,1172,70,p
7.0,1031,100,n
7.5,1024,60,p
7.85,1092,50,p
8.0,966,100,n
8.0,1020,30,p
8.5,882,50,p
9.0,823,80,n
9.0,858,50,p
9.5,836,50,p
9.7,915,50,p
10.0,835,30,p
11.5,740,50,p
12.2,716,45,p
13.9,612,30,p
14.1,650,10,n
18.55,485,100,n
20.5,449,70,n
20.6,367,20,p
22.0,365,17,p
23.0,413,40,n
25.7,316,25,p
25.75,276,27,p
26.0,322,30,p
30.4,229,25,p
31.0,220,12,p
31.0,253,15,p
35.0,185,7,p
36.0,196,20,n
40.0,162,10,p
46.3,121.5,4,p
46.3,146,15,n
49.4,106.6,6.4,p
77.0,56,3,p
95.0,42,2,p
135.0,17.8,0.7,p
146.0,19.6,0.5,p
155.0,19.3,1.4,p
240.0,9.5,1.0,p
330.0,9.2,1.4,p
450.0,7.3,4.0,n
903.0,6.0,1.2,p
1496.0,4.0,0.9,p
2100.0,4.7,0.5,p
3530.0,4.7,0.6,p
4700.0,4.5,0.6,p
7600.0,5.0,0.5,p
18400.0,5.2,0.7,p
