E_MeV,sigma_mb,sigma_err_mb,proj
2.0,2376.0,60.0,p
2.0,2562.0,40.0,n
2.08,2274.0,70.0,p
2.3,2200.0,150.0,n
2.53,2155.0,70.0,p
2.65,2160.0,100.0,n
2.8,2200.0,90.0,n
3.0,2174.0,50.0,n
3.0,1987.0,50.0,p
3.0,1979.0,60.0,p
3.2,2030.0,70.0,n
3.5,1900.0,80.0,n
4.0,1790.0,60.0,n
4.4,1794.0,30.0,n
4.7,1655.0,40.0,n
6.0,1420.0,30.0,n
6.5,1421.0,30.0,n
7.17,1320.0,20.0,n
7.7,1200.0,20.0,n
8.25,1211.0,20.0,n
8.77,1120.0,20.0,n
10.0,1040.0,20.0,n
11.13,1020.0,20.0,n
12.0,890.0,20.0,n
13.13,880.0,20.0,n
14.1,803.0,14.0,n
15.0,710.0,20.0,n
15.5,751.0,14.0,n
17.5,688.0,17.0,n
17.8,686.0,8.0,n
19.0,635.0,14.0,n
20.6,600.0,10.0,n
21.5,572.0,10.0,n
22.5,542.0,12.0,n
25.3,513.0,9.0,n
27.5,447.0,9.0,n
29.0,440.0,7.0,n
32.5,375.0,7.0,n
39.5,303.0,7.0,n
42.0,289.0,13.0,n
45.5,258.0,6.0,n
51.5,219.0,5.0,n
60.5,181.0,5.0,n
69.5,158.0,4.0,n
77.0,151.0,10.0,p
81.5,130.0,3.5,n
85.0,117.0,5.0,n
88.2,118.0,2.0,n
90.5,116.0,3.5,n
95.0,104.0,4.0,n
95.0,98.0,7.0,p
98.1,107.0,1.8,n
102.5,105.0,3.0,n
109.0,98.0,6.0,n
110.0,96.0,1.6,n
112.5,98.1,4.0,n
117.0,90.4,5.0,n
119.6,88.8,1.5,n
129.4,82.9,1.4,n
132.0,82.0,4.0,n
135.0,79.0,5.0,p
140.9,78.4,1.3,n
149.0,76.8,4.0,n
150.9,75.4,1.3,n
156.0,70.7,2.0,n
169.0,71.3,4.0,n
208.0,61.0,4.0,p
270.0,57.0,3.0,n
280.0,49.0,5.0,n
315.0,56.8,5.0,p
350.0,58.9,1.0,n
380.0,57.0,2.5,n
380.0,53.2,2.1,p
408.0,55.6,2.2,p
410.0,62.0,4.0,n
500.0,65.0,2.5,n
519.0,67.209,0.09,p
655.0,76.905,0.11,p
754.0,80.49,0.057,p
968.0,82.889,0.063,p
1215.0,84.26,0.046,p
1528.0,84.624,0.047,p
1902.0,84.085,0.044,p
2494.0,82.73,0.047,p
3077.0,81.107,0.033,p
4116.0,79.632,0.047,p
4967.0,79.091,0.047,p
5100.0,77.4,1.3,p
6957.0,77.858,0.052,p
7100.0,76.2,1.3,p
9100.0,73.3,1.1,n
11100.0,74.4,1.3,p
13700.0,72.2,1.5,n
15100.0,73.7,1.3,p
18400.0,74.1,0.7,p
21100.0,71.6,1.3,p
26100.0,69.7,0.7,n
