#T9 	adopted 	low 	high                                                       
  0.003  1.00E-21  2.68E-22  1.28E-21
  0.004  1.78E-18  4.75E-19  2.17E-18
  0.005  3.43E-16  9.47E-17  4.04E-16
  0.006  1.80E-14  5.25E-15  2.07E-14
  0.007  4.11E-13  1.27E-13  4.64E-13
  0.008  5.26E-12  1.73E-12  5.87E-12
  0.009  4.43E-11  1.55E-11  4.92E-11
  0.010  2.72E-10  1.02E-10  3.03E-10
  0.011  1.31E-09  5.22E-10  1.46E-09
  0.012  5.22E-09  2.22E-09  5.86E-09
  0.013  1.78E-08  8.05E-09  2.01E-08
  0.014  5.32E-08  2.57E-08  6.05E-08
  0.015  1.44E-07  7.37E-08  1.64E-07
  0.016  3.54E-07  1.93E-07  4.07E-07
  0.018  1.74E-06  1.05E-06  2.01E-06
  0.020  6.79E-06  4.49E-06  7.88E-06
  0.025  1.02E-04  7.76E-05  1.18E-04
  0.030  7.90E-04  6.39E-04  9.08E-04
  0.040  1.49E-02  1.27E-02  1.71E-02
  0.050  1.18E-01  1.02E-01  1.34E-01
  0.060  5.66E-01  4.91E-01  6.41E-01
  0.070  1.96E+00  1.71E+00  2.21E+00
  0.080  5.41E+00  4.73E+00  6.09E+00
  0.090  1.27E+01  1.11E+01  1.43E+01
  0.100  2.62E+01  2.29E+01  2.94E+01
  0.110  4.90E+01  4.28E+01  5.53E+01
  0.120  8.50E+01  7.39E+01  9.60E+01
  0.130  1.38E+02  1.20E+02  1.57E+02
  0.140  2.14E+02  1.85E+02  2.43E+02
  0.150  3.17E+02  2.73E+02  3.61E+02
  0.160  4.52E+02  3.88E+02  5.17E+02
  0.180  8.43E+02  7.17E+02  9.68E+02
  0.200  1.43E+03  1.21E+03  1.65E+03
  0.250  4.04E+03  3.41E+03  4.67E+03
  0.300  8.79E+03  7.45E+03  1.01E+04
  0.350  1.62E+04  1.39E+04  1.86E+04
  0.400  2.69E+04  2.32E+04  3.06E+04
  0.450  4.13E+04  3.59E+04  4.66E+04
  0.500  5.99E+04  5.26E+04  6.72E+04
  0.600  1.13E+05  1.00E+05  1.25E+05
  0.700  1.92E+05  1.72E+05  2.13E+05
  0.800  3.09E+05  2.77E+05  3.40E+05
  0.900  4.73E+05  4.26E+05  5.20E+05
  1.000  6.98E+05  6.30E+05  7.66E+05
  1.250  1.60E+06  1.45E+06  1.76E+06
  1.500  3.12E+06  2.83E+06  3.41E+06
  1.750  5.32E+06  4.80E+06  5.83E+06
  2.000  8.19E+06  7.33E+06  9.05E+06
  2.500  1.57E+07  1.36E+07  1.78E+07
  3.000  2.50E+07  2.09E+07  2.91E+07
  3.500  3.53E+07  2.83E+07  4.22E+07
  4.000  4.59E+07  3.55E+07  5.64E+07
  5.000  6.68E+07  4.83E+07  8.54E+07
  6.000  8.55E+07  5.87E+07  1.12E+08
  7.000  1.01E+08  6.71E+07  1.36E+08
  8.000  1.15E+08  7.38E+07  1.55E+08
  9.000  1.25E+08  7.92E+07  1.71E+08
 10.000  1.34E+08  8.36E+07  1.84E+08
