#T9 	adopted 	low 	high                                                    
  0.004  1.71E-22  4.05E-23  2.21E-22
  0.005  3.29E-20  8.02E-21  4.07E-20
  0.006  1.72E-18  4.42E-19  2.06E-18
  0.007  3.87E-17  1.07E-17  4.56E-17
  0.008  4.89E-16  1.45E-16  5.71E-16
  0.009  4.07E-15  1.30E-15  4.73E-15
  0.010  2.48E-14  8.47E-15  2.87E-14
  0.011  1.19E-13  4.32E-14  1.38E-13
  0.012  4.69E-13  1.81E-13  5.45E-13
  0.013  1.59E-12  6.47E-13  1.85E-12
  0.014  4.74E-12  2.03E-12  5.54E-12
  0.015  1.27E-11  5.70E-12  1.49E-11
  0.016  3.13E-11  1.46E-11  3.68E-11
  0.018  1.52E-10  7.59E-11  1.80E-10
  0.020  5.86E-10  3.10E-10  7.00E-10
  0.025  8.50E-09  5.02E-09  1.03E-08
  0.030  6.37E-08  4.05E-08  7.84E-08
  0.040  1.15E-06  7.98E-07  1.44E-06
  0.050  8.72E-06  6.36E-06  1.11E-05
  0.060  4.00E-05  3.01E-05  5.12E-05
  0.070  1.33E-04  1.02E-04  1.71E-04
  0.080  3.55E-04  2.76E-04  4.58E-04
  0.090  8.07E-04  6.36E-04  1.05E-03
  0.100  1.63E-03  1.30E-03  2.12E-03
  0.110  3.00E-03  2.40E-03  3.91E-03
  0.120  5.11E-03  4.11E-03  6.67E-03
  0.130  8.21E-03  6.62E-03  1.07E-02
  0.140  1.25E-02  1.01E-02  1.63E-02
  0.150  1.84E-02  1.49E-02  2.39E-02
  0.160  2.60E-02  2.10E-02  3.37E-02
  0.180  4.77E-02  3.87E-02  6.16E-02
  0.200  8.03E-02  6.50E-02  1.03E-01
  0.250  2.27E-01  1.83E-01  2.86E-01
  0.300  4.99E-01  4.02E-01  6.20E-01
  0.350  9.29E-01  7.47E-01  1.14E+00
  0.400  1.54E+00  1.24E+00  1.88E+00
  0.450  2.35E+00  1.89E+00  2.86E+00
  0.500  3.38E+00  2.71E+00  4.11E+00
  0.600  6.18E+00  4.95E+00  7.47E+00
  0.700  1.01E+01  8.10E+00  1.22E+01
  0.800  1.55E+01  1.24E+01  1.87E+01
  0.900  2.25E+01  1.80E+01  2.71E+01
  1.000  3.15E+01  2.52E+01  3.79E+01
  1.250  6.41E+01  5.12E+01  7.70E+01
  1.500  1.13E+02  9.02E+01  1.36E+02
  1.750  1.78E+02  1.42E+02  2.14E+02
  2.000  2.58E+02  2.07E+02  3.10E+02
  2.500  4.52E+02  3.61E+02  5.42E+02
  3.000  6.70E+02  5.36E+02  8.04E+02
  3.500  8.94E+02  7.16E+02  1.07E+03
  4.000  1.12E+03  8.94E+02  1.34E+03
  5.000  1.55E+03  1.24E+03  1.86E+03
  6.000  1.96E+03  1.57E+03  2.36E+03
  7.000  2.37E+03  1.90E+03  2.84E+03
  8.000  2.78E+03  2.22E+03  3.33E+03
  9.000  3.18E+03  2.55E+03  3.82E+03
 10.000  3.59E+03  2.88E+03  4.31E+03
