#T9 	adopted 	low 	high                                                  
  0.018  1.67E-33  9.99E-34  2.50E-33
  0.020  6.59E-32  3.96E-32  9.91E-32
  0.025  1.06E-28  6.35E-29  1.59E-28
  0.030  2.97E-26  1.79E-26  4.47E-26
  0.040  1.13E-22  6.81E-23  1.70E-22
  0.050  4.07E-20  2.46E-20  6.15E-20
  0.060  3.92E-18  2.42E-18  5.87E-18
  0.070  2.93E-16  2.07E-16  3.95E-16
  0.080  2.34E-14  1.82E-14  2.90E-14
  0.090  9.48E-13  7.51E-13  1.15E-12
  0.100  1.89E-11  1.51E-11  2.28E-11
  0.110  2.18E-10  1.74E-10  2.62E-10
  0.120  1.66E-09  1.32E-09  2.00E-09
  0.130  9.17E-09  7.32E-09  1.10E-08
  0.140  3.94E-08  3.14E-08  4.73E-08
  0.150  1.38E-07  1.10E-07  1.66E-07
  0.160  4.14E-07  3.30E-07  4.98E-07
  0.180  2.55E-06  2.03E-06  3.07E-06
  0.200  1.10E-05  8.75E-06  1.33E-05
  0.250  1.88E-04  1.48E-04  2.29E-04
  0.300  2.00E-03  1.57E-03  2.44E-03
  0.350  1.45E-02  1.14E-02  1.77E-02
  0.400  7.08E-02  5.59E-02  8.61E-02
  0.450  2.51E-01  1.98E-01  3.04E-01
  0.500  7.06E-01  5.59E-01  8.54E-01
  0.600  3.67E+00  2.92E+00  4.43E+00
  0.700  1.44E+01  1.15E+01  1.74E+01
  0.800  4.96E+01  3.96E+01  5.96E+01
  0.900  1.51E+02  1.21E+02  1.81E+02
  1.000  4.04E+02  3.23E+02  4.85E+02
  1.250  2.81E+03  2.24E+03  3.37E+03
  1.500  1.13E+04  9.01E+03  1.35E+04
  1.750  3.17E+04  2.54E+04  3.81E+04
  2.000  7.08E+04  5.67E+04  8.49E+04
  2.500  2.28E+05  1.83E+05  2.73E+05
  3.000  5.21E+05  4.21E+05  6.20E+05
  3.500  9.78E+05  7.99E+05  1.16E+06
  4.000  1.63E+06  1.34E+06  1.91E+06
  5.000  3.56E+06  2.99E+06  4.13E+06
  6.000  6.35E+06  5.41E+06  7.29E+06
  7.000  9.85E+06  8.48E+06  1.12E+07
  8.000  1.38E+07  1.20E+07  1.57E+07
  9.000  1.80E+07  1.57E+07  2.03E+07
 10.000  2.22E+07  1.95E+07  2.50E+07
