#T9 	adopted 	low 	high                                                  
  0.003  4.90E-23  4.41E-23  5.45E-23
  0.004  8.69E-20  7.83E-20  9.67E-20
  0.005  1.77E-17  1.59E-17  1.97E-17
  0.006  1.02E-15  9.17E-16  1.13E-15
  0.007  2.58E-14  2.33E-14  2.87E-14
  0.008  3.72E-13  3.35E-13  4.13E-13
  0.009  3.53E-12  3.18E-12  3.93E-12
  0.010  2.45E-11  2.21E-11  2.73E-11
  0.011  1.34E-10  1.20E-10  1.48E-10
  0.012  5.98E-10  5.38E-10  6.64E-10
  0.013  2.28E-09  2.05E-09  2.53E-09
  0.014  7.62E-09  6.87E-09  8.47E-09
  0.015  2.28E-08  2.06E-08  2.53E-08
  0.016  6.22E-08  5.60E-08  6.90E-08
  0.018  3.66E-07  3.30E-07  4.06E-07
  0.020  1.68E-06  1.51E-06  1.87E-06
  0.025  3.55E-05  3.20E-05  3.94E-05
  0.030  3.62E-04  3.26E-04  4.02E-04
  0.040  1.06E-02  9.54E-03  1.18E-02
  0.050  1.16E-01  1.04E-01  1.30E-01
  0.060  7.15E-01  6.43E-01  8.14E-01
  0.070  3.06E+00  2.74E+00  3.51E+00
  0.080  1.02E+01  9.13E+00  1.18E+01
  0.090  2.86E+01  2.56E+01  3.33E+01
  0.100  7.13E+01  6.37E+01  8.31E+01
  0.110  1.62E+02  1.45E+02  1.89E+02
  0.120  3.43E+02  3.06E+02  3.96E+02
  0.130  6.78E+02  6.07E+02  7.80E+02
  0.140  1.26E+03  1.13E+03  1.44E+03
  0.150  2.22E+03  1.99E+03  2.52E+03
  0.160  3.69E+03  3.33E+03  4.19E+03
  0.180  8.96E+03  8.08E+03  1.01E+04
  0.200  1.87E+04  1.69E+04  2.09E+04
  0.250  7.35E+04  6.67E+04  8.21E+04
  0.300  1.92E+05  1.74E+05  2.13E+05
  0.350  3.97E+05  3.60E+05  4.40E+05
  0.400  7.13E+05  6.48E+05  7.89E+05
  0.450  1.17E+06  1.06E+06  1.29E+06
  0.500  1.80E+06  1.64E+06  1.99E+06
  0.600  3.75E+06  3.41E+06  4.12E+06
  0.700  6.82E+06  6.22E+06  7.49E+06
  0.800  1.12E+07  1.02E+07  1.23E+07
  0.900  1.70E+07  1.55E+07  1.87E+07
  1.000  2.42E+07  2.20E+07  2.67E+07
  1.250  4.71E+07  4.27E+07  5.21E+07
  1.500  7.43E+07  6.71E+07  8.25E+07
  1.750  1.03E+08  9.26E+07  1.15E+08
  2.000  1.31E+08  1.17E+08  1.46E+08
  2.500  1.80E+08  1.61E+08  2.03E+08
  3.000  2.20E+08  1.95E+08  2.48E+08
  3.500  2.51E+08  2.22E+08  2.84E+08
  4.000  2.75E+08  2.42E+08  3.12E+08
  5.000  3.08E+08  2.69E+08  3.51E+08
  6.000  3.30E+08  2.86E+08  3.77E+08
  7.000  3.46E+08  2.97E+08  3.96E+08
  8.000  3.57E+08  3.04E+08  4.10E+08
  9.000  3.65E+08  3.09E+08  4.20E+08
 10.000  3.70E+08  3.13E+08  4.28E+08
