# T9 	adopted 	low 	high 	      
  0.002  2.98E-23  1.35E-23  4.26E-23
  0.003  4.01E-20  1.83E-20  5.72E-20
  0.004  3.73E-18  1.71E-18  5.32E-18
  0.005  9.34E-17  4.29E-17  1.33E-16
  0.006  1.09E-15  5.00E-16  1.54E-15
  0.007  7.67E-15  3.55E-15  1.09E-14
  0.008  3.85E-14  1.78E-14  5.46E-14
  0.009  1.50E-13  6.98E-14  2.13E-13
  0.010  4.84E-13  2.26E-13  6.86E-13
  0.011  1.35E-12  6.30E-13  1.91E-12
  0.012  3.33E-12  1.56E-12  4.71E-12
  0.013  7.48E-12  3.52E-12  1.06E-11
  0.014  1.55E-11  7.31E-12  2.19E-11
  0.015  3.01E-11  1.42E-11  4.25E-11
  0.016  5.51E-11  2.61E-11  7.77E-11
  0.018  1.61E-10  7.65E-11  2.26E-10
  0.020  4.04E-10  1.93E-10  5.68E-10
  0.025  2.55E-09  1.23E-09  3.58E-09
  0.030  1.04E-08  5.07E-09  1.46E-08
  0.040  8.06E-08  3.99E-08  1.12E-07
  0.050  3.45E-07  1.74E-07  4.77E-07
  0.060  1.05E-06  5.34E-07  1.44E-06
  0.070  2.54E-06  1.31E-06  3.49E-06
  0.080  5.29E-06  2.77E-06  7.23E-06
  0.090  9.85E-06  5.21E-06  1.34E-05
  0.100  1.68E-05  8.98E-06  2.28E-05
  0.110  2.69E-05  1.45E-05  3.63E-05
  0.120  4.08E-05  2.22E-05  5.49E-05
  0.130  5.92E-05  3.25E-05  7.94E-05
  0.140  8.29E-05  4.59E-05  1.11E-04
  0.150  1.13E-04  6.29E-05  1.50E-04
  0.160  1.49E-04  8.40E-05  1.99E-04
  0.180  2.46E-04  1.41E-04  3.26E-04
  0.200  3.80E-04  2.20E-04  4.99E-04
  0.250  9.10E-04  5.43E-04  1.18E-03
  0.300  1.79E-03  1.09E-03  2.30E-03
  0.350  3.09E-03  1.93E-03  3.94E-03
  0.400  4.89E-03  3.12E-03  6.16E-03
  0.450  7.24E-03  4.70E-03  9.05E-03
  0.500  1.02E-02  6.75E-03  1.27E-02
  0.600  1.84E-02  1.26E-02  2.24E-02
  0.700  3.04E-02  2.15E-02  3.65E-02
  0.800  4.78E-02  3.51E-02  5.66E-02
  0.900  7.26E-02  5.50E-02  8.48E-02
  1.000  1.06E-01  8.29E-02  1.23E-01
  1.250  2.36E-01  1.93E-01  2.69E-01
  1.500  4.28E-01  3.59E-01  4.84E-01
  1.750  6.67E-01  5.64E-01  7.53E-01
  2.000  9.32E-01  7.92E-01  1.05E+00
  2.500  1.49E+00  1.26E+00  1.70E+00
  3.000  2.03E+00  1.71E+00  2.34E+00
  3.500  2.57E+00  2.13E+00  2.99E+00
  4.000  3.10E+00  2.54E+00  3.64E+00
  5.000  4.22E+00  3.39E+00  5.04E+00
  6.000  5.50E+00  4.36E+00  6.63E+00
  7.000  6.98E+00  5.49E+00  8.46E+00
  8.000  8.67E+00  6.79E+00  1.05E+01
  9.000  1.05E+01  8.23E+00  1.28E+01
 10.000  1.25E+01  9.79E+00  1.53E+01
                     
