# T9 	adopted 	low 	high 
  0.001  1.35E-11  1.09E-11  1.62E-11
  0.002  1.87E-08  1.51E-08  2.25E-08
  0.003  6.07E-07  4.93E-07  7.27E-07
  0.004  5.38E-06  4.38E-06  6.43E-06
  0.005  2.52E-05  2.06E-05  3.01E-05
  0.006  8.15E-05  6.67E-05  9.71E-05
  0.007  2.07E-04  1.70E-04  2.47E-04
  0.008  4.47E-04  3.68E-04  5.31E-04
  0.009  8.55E-04  7.04E-04  1.01E-03
  0.010  1.49E-03  1.23E-03  1.77E-03
  0.011  2.43E-03  2.01E-03  2.87E-03
  0.012  3.73E-03  3.09E-03  4.40E-03
  0.013  5.47E-03  4.54E-03  6.45E-03
  0.014  7.73E-03  6.42E-03  9.10E-03
  0.015  1.06E-02  8.80E-03  1.24E-02
  0.016  1.41E-02  1.17E-02  1.65E-02
  0.018  2.33E-02  1.95E-02  2.74E-02
  0.020  3.60E-02  3.02E-02  4.22E-02
  0.025  8.59E-02  7.25E-02  1.00E-01
  0.030  1.66E-01  1.41E-01  1.93E-01
  0.040  4.35E-01  3.73E-01  5.01E-01
  0.050  8.62E-01  7.44E-01  9.86E-01
  0.060  1.45E+00  1.26E+00  1.65E+00
  0.070  2.20E+00  1.93E+00  2.50E+00
  0.080  3.11E+00  2.74E+00  3.51E+00
  0.090  4.17E+00  3.69E+00  4.69E+00
  0.100  5.37E+00  4.77E+00  6.02E+00
  0.110  6.71E+00  5.98E+00  7.49E+00
  0.120  8.18E+00  7.31E+00  9.10E+00
  0.130  9.77E+00  8.76E+00  1.08E+01
  0.140  1.15E+01  1.03E+01  1.27E+01
  0.150  1.33E+01  1.20E+01  1.47E+01
  0.160  1.52E+01  1.37E+01  1.67E+01
  0.180  1.93E+01  1.75E+01  2.12E+01
  0.200  2.37E+01  2.16E+01  2.60E+01
  0.250  3.62E+01  3.31E+01  3.94E+01
  0.300  5.01E+01  4.59E+01  5.44E+01
  0.350  6.52E+01  5.98E+01  7.08E+01
  0.400  8.13E+01  7.45E+01  8.84E+01
  0.450  9.84E+01  9.00E+01  1.07E+02
  0.500  1.16E+02  1.06E+02  1.27E+02
  0.600  1.54E+02  1.40E+02  1.69E+02
  0.700  1.95E+02  1.77E+02  2.14E+02
  0.800  2.38E+02  2.16E+02  2.61E+02
  0.900  2.84E+02  2.57E+02  3.12E+02
  1.000  3.32E+02  2.99E+02  3.64E+02
  1.250  4.57E+02  4.12E+02  5.03E+02
  1.500  5.91E+02  5.31E+02  6.52E+02
  1.750  7.30E+02  6.54E+02  8.07E+02
  2.000  8.73E+02  7.79E+02  9.68E+02
  2.500  1.17E+03  1.04E+03  1.30E+03
  3.000  1.46E+03  1.30E+03  1.63E+03
  3.500  1.76E+03  1.56E+03  1.97E+03
  4.000  2.07E+03  1.84E+03  2.30E+03
  5.000  2.67E+03  2.39E+03  2.95E+03
  6.000  3.27E+03  2.95E+03  3.60E+03
  7.000  3.86E+03  3.50E+03  4.23E+03
  8.000  4.45E+03  4.05E+03  4.86E+03
  9.000  5.02E+03  4.58E+03  5.48E+03
 10.000  5.59E+03  5.10E+03  6.08E+03
 
 
