#T9 	  adopted   low 	    high 	                      
  0.002  7.06E-21  6.52E-21  7.88E-21
  0.003  1.79E-17  1.65E-17  2.00E-17
  0.004  2.48E-15  2.29E-15  2.77E-15
  0.005  8.21E-14  7.59E-14  9.17E-14
  0.006  1.18E-12  1.09E-12  1.32E-12
  0.007  9.87E-12  9.12E-12  1.10E-11
  0.008  5.68E-11  5.25E-11  6.34E-11
  0.009  2.49E-10  2.30E-10  2.77E-10
  0.010  8.85E-10  8.18E-10  9.88E-10
  0.011  2.68E-09  2.48E-09  2.99E-09
  0.012  7.15E-09  6.61E-09  7.98E-09
  0.013  1.72E-08  1.59E-08  1.92E-08
  0.014  3.78E-08  3.49E-08  4.22E-08
  0.015  7.73E-08  7.15E-08  8.62E-08
  0.016  1.49E-07  1.37E-07  1.66E-07
  0.018  4.72E-07  4.36E-07  5.26E-07
  0.020  1.27E-06  1.18E-06  1.42E-06
  0.025  9.25E-06  8.56E-06  1.03E-05
  0.030  4.17E-05  3.86E-05  4.65E-05
  0.040  3.70E-04  3.42E-04  4.12E-04
  0.050  1.73E-03  1.60E-03  1.92E-03
  0.060  5.55E-03  5.14E-03  6.18E-03
  0.070  1.40E-02  1.30E-02  1.56E-02
  0.080  3.00E-02  2.78E-02  3.34E-02
  0.090  5.68E-02  5.27E-02  6.32E-02
  0.100  9.83E-02  9.12E-02  1.09E-01
  0.110  1.58E-01  1.47E-01  1.76E-01
  0.120  2.41E-01  2.24E-01  2.68E-01
  0.130  3.50E-01  3.26E-01  3.90E-01
  0.140  4.90E-01  4.56E-01  5.45E-01
  0.150  6.64E-01  6.18E-01  7.38E-01
  0.160  8.76E-01  8.15E-01  9.73E-01
  0.180  1.43E+00  1.33E+00  1.58E+00
  0.200  2.16E+00  2.01E+00  2.40E+00
  0.250  4.93E+00  4.60E+00  5.46E+00
  0.300  9.14E+00  8.54E+00  1.01E+01
  0.350  1.49E+01  1.39E+01  1.65E+01
  0.400  2.21E+01  2.06E+01  2.44E+01
  0.450  3.07E+01  2.86E+01  3.40E+01
  0.500  4.06E+01  3.79E+01  4.51E+01
  0.600  6.39E+01  5.93E+01  7.13E+01
  0.700  9.12E+01  8.41E+01  1.02E+02
  0.800  1.22E+02  1.11E+02  1.37E+02
  0.900  1.55E+02  1.41E+02  1.75E+02
  1.000  1.90E+02  1.72E+02  2.16E+02
  1.250  2.85E+02  2.54E+02  3.26E+02
  1.500  3.87E+02  3.42E+02  4.44E+02
  1.750  4.92E+02  4.32E+02  5.65E+02
  2.000  6.00E+02  5.25E+02  6.87E+02
  2.500  8.19E+02  7.17E+02  9.32E+02
  3.000  1.04E+03  9.14E+02  1.18E+03
  3.500  1.27E+03  1.12E+03  1.42E+03
  4.000  1.50E+03  1.32E+03  1.67E+03
  5.000  1.96E+03  1.72E+03  2.15E+03
  6.000  2.40E+03  2.10E+03  2.61E+03
  7.000  2.78E+03  2.43E+03  3.01E+03
  8.000  3.10E+03  2.71E+03  3.34E+03
  9.000  3.36E+03  2.92E+03  3.61E+03
 10.000  3.55E+03  3.09E+03  3.81E+03
                     
