#T9 	adopted 	low 	high                                                  
  0.001  1.87E-07  1.67E-07  2.09E-07
  0.002  1.37E-03  1.22E-03  1.53E-03
  0.003  9.98E-02  8.90E-02  1.11E-01
  0.004  1.47E+00  1.31E+00  1.64E+00
  0.005  9.93E+00  8.86E+00  1.10E+01
  0.006  4.24E+01  3.78E+01  4.71E+01
  0.007  1.35E+02  1.20E+02  1.50E+02
  0.008  3.49E+02  3.12E+02  3.87E+02
  0.009  7.80E+02  7.01E+02  8.62E+02
  0.010  1.56E+03  1.41E+03  1.71E+03
  0.011  2.85E+03  2.59E+03  3.12E+03
  0.012  4.87E+03  4.44E+03  5.31E+03
  0.013  7.85E+03  7.19E+03  8.53E+03
  0.014  1.21E+04  1.11E+04  1.31E+04
  0.015  1.79E+04  1.65E+04  1.93E+04
  0.016  2.56E+04  2.37E+04  2.75E+04
  0.018  4.81E+04  4.48E+04  5.16E+04
  0.020  8.30E+04  7.74E+04  8.87E+04
  0.025  2.47E+05  2.32E+05  2.63E+05
  0.030  5.70E+05  5.34E+05  6.06E+05
  0.040  1.93E+06  1.81E+06  2.06E+06
  0.050  4.62E+06  4.30E+06  4.93E+06
  0.060  8.98E+06  8.34E+06  9.63E+06
  0.070  1.52E+07  1.41E+07  1.64E+07
  0.080  2.34E+07  2.16E+07  2.52E+07
  0.090  3.35E+07  3.09E+07  3.61E+07
  0.100  4.52E+07  4.17E+07  4.88E+07
  0.110  5.85E+07  5.40E+07  6.30E+07
  0.120  7.30E+07  6.73E+07  7.86E+07
  0.130  8.84E+07  8.16E+07  9.52E+07
  0.140  1.05E+08  9.66E+07  1.13E+08
  0.150  1.21E+08  1.12E+08  1.31E+08
  0.160  1.38E+08  1.28E+08  1.49E+08
  0.180  1.73E+08  1.60E+08  1.85E+08
  0.200  2.06E+08  1.91E+08  2.21E+08
  0.250  2.83E+08  2.63E+08  3.04E+08
  0.300  3.47E+08  3.23E+08  3.72E+08
  0.350  3.98E+08  3.70E+08  4.25E+08
  0.400  4.36E+08  4.07E+08  4.66E+08
  0.450  4.65E+08  4.34E+08  4.96E+08
  0.500  4.85E+08  4.53E+08  5.17E+08
  0.600  5.10E+08  4.77E+08  5.42E+08
  0.700  5.19E+08  4.86E+08  5.51E+08
  0.800  5.19E+08  4.87E+08  5.50E+08
  0.900  5.13E+08  4.82E+08  5.44E+08
  1.000  5.04E+08  4.74E+08  5.34E+08
  1.250  4.76E+08  4.48E+08  5.04E+08
  1.500  4.47E+08  4.21E+08  4.73E+08
  1.750  4.19E+08  3.95E+08  4.43E+08
  2.000  3.94E+08  3.71E+08  4.17E+08
  2.500  3.52E+08  3.32E+08  3.72E+08
  3.000  3.19E+08  3.00E+08  3.37E+08
  3.500  2.92E+08  2.75E+08  3.09E+08
  4.000  2.70E+08  2.54E+08  2.86E+08
  5.000  2.37E+08  2.23E+08  2.52E+08
  6.000  2.14E+08  2.01E+08  2.27E+08
  7.000  1.97E+08  1.84E+08  2.09E+08
  8.000  1.83E+08  1.72E+08  1.95E+08
  9.000  1.73E+08  1.62E+08  1.84E+08
 10.000  1.64E+08  1.54E+08  1.75E+08
