# T9 	  adopted 	low 	    high 	                  
  0.005  5.14E-25  4.57E-25  5.62E-25
  0.006  3.79E-23  3.37E-23  4.14E-23
  0.007  1.17E-21  1.04E-21  1.28E-21
  0.008  1.99E-20  1.77E-20  2.17E-20
  0.009  2.17E-19  1.93E-19  2.37E-19
  0.010  1.70E-18  1.51E-18  1.86E-18
  0.011  1.03E-17  9.13E-18  1.12E-17
  0.012  5.03E-17  4.48E-17  5.50E-17
  0.013  2.09E-16  1.86E-16  2.28E-16
  0.014  7.51E-16  6.68E-16  8.20E-16
  0.015  2.40E-15  2.14E-15  2.63E-15
  0.016  6.96E-15  6.20E-15  7.60E-15
  0.018  4.56E-14  4.06E-14  4.98E-14
  0.020  2.30E-13  2.05E-13  2.51E-13
  0.025  5.86E-12  5.21E-12  6.39E-12
  0.030  6.88E-11  6.12E-11  7.50E-11
  0.040  2.46E-09  2.19E-09  2.69E-09
  0.050  3.11E-08  2.77E-08  3.39E-08
  0.060  2.14E-07  1.91E-07  2.33E-07
  0.070  9.92E-07  8.85E-07  1.08E-06
  0.080  3.50E-06  3.13E-06  3.82E-06
  0.090  1.02E-05  9.06E-06  1.11E-05
  0.100  2.53E-05  2.26E-05  2.76E-05
  0.110  5.62E-05  5.02E-05  6.11E-05
  0.120  1.14E-04  1.02E-04  1.24E-04
  0.130  2.13E-04  1.90E-04  2.31E-04
  0.140  3.75E-04  3.35E-04  4.07E-04
  0.150  6.25E-04  5.59E-04  6.80E-04
  0.160  9.98E-04  8.93E-04  1.08E-03
  0.180  2.28E-03  2.04E-03  2.47E-03
  0.200  4.62E-03  4.14E-03  5.02E-03
  0.250  1.89E-02  1.70E-02  2.05E-02
  0.300  5.49E-02  4.93E-02  5.94E-02
  0.350  1.28E-01  1.15E-01  1.38E-01
  0.400  2.54E-01  2.29E-01  2.74E-01
  0.450  4.54E-01  4.09E-01  4.89E-01
  0.500  7.44E-01  6.72E-01  8.02E-01
  0.600  1.67E+00  1.51E+00  1.80E+00
  0.700  3.16E+00  2.86E+00  3.39E+00
  0.800  5.30E+00  4.79E+00  5.70E+00
  0.900  8.17E+00  7.38E+00  8.79E+00
  1.000  1.18E+01  1.07E+01  1.27E+01
  1.250  2.44E+01  2.19E+01  2.64E+01
  1.500  4.19E+01  3.73E+01  4.57E+01
  1.750  6.40E+01  5.66E+01  7.02E+01
  2.000  9.04E+01  7.93E+01  9.98E+01
  2.500  1.54E+02  1.34E+02  1.72E+02
  3.000  2.32E+02  1.98E+02  2.61E+02
  3.500  3.21E+02  2.73E+02  3.64E+02
  4.000  4.21E+02  3.56E+02  4.79E+02
  5.000  6.53E+02  5.49E+02  7.44E+02
  6.000  9.15E+02  7.71E+02  1.04E+03
  7.000  1.19E+03  1.01E+03  1.36E+03
  8.000  1.47E+03  1.26E+03  1.67E+03
  9.000  1.74E+03  1.49E+03  1.96E+03
 10.000  1.99E+03  1.71E+03  2.24E+03
