#T9 	adopted 	low 	high                                                  
  0.001  1.00E-24  8.72E-25  1.14E-24
  0.002  2.24E-17  1.95E-17  2.54E-17
  0.003  8.03E-14  6.99E-14  9.09E-14
  0.004  1.37E-11  1.19E-11  1.55E-11
  0.005  5.28E-10  4.60E-10  5.98E-10
  0.006  8.53E-09  7.42E-09  9.65E-09
  0.007  7.83E-08  6.82E-08  8.86E-08
  0.008  4.87E-07  4.24E-07  5.50E-07
  0.009  2.28E-06  1.98E-06  2.57E-06
  0.010  8.58E-06  7.47E-06  9.69E-06
  0.011  2.73E-05  2.38E-05  3.09E-05
  0.012  7.61E-05  6.63E-05  8.59E-05
  0.013  1.90E-04  1.65E-04  2.14E-04
  0.014  4.33E-04  3.77E-04  4.89E-04
  0.015  9.15E-04  7.97E-04  1.03E-03
  0.016  1.81E-03  1.58E-03  2.04E-03
  0.018  6.07E-03  5.29E-03  6.84E-03
  0.020  1.71E-02  1.49E-02  1.93E-02
  0.025  1.37E-01  1.19E-01  1.54E-01
  0.030  6.61E-01  5.76E-01  7.43E-01
  0.040  6.50E+00  5.68E+00  7.29E+00
  0.050  3.28E+01  2.86E+01  3.66E+01
  0.060  1.12E+02  9.75E+01  1.25E+02
  0.070  2.96E+02  2.59E+02  3.30E+02
  0.080  6.59E+02  5.76E+02  7.33E+02
  0.090  1.29E+03  1.13E+03  1.44E+03
  0.100  2.31E+03  2.02E+03  2.56E+03
  0.110  3.82E+03  3.34E+03  4.22E+03
  0.120  5.95E+03  5.20E+03  6.57E+03
  0.130  8.83E+03  7.73E+03  9.75E+03
  0.140  1.26E+04  1.10E+04  1.39E+04
  0.150  1.74E+04  1.52E+04  1.92E+04
  0.160  2.33E+04  2.04E+04  2.57E+04
  0.180  3.90E+04  3.41E+04  4.29E+04
  0.200  6.05E+04  5.30E+04  6.67E+04
  0.250  1.45E+05  1.27E+05  1.60E+05
  0.300  2.78E+05  2.43E+05  3.07E+05
  0.350  4.65E+05  4.06E+05  5.15E+05
  0.400  7.07E+05  6.18E+05  7.85E+05
  0.450  1.00E+06  8.76E+05  1.12E+06
  0.500  1.35E+06  1.18E+06  1.50E+06
  0.600  2.20E+06  1.91E+06  2.44E+06
  0.700  3.22E+06  2.80E+06  3.58E+06
  0.800  4.38E+06  3.81E+06  4.87E+06
  0.900  5.67E+06  4.92E+06  6.29E+06
  1.000  7.05E+06  6.11E+06  7.83E+06
  1.250  1.08E+07  9.32E+06  1.20E+07
  1.500  1.48E+07  1.28E+07  1.65E+07
  1.750  1.90E+07  1.63E+07  2.11E+07
  2.000  2.33E+07  1.99E+07  2.59E+07
  2.500  3.21E+07  2.74E+07  3.59E+07
  3.000  4.13E+07  3.51E+07  4.63E+07
  3.500  5.07E+07  4.31E+07  5.70E+07
  4.000  6.01E+07  5.11E+07  6.78E+07
  5.000  7.83E+07  6.66E+07  8.86E+07
  6.000  9.48E+07  8.07E+07  1.07E+08
  7.000  1.09E+08  9.30E+07  1.24E+08
  8.000  1.21E+08  1.03E+08  1.37E+08
  9.000  1.31E+08  1.12E+08  1.49E+08
 10.000  1.39E+08  1.19E+08  1.58E+08
