#T9 	adopted 	low 	high                                                  
  0.018  5.95E-25  2.73E-25  1.12E-24
  0.020  1.40E-23  6.17E-24  2.70E-23
  0.025  8.04E-21  3.35E-21  1.59E-20
  0.030  1.15E-18  4.69E-19  2.31E-18
  0.040  1.74E-15  7.06E-16  3.46E-15
  0.050  2.84E-13  1.16E-13  5.62E-13
  0.060  1.46E-11  7.00E-12  2.71E-11
  0.070  3.96E-10  2.35E-10  6.58E-10
  0.080  6.34E-09  4.36E-09  9.56E-09
  0.090  6.31E-08  4.70E-08  8.90E-08
  0.100  4.21E-07  3.30E-07  5.71E-07
  0.110  2.06E-06  1.66E-06  2.71E-06
  0.120  7.87E-06  6.45E-06  1.02E-05
  0.130  2.48E-05  2.06E-05  3.16E-05
  0.140  6.74E-05  5.64E-05  8.47E-05
  0.150  1.62E-04  1.37E-04  2.03E-04
  0.160  3.59E-04  3.03E-04  4.46E-04
  0.180  1.44E-03  1.23E-03  1.75E-03
  0.200  5.03E-03  4.28E-03  6.10E-03
  0.250  7.70E-02  6.49E-02  9.33E-02
  0.300  6.66E-01  5.58E-01  8.12E-01
  0.350  3.44E+00  2.88E+00  4.21E+00
  0.400  1.22E+01  1.02E+01  1.49E+01
  0.450  3.30E+01  2.76E+01  4.04E+01
  0.500  7.37E+01  6.15E+01  9.04E+01
  0.600  2.49E+02  2.07E+02  3.05E+02
  0.700  6.05E+02  5.03E+02  7.42E+02
  0.800  1.23E+03  1.01E+03  1.51E+03
  0.900  2.27E+03  1.84E+03  2.80E+03
  1.000  4.09E+03  3.24E+03  5.07E+03
  1.250  1.76E+04  1.31E+04  2.22E+04
  1.500  6.51E+04  4.75E+04  8.32E+04
  1.750  1.87E+05  1.37E+05  2.40E+05
  2.000  4.28E+05  3.15E+05  5.52E+05
  2.500  1.40E+06  1.04E+06  1.81E+06
  3.000  3.11E+06  2.35E+06  4.04E+06
  3.500  5.53E+06  4.21E+06  7.17E+06
  4.000  8.57E+06  6.57E+06  1.11E+07
  5.000  1.62E+07  1.26E+07  2.08E+07
  6.000  2.54E+07  2.00E+07  3.23E+07
  7.000  3.57E+07  2.84E+07  4.51E+07
  8.000  4.66E+07  3.74E+07  5.85E+07
  9.000  5.76E+07  4.66E+07  7.19E+07
 10.000  6.85E+07  5.56E+07  8.50E+07
