#T9 	adopted 	low 	high                                                  
  0.002  3.32E-23  1.41E-23  4.02E-23
  0.003  8.15E-19  3.55E-19  9.88E-19
  0.004  4.77E-16  2.13E-16  5.80E-16
  0.005  4.41E-14  2.01E-14  5.37E-14
  0.006  1.39E-12  6.44E-13  1.69E-12
  0.007  2.18E-11  1.03E-11  2.65E-11
  0.008  2.10E-10  1.01E-10  2.57E-10
  0.009  1.43E-09  6.93E-10  1.74E-09
  0.010  7.42E-09  3.65E-09  9.06E-09
  0.011  3.14E-08  1.56E-08  3.83E-08
  0.012  1.12E-07  5.64E-08  1.37E-07
  0.013  3.50E-07  1.78E-07  4.28E-07
  0.014  9.78E-07  5.02E-07  1.19E-06
  0.015  2.49E-06  1.29E-06  3.03E-06
  0.016  5.83E-06  3.05E-06  7.12E-06
  0.018  2.64E-05  1.40E-05  3.21E-05
  0.020  9.66E-05  5.22E-05  1.18E-04
  0.025  1.30E-03  7.28E-04  1.58E-03
  0.030  9.44E-03  5.45E-03  1.14E-02
  0.040  1.70E-01  1.03E-01  2.03E-01
  0.050  1.33E+00  8.40E-01  1.57E+00
  0.060  6.40E+00  4.19E+00  7.49E+00
  0.070  2.25E+01  1.51E+01  2.61E+01
  0.080  6.37E+01  4.36E+01  7.33E+01
  0.090  1.54E+02  1.07E+02  1.76E+02
  0.100  3.29E+02  2.31E+02  3.74E+02
  0.110  6.40E+02  4.54E+02  7.27E+02
  0.120  1.16E+03  8.28E+02  1.31E+03
  0.130  1.96E+03  1.42E+03  2.23E+03
  0.140  3.17E+03  2.30E+03  3.61E+03
  0.150  4.91E+03  3.59E+03  5.60E+03
  0.160  7.33E+03  5.40E+03  8.39E+03
  0.180  1.50E+04  1.12E+04  1.73E+04
  0.200  2.80E+04  2.10E+04  3.23E+04
  0.250  9.93E+04  7.64E+04  1.16E+05
  0.300  2.65E+05  2.08E+05  3.08E+05
  0.350  5.77E+05  4.60E+05  6.72E+05
  0.400  1.09E+06  8.76E+05  1.26E+06
  0.450  1.82E+06  1.49E+06  2.12E+06
  0.500  2.81E+06  2.31E+06  3.26E+06
  0.600  5.51E+06  4.57E+06  6.39E+06
  0.700  9.06E+06  7.56E+06  1.05E+07
  0.800  1.32E+07  1.11E+07  1.54E+07
  0.900  1.78E+07  1.50E+07  2.07E+07
  1.000  2.27E+07  1.91E+07  2.63E+07
  1.250  3.49E+07  2.95E+07  4.07E+07
  1.500  4.67E+07  3.96E+07  5.45E+07
  1.750  5.76E+07  4.89E+07  6.73E+07
  2.000  6.75E+07  5.73E+07  7.89E+07
  2.500  8.46E+07  7.19E+07  9.89E+07
  3.000  9.86E+07  8.37E+07  1.15E+08
  3.500  1.10E+08  9.35E+07  1.29E+08
  4.000  1.20E+08  1.02E+08  1.40E+08
  5.000  1.35E+08  1.14E+08  1.57E+08
  6.000  1.45E+08  1.23E+08  1.70E+08
  7.000  1.54E+08  1.29E+08  1.80E+08
  8.000  1.60E+08  1.34E+08  1.87E+08
  9.000  1.65E+08  1.38E+08  1.93E+08
 10.000  1.69E+08  1.41E+08  1.97E+08
