#T9 	adopted 	low 	high                                                  
  0.002  2.38E-23  1.74E-23  3.04E-23
  0.003  5.95E-19  4.36E-19  7.60E-19
  0.004  3.55E-16  2.60E-16  4.52E-16
  0.005  3.33E-14  2.44E-14  4.22E-14
  0.006  1.06E-12  7.78E-13  1.34E-12
  0.007  1.68E-11  1.23E-11  2.12E-11
  0.008  1.64E-10  1.20E-10  2.06E-10
  0.009  1.12E-09  8.26E-10  1.41E-09
  0.010  5.87E-09  4.33E-09  7.38E-09
  0.011  2.50E-08  1.85E-08  3.13E-08
  0.012  8.99E-08  6.65E-08  1.13E-07
  0.013  2.83E-07  2.09E-07  3.53E-07
  0.014  7.94E-07  5.88E-07  9.90E-07
  0.015  2.03E-06  1.50E-06  2.53E-06
  0.016  4.78E-06  3.55E-06  5.94E-06
  0.018  2.18E-05  1.62E-05  2.70E-05
  0.020  8.05E-05  5.99E-05  9.94E-05
  0.025  1.10E-03  8.23E-04  1.35E-03
  0.030  8.09E-03  6.07E-03  9.86E-03
  0.040  1.48E-01  1.12E-01  1.78E-01
  0.050  1.17E+00  8.91E-01  1.39E+00
  0.060  5.68E+00  4.36E+00  6.70E+00
  0.070  2.01E+01  1.56E+01  2.35E+01
  0.080  5.70E+01  4.47E+01  6.62E+01
  0.090  1.38E+02  1.09E+02  1.59E+02
  0.100  2.95E+02  2.37E+02  3.39E+02
  0.110  5.74E+02  4.66E+02  6.57E+02
  0.120  1.04E+03  8.52E+02  1.18E+03
  0.130  1.77E+03  1.46E+03  2.01E+03
  0.140  2.86E+03  2.39E+03  3.24E+03
  0.150  4.45E+03  3.74E+03  5.03E+03
  0.160  6.67E+03  5.64E+03  7.52E+03
  0.180  1.38E+04  1.18E+04  1.55E+04
  0.200  2.60E+04  2.24E+04  2.92E+04
  0.250  9.63E+04  8.38E+04  1.07E+05
  0.300  2.68E+05  2.35E+05  3.00E+05
  0.350  6.10E+05  5.36E+05  6.82E+05
  0.400  1.19E+06  1.05E+06  1.33E+06
  0.450  2.06E+06  1.81E+06  2.31E+06
  0.500  3.24E+06  2.86E+06  3.64E+06
  0.600  6.57E+06  5.82E+06  7.39E+06
  0.700  1.10E+07  9.79E+06  1.24E+07
  0.800  1.64E+07  1.45E+07  1.84E+07
  0.900  2.22E+07  1.98E+07  2.49E+07
  1.000  2.84E+07  2.54E+07  3.18E+07
  1.250  4.41E+07  3.95E+07  4.92E+07
  1.500  5.88E+07  5.27E+07  6.54E+07
  1.750  7.19E+07  6.46E+07  7.98E+07
  2.000  8.34E+07  7.49E+07  9.24E+07
  2.500  1.02E+08  9.14E+07  1.13E+08
  3.000  1.16E+08  1.04E+08  1.28E+08
  3.500  1.26E+08  1.13E+08  1.41E+08
  4.000  1.34E+08  1.19E+08  1.50E+08
  5.000  1.46E+08  1.29E+08  1.64E+08
  6.000  1.54E+08  1.34E+08  1.74E+08
  7.000  1.59E+08  1.38E+08  1.81E+08
  8.000  1.63E+08  1.41E+08  1.87E+08
  9.000  1.65E+08  1.43E+08  1.91E+08
 10.000  1.67E+08  1.44E+08  1.94E+08
