#T9 	adopted 	low 	high                                                  
  0.003  4.58E-23  3.84E-23  5.16E-23
  0.004  2.70E-20  2.26E-20  3.04E-20
  0.005  2.50E-18  2.10E-18  2.82E-18
  0.006  7.89E-17  6.64E-17  8.90E-17
  0.007  1.24E-15  1.04E-15  1.40E-15
  0.008  1.20E-14  1.01E-14  1.35E-14
  0.009  8.14E-14  6.87E-14  9.17E-14
  0.010  4.24E-13  3.58E-13  4.77E-13
  0.011  1.79E-12  1.51E-12  2.01E-12
  0.012  6.39E-12  5.41E-12  7.20E-12
  0.013  2.00E-11  1.69E-11  2.25E-11
  0.014  5.57E-11  4.72E-11  6.27E-11
  0.015  1.41E-10  1.20E-10  1.59E-10
  0.016  3.31E-10  2.81E-10  3.73E-10
  0.018  1.49E-09  1.27E-09  1.68E-09
  0.020  5.45E-09  4.64E-09  6.12E-09
  0.025  7.25E-08  6.19E-08  8.14E-08
  0.030  5.20E-07  4.45E-07  5.83E-07
  0.040  9.08E-06  7.83E-06  1.02E-05
  0.050  6.90E-05  5.98E-05  7.72E-05
  0.060  3.23E-04  2.81E-04  3.60E-04
  0.070  1.10E-03  9.65E-04  1.23E-03
  0.080  3.04E-03  2.67E-03  3.38E-03
  0.090  7.16E-03  6.32E-03  7.96E-03
  0.100  1.50E-02  1.33E-02  1.66E-02
  0.110  2.86E-02  2.54E-02  3.17E-02
  0.120  5.07E-02  4.52E-02  5.61E-02
  0.130  8.49E-02  7.59E-02  9.37E-02
  0.140  1.35E-01  1.21E-01  1.49E-01
  0.150  2.07E-01  1.86E-01  2.28E-01
  0.160  3.06E-01  2.76E-01  3.36E-01
  0.180  6.15E-01  5.58E-01  6.73E-01
  0.200  1.13E+00  1.03E+00  1.23E+00
  0.250  3.94E+00  3.62E+00  4.27E+00
  0.300  1.04E+01  9.59E+00  1.12E+01
  0.350  2.25E+01  2.09E+01  2.42E+01
  0.400  4.22E+01  3.92E+01  4.53E+01
  0.450  7.07E+01  6.56E+01  7.58E+01
  0.500  1.08E+02  1.01E+02  1.16E+02
  0.600  2.11E+02  1.96E+02  2.26E+02
  0.700  3.45E+02  3.21E+02  3.70E+02
  0.800  5.08E+02  4.72E+02  5.44E+02
  0.900  6.99E+02  6.49E+02  7.49E+02
  1.000  9.26E+02  8.57E+02  9.94E+02
  1.250  1.72E+03  1.58E+03  1.86E+03
  1.500  2.97E+03  2.69E+03  3.24E+03
  1.750  4.72E+03  4.25E+03  5.19E+03
  2.000  6.90E+03  6.18E+03  7.62E+03
  2.500  1.20E+04  1.07E+04  1.33E+04
  3.000  1.72E+04  1.52E+04  1.91E+04
  3.500  2.17E+04  1.93E+04  2.42E+04
  4.000  2.55E+04  2.26E+04  2.84E+04
  5.000  3.06E+04  2.71E+04  3.41E+04
  6.000  3.32E+04  2.94E+04  3.70E+04
  7.000  3.42E+04  3.03E+04  3.81E+04
  8.000  3.41E+04  3.02E+04  3.80E+04
  9.000  3.34E+04  2.96E+04  3.72E+04
 10.000  3.24E+04  2.87E+04  3.61E+04
