

     H1(P,E+NU)H2        
    t9       reaction rate
  0.001        8.60E-28
  0.002        5.84E-25
  0.003        1.34E-23
  0.004        9.46E-23
  0.005        3.78E-22
  0.006        1.08E-21
  0.007        2.49E-21
  0.008        4.93E-21
  0.009        8.79E-21
  0.010        1.44E-20
  0.011        2.22E-20
  0.012        3.25E-20
  0.013        4.57E-20
  0.014        6.20E-20
  0.015        8.18E-20
  0.016        1.05E-19
  0.018        1.64E-19
  0.020        2.41E-19
  0.025        5.16E-19
  0.030        9.18E-19
  0.040        2.11E-18
  0.050        3.80E-18
  0.060        5.92E-18
  0.070        8.43E-18
  0.080        1.13E-17
  0.090        1.44E-17
  0.100        1.77E-17
  0.110        2.13E-17
  0.120        2.51E-17
  0.130        2.90E-17
  0.140        3.30E-17
  0.150        3.71E-17
  0.160        4.14E-17
  0.180        5.01E-17
  0.200        5.91E-17
  0.250        8.24E-17
  0.300        1.06E-16
  0.350        1.30E-16
  0.400        1.55E-16
  0.450        1.79E-16
  0.500        2.03E-16
  0.600        2.50E-16
  0.700        2.97E-16
  0.800        3.42E-16
  0.900        3.87E-16
  1.000        4.30E-16
  1.250        5.35E-16
  1.500        6.35E-16
  1.750        7.31E-16
  2.000        8.22E-16
  2.500        9.96E-16
  3.000        1.16E-15


 



     H1(E-P,NU)H2                            
    t9       reaction rate
  0.001        9.23E-32
  0.002        4.55E-29
  0.003        8.71E-28
  0.004        5.46E-27
  0.005        1.99E-26
  0.006        5.29E-26
  0.007        1.15E-25
  0.008        2.17E-25
  0.009        3.70E-25
  0.010        5.85E-25
  0.011        8.71E-25
  0.012        1.24E-24
  0.013        1.69E-24
  0.014        2.24E-24
  0.015        2.89E-24
  0.016        3.64E-24
  0.018        5.48E-24
  0.020        7.79E-24
  0.025        1.56E-23
  0.030        2.64E-23
  0.040        5.63E-23
  0.050        9.59E-23
  0.060        1.43E-22
  0.070        1.97E-22
  0.080        2.55E-22
  0.090        3.17E-22
  0.100        3.81E-22
  0.110        4.48E-22
  0.120        5.17E-22
  0.130        5.86E-22
  0.140        6.56E-22
  0.150        7.27E-22
  0.160        7.98E-22
  0.180        9.40E-22
  0.200        1.08E-21
  0.250        1.42E-21
  0.300        1.75E-21
  0.350        2.05E-21
  0.400        2.34E-21
  0.450        2.60E-21
  0.500        2.85E-21
  0.600        3.31E-21
  0.700        3.71E-21
  0.800        4.07E-21
  0.900        4.39E-21
  1.000        4.67E-21
  1.250        5.28E-21
  1.500        5.77E-21
  1.750        6.16E-21
  2.000        6.49E-21
  2.500        7.00E-21
  3.000        7.38E-21


 



     H2(P,G)HE3                              
    t9       reaction rate
  0.001        1.64E-11
  0.002        2.28E-08
  0.003        7.41E-07
  0.004        6.58E-06
  0.005        3.09E-05
  0.006        1.00E-04
  0.007        2.55E-04
  0.008        5.52E-04
  0.009        1.06E-03
  0.010        1.85E-03
  0.011        3.01E-03
  0.012        4.63E-03
  0.013        6.80E-03
  0.014        9.63E-03
  0.015        1.32E-02
  0.016        1.76E-02
  0.018        2.92E-02
  0.020        4.53E-02
  0.025        1.09E-01
  0.030        2.11E-01
  0.040        5.57E-01
  0.050        1.11E+00
  0.060        1.88E+00
  0.070        2.86E+00
  0.080        4.06E+00
  0.090        5.45E+00
  0.100        7.03E+00
  0.110        8.79E+00
  0.120        1.07E+01
  0.130        1.28E+01
  0.140        1.50E+01
  0.150        1.74E+01
  0.160        1.99E+01
  0.180        2.53E+01
  0.200        3.11E+01
  0.250        4.73E+01
  0.300        6.53E+01
  0.350        8.48E+01
  0.400        1.05E+02
  0.450        1.27E+02
  0.500        1.49E+02
  0.600        1.95E+02
  0.700        2.42E+02
  0.800        2.90E+02
  0.900        3.39E+02
  1.000        3.88E+02
  1.250        5.10E+02
  1.500        6.32E+02
  1.750        7.52E+02
  2.000        8.70E+02
  2.500        1.10E+03
  3.000        1.32E+03
  3.500        1.53E+03
  4.000        1.73E+03
  5.000        2.12E+03
  6.000        2.48E+03
  7.000        2.81E+03
  8.000        3.13E+03
  9.000        3.44E+03
 10.000        3.73E+03


 



     H2(P,N)2H1                              
    t9       reaction rate
  0.001        0.00E+00
  0.002        0.00E+00
  0.003        0.00E+00
  0.004        0.00E+00
  0.005        0.00E+00
  0.006        0.00E+00
  0.007        0.00E+00
  0.008        0.00E+00
  0.009        0.00E+00
  0.010        0.00E+00
  0.011        0.00E+00
  0.012        0.00E+00
  0.013        0.00E+00
  0.014        0.00E+00
  0.015        0.00E+00
  0.016        0.00E+00
  0.018        0.00E+00
  0.020        0.00E+00
  0.025        0.00E+00
  0.030        0.00E+00
  0.040        0.00E+00
  0.050        0.00E+00
  0.060        0.00E+00
  0.070        0.00E+00
  0.080        0.00E+00
  0.090        0.00E+00
  0.100        0.00E+00
  0.110        0.00E+00
  0.120        0.00E+00
  0.130        0.00E+00
  0.140        0.00E+00
  0.150        0.00E+00
  0.160        0.00E+00
  0.180        0.00E+00
  0.200        0.00E+00
  0.250        2.35E-40
  0.300        1.04E-32
  0.350        3.12E-27
  0.400        4.11E-23
  0.450        6.73E-20
  0.500        2.55E-17
  0.600        1.95E-13
  0.700        1.20E-10
  0.800        1.52E-08
  0.900        6.70E-07
  1.000        1.41E-05
  1.250        3.54E-03
  1.500        1.48E-01
  1.750        2.19E+00
  2.000        1.70E+01
  2.500        3.13E+02
  3.000        2.29E+03
  3.500        9.78E+03
  4.000        2.98E+04
  5.000        1.48E+05
  6.000        4.51E+05
  7.000        1.03E+06
  8.000        1.96E+06
  9.000        3.29E+06
 10.000        5.05E+06


 



