#T9 	adopted 	low 	high
  0.004  1.78E-24  1.53E-24  2.06E-24
  0.005  3.65E-22  3.15E-22  4.25E-22
  0.006  2.12E-20  1.83E-20  2.47E-20
  0.007  5.43E-19  4.67E-19  6.33E-19
  0.008  7.89E-18  6.77E-18  9.19E-18
  0.009  7.56E-17  6.49E-17  8.82E-17
  0.010  5.30E-16  4.54E-16  6.18E-16
  0.011  2.91E-15  2.49E-15  3.39E-15
  0.012  1.31E-14  1.12E-14  1.53E-14
  0.013  5.05E-14  4.32E-14  5.90E-14
  0.014  1.70E-13  1.45E-13  1.99E-13
  0.015  5.14E-13  4.39E-13  6.02E-13
  0.016  1.41E-12  1.20E-12  1.65E-12
  0.018  8.45E-12  7.19E-12  9.90E-12
  0.020  3.95E-11  3.35E-11  4.63E-11
  0.025  8.70E-10  7.35E-10  1.02E-09
  0.030  9.26E-09  7.79E-09  1.09E-08
  0.040  2.96E-07  2.47E-07  3.51E-07
  0.050  3.58E-06  2.96E-06  4.26E-06
  0.060  2.49E-05  2.04E-05  2.98E-05
  0.070  1.28E-04  1.03E-04  1.54E-04
  0.080  5.79E-04  4.58E-04  7.04E-04
  0.090  2.50E-03  1.94E-03  3.07E-03
  0.100  9.84E-03  7.54E-03  1.22E-02
  0.110  3.34E-02  2.54E-02  4.15E-02
  0.120  9.67E-02  7.32E-02  1.20E-01
  0.130  2.42E-01  1.83E-01  3.02E-01
  0.140  5.36E-01  4.04E-01  6.68E-01
  0.150  1.07E+00  8.05E-01  1.33E+00
  0.160  1.95E+00  1.47E+00  2.44E+00
  0.180  5.29E+00  3.98E+00  6.61E+00
  0.200  1.16E+01  8.75E+00  1.45E+01
  0.250  4.63E+01  3.48E+01  5.78E+01
  0.300  1.12E+02  8.40E+01  1.39E+02
  0.350  2.03E+02  1.53E+02  2.54E+02
  0.400  3.12E+02  2.35E+02  3.89E+02
  0.450  4.29E+02  3.24E+02  5.35E+02
  0.500  5.49E+02  4.15E+02  6.83E+02
  0.600  7.83E+02  5.96E+02  9.71E+02
  0.700  1.01E+03  7.75E+02  1.25E+03
  0.800  1.24E+03  9.63E+02  1.53E+03
  0.900  1.50E+03  1.17E+03  1.82E+03
  1.000  1.78E+03  1.41E+03  2.15E+03
  1.250  2.64E+03  2.14E+03  3.16E+03
  1.500  3.72E+03  3.05E+03  4.40E+03
  1.750  4.94E+03  4.08E+03  5.83E+03
  2.000  6.24E+03  5.18E+03  7.36E+03
  2.500  8.87E+03  7.36E+03  1.05E+04
  3.000  1.13E+04  9.40E+03  1.34E+04
  3.500  1.35E+04  1.12E+04  1.60E+04
  4.000  1.54E+04  1.28E+04  1.83E+04
  5.000  1.85E+04  1.53E+04  2.20E+04
  6.000  2.09E+04  1.73E+04  2.48E+04
  7.000  2.28E+04  1.90E+04  2.70E+04
  8.000  2.47E+04  2.07E+04  2.91E+04
  9.000  2.67E+04  2.25E+04  3.13E+04
 10.000  2.89E+04  2.45E+04  3.36E+04
