#T9 	adopted 	low 	high                                                  
  0.060  6.00E-26  4.91E-26  7.09E-26
  0.070  2.98E-24  2.44E-24  3.52E-24
  0.080  7.43E-23  6.09E-23  8.75E-23
  0.090  1.12E-21  9.18E-22  1.32E-21
  0.100  1.15E-20  9.46E-21  1.36E-20
  0.110  8.81E-20  7.24E-20  1.04E-19
  0.120  5.32E-19  4.38E-19  6.26E-19
  0.130  2.65E-18  2.18E-18  3.12E-18
  0.140  1.13E-17  9.27E-18  1.32E-17
  0.150  4.18E-17  3.44E-17  4.91E-17
  0.160  1.38E-16  1.14E-16  1.63E-16
  0.180  1.15E-15  9.49E-16  1.35E-15
  0.200  7.08E-15  5.86E-15  8.30E-15
  0.250  2.67E-13  2.21E-13  3.12E-13
  0.300  4.19E-12  3.49E-12  4.89E-12
  0.350  3.75E-11  3.13E-11  4.37E-11
  0.400  2.27E-10  1.90E-10  2.64E-10
  0.450  1.03E-09  8.69E-10  1.20E-09
  0.500  3.80E-09  3.21E-09  4.41E-09
  0.600  3.23E-08  2.74E-08  3.74E-08
  0.700  1.77E-07  1.51E-07  2.05E-07
  0.800  7.16E-07  6.12E-07  8.29E-07
  0.900  2.33E-06  1.99E-06  2.70E-06
  1.000  6.45E-06  5.49E-06  7.48E-06
  1.250  4.99E-05  4.19E-05  5.83E-05
  1.500  2.45E-04  2.03E-04  2.91E-04
  1.750  9.13E-04  7.56E-04  1.10E-03
  2.000  2.81E-03  2.34E-03  3.43E-03
  2.500  1.75E-02  1.49E-02  2.15E-02
  3.000  7.19E-02  6.30E-02  8.75E-02
  3.500  2.23E-01  2.00E-01  2.66E-01
  4.000  5.77E-01  5.22E-01  6.73E-01
  5.000  2.75E+00  2.51E+00  3.11E+00
  6.000  9.63E+00  8.72E+00  1.08E+01
  7.000  2.60E+01  2.33E+01  2.90E+01
  8.000  5.66E+01  5.05E+01  6.33E+01
  9.000  1.05E+02  9.29E+01  1.17E+02
 10.000  1.71E+02  1.51E+02  1.92E+02
