#T9 	adopted 	low 	high                                                  
  0.006  1.21E-24  9.04E-25  1.60E-24
  0.007  4.75E-23  3.54E-23  6.24E-23
  0.008  9.85E-22  7.34E-22  1.29E-21
  0.009  1.28E-20  9.53E-21  1.68E-20
  0.010  1.16E-19  8.66E-20  1.52E-19
  0.011  7.99E-19  5.96E-19  1.05E-18
  0.012  4.40E-18  3.28E-18  5.77E-18
  0.013  2.02E-17  1.51E-17  2.65E-17
  0.014  8.01E-17  5.97E-17  1.05E-16
  0.015  2.79E-16  2.08E-16  3.65E-16
  0.016  8.75E-16  6.53E-16  1.14E-15
  0.018  6.60E-15  4.93E-15  8.62E-15
  0.020  3.76E-14  2.81E-14  4.90E-14
  0.025  1.23E-12  9.17E-13  1.59E-12
  0.030  1.74E-11  1.31E-11  2.26E-11
  0.040  8.35E-10  6.26E-10  1.08E-09
  0.050  1.31E-08  9.82E-09  1.68E-08
  0.060  1.07E-07  8.02E-08  1.37E-07
  0.070  5.70E-07  4.30E-07  7.29E-07
  0.080  2.28E-06  1.72E-06  2.90E-06
  0.090  7.36E-06  5.57E-06  9.34E-06
  0.100  2.03E-05  1.53E-05  2.56E-05
  0.110  4.92E-05  3.73E-05  6.20E-05
  0.120  1.08E-04  8.21E-05  1.36E-04
  0.130  2.19E-04  1.67E-04  2.75E-04
  0.140  4.16E-04  3.17E-04  5.19E-04
  0.150  7.46E-04  5.69E-04  9.28E-04
  0.160  1.28E-03  9.77E-04  1.58E-03
  0.180  3.35E-03  2.57E-03  4.12E-03
  0.200  7.81E-03  6.04E-03  9.54E-03
  0.250  4.78E-02  3.81E-02  5.69E-02
  0.300  2.33E-01  1.94E-01  2.69E-01
  0.350  9.55E-01  8.26E-01  1.08E+00
  0.400  3.18E+00  2.83E+00  3.52E+00
  0.450  8.62E+00  7.79E+00  9.41E+00
  0.500  1.96E+01  1.79E+01  2.12E+01
  0.600  6.79E+01  6.30E+01  7.29E+01
  0.700  1.64E+02  1.53E+02  1.75E+02
  0.800  3.13E+02  2.93E+02  3.33E+02
  0.900  5.10E+02  4.79E+02  5.41E+02
  1.000  7.43E+02  7.01E+02  7.88E+02
  1.250  1.41E+03  1.33E+03  1.49E+03
  1.500  2.06E+03  1.95E+03  2.17E+03
  1.750  2.62E+03  2.48E+03  2.76E+03
  2.000  3.06E+03  2.90E+03  3.22E+03
  2.500  3.64E+03  3.45E+03  3.84E+03
  3.000  3.94E+03  3.71E+03  4.18E+03
  3.500  4.08E+03  3.81E+03  4.35E+03
  4.000  4.13E+03  3.82E+03  4.44E+03
  5.000  4.12E+03  3.73E+03  4.52E+03
  6.000  4.06E+03  3.58E+03  4.54E+03
  7.000  3.97E+03  3.42E+03  4.52E+03
  8.000  3.88E+03  3.27E+03  4.48E+03
  9.000  3.78E+03  3.12E+03  4.43E+03
 10.000  3.68E+03  2.99E+03  4.35E+03
