#T9 	adopted 	low 	high                                                  
  0.040  2.91E-24  1.92E-24  4.20E-24
  0.050  1.82E-21  1.23E-21  2.60E-21
  0.060  2.45E-19  1.69E-19  3.44E-19
  0.070  1.22E-17  8.60E-18  1.69E-17
  0.080  3.06E-16  2.20E-16  4.19E-16
  0.090  4.65E-15  3.42E-15  6.29E-15
  0.100  4.86E-14  3.62E-14  6.48E-14
  0.110  3.78E-13  2.86E-13  4.98E-13
  0.120  2.33E-12  1.77E-12  3.04E-12
  0.130  1.18E-11  9.09E-12  1.53E-11
  0.140  5.15E-11  3.97E-11  6.58E-11
  0.150  1.96E-10  1.51E-10  2.48E-10
  0.160  6.63E-10  5.15E-10  8.38E-10
  0.180  5.77E-09  4.49E-09  7.25E-09
  0.200  3.72E-08  2.91E-08  4.68E-08
  0.250  1.58E-06  1.24E-06  2.02E-06
  0.300  2.89E-05  2.26E-05  3.74E-05
  0.350  3.14E-04  2.45E-04  4.10E-04
  0.400  2.43E-03  1.88E-03  3.17E-03
  0.450  1.45E-02  1.12E-02  1.88E-02
  0.500  6.92E-02  5.34E-02  8.90E-02
  0.600  8.76E-01  6.78E-01  1.11E+00
  0.700  6.06E+00  4.72E+00  7.60E+00
  0.800  2.73E+01  2.14E+01  3.40E+01
  0.900  9.10E+01  7.18E+01  1.12E+02
  1.000  2.44E+02  1.94E+02  2.99E+02
  1.250  1.57E+03  1.27E+03  1.89E+03
  1.500  6.04E+03  4.94E+03  7.20E+03
  1.750  1.73E+04  1.43E+04  2.05E+04
  2.000  4.07E+04  3.39E+04  4.78E+04
  2.500  1.48E+05  1.24E+05  1.74E+05
  3.000  3.70E+05  3.09E+05  4.35E+05
  3.500  7.24E+05  6.03E+05  8.55E+05
  4.000  1.21E+06  9.99E+05  1.44E+06
  5.000  2.54E+06  2.06E+06  3.06E+06
  6.000  4.37E+06  3.49E+06  5.35E+06
  7.000  6.87E+06  5.42E+06  8.55E+06
  8.000  1.04E+07  8.09E+06  1.31E+07
  9.000  1.53E+07  1.18E+07  1.96E+07
 10.000  2.21E+07  1.69E+07  2.86E+07
