#T9 	adopted 	low 	high                                                  
  0.005  6.59E-26  5.22E-26  7.85E-26
  0.006  1.14E-23  9.07E-24  1.36E-23
  0.007  7.04E-22  5.59E-22  8.35E-22
  0.008  2.11E-20  1.67E-20  2.49E-20
  0.009  3.73E-19  2.97E-19  4.41E-19
  0.010  4.43E-18  3.54E-18  5.23E-18
  0.011  3.86E-17  3.09E-17  4.55E-17
  0.012  2.63E-16  2.10E-16  3.09E-16
  0.013  1.46E-15  1.17E-15  1.72E-15
  0.014  6.85E-15  5.50E-15  8.04E-15
  0.015  2.80E-14  2.25E-14  3.28E-14
  0.016  1.01E-13  8.14E-14  1.18E-13
  0.018  9.87E-13  7.96E-13  1.15E-12
  0.020  7.02E-12  5.68E-12  8.18E-12
  0.025  3.60E-10  2.94E-10  4.17E-10
  0.030  7.30E-09  5.99E-09  8.41E-09
  0.040  5.95E-07  4.94E-07  6.79E-07
  0.050  1.38E-05  1.16E-05  1.56E-05
  0.060  1.53E-04  1.29E-04  1.73E-04
  0.070  1.05E-03  8.89E-04  1.19E-03
  0.080  5.20E-03  4.41E-03  5.91E-03
  0.090  2.03E-02  1.73E-02  2.31E-02
  0.100  6.65E-02  5.71E-02  7.54E-02
  0.110  1.90E-01  1.64E-01  2.15E-01
  0.120  4.87E-01  4.21E-01  5.50E-01
  0.130  1.14E+00  9.91E-01  1.29E+00
  0.140  2.49E+00  2.17E+00  2.82E+00
  0.150  5.13E+00  4.45E+00  5.81E+00
  0.160  1.00E+01  8.67E+00  1.14E+01
  0.180  3.38E+01  2.90E+01  3.86E+01
  0.200  9.91E+01  8.45E+01  1.14E+02
  0.250  9.00E+02  7.61E+02  1.04E+03
  0.300  4.76E+03  4.03E+03  5.49E+03
  0.350  1.70E+04  1.44E+04  1.95E+04
  0.400  4.58E+04  3.90E+04  5.26E+04
  0.450  1.00E+05  8.57E+04  1.15E+05
  0.500  1.90E+05  1.62E+05  2.18E+05
  0.600  4.97E+05  4.25E+05  5.69E+05
  0.700  9.92E+05  8.47E+05  1.14E+06
  0.800  1.66E+06  1.43E+06  1.91E+06
  0.900  2.50E+06  2.13E+06  2.87E+06
  1.000  3.47E+06  2.96E+06  3.98E+06
  1.250  6.38E+06  5.40E+06  7.36E+06
  1.500  9.88E+06  8.28E+06  1.15E+07
  1.750  1.39E+07  1.14E+07  1.63E+07
  2.000  1.82E+07  1.48E+07  2.17E+07
  2.500  2.71E+07  2.17E+07  3.33E+07
  3.000  3.57E+07  2.80E+07  4.52E+07
  3.500  4.32E+07  3.35E+07  5.68E+07
  4.000  4.93E+07  3.80E+07  6.79E+07
  5.000  5.84E+07  4.44E+07  8.84E+07
  6.000  6.40E+07  4.84E+07  1.08E+08
  7.000  6.76E+07  5.08E+07  1.26E+08
  8.000  6.98E+07  5.23E+07  1.43E+08
  9.000  7.12E+07  5.31E+07  1.59E+08
 10.000  7.19E+07  5.36E+07  1.74E+08
