#T9 	adopted 	low 	high                                                  
  0.007  4.54E-25  3.87E-25  5.39E-25
  0.008  1.34E-23  1.14E-23  1.59E-23
  0.009  2.34E-22  2.00E-22  2.78E-22
  0.010  2.75E-21  2.35E-21  3.26E-21
  0.011  2.36E-20  2.02E-20  2.81E-20
  0.012  1.59E-19  1.36E-19  1.89E-19
  0.013  8.73E-19  7.46E-19  1.03E-18
  0.014  4.05E-18  3.47E-18  4.80E-18
  0.015  1.64E-17  1.40E-17  1.94E-17
  0.016  5.86E-17  5.01E-17  6.93E-17
  0.018  5.60E-16  4.78E-16  6.60E-16
  0.020  3.90E-15  3.34E-15  4.60E-15
  0.025  1.91E-13  1.63E-13  2.24E-13
  0.030  3.70E-12  3.17E-12  4.34E-12
  0.040  2.78E-10  2.38E-10  3.24E-10
  0.050  5.97E-09  5.12E-09  6.94E-09
  0.060  6.21E-08  5.32E-08  7.17E-08
  0.070  4.03E-07  3.45E-07  4.63E-07
  0.080  1.89E-06  1.62E-06  2.16E-06
  0.090  6.98E-06  5.99E-06  7.95E-06
  0.100  2.16E-05  1.85E-05  2.44E-05
  0.110  5.82E-05  5.00E-05  6.57E-05
  0.120  1.40E-04  1.20E-04  1.58E-04
  0.130  3.11E-04  2.67E-04  3.47E-04
  0.140  6.41E-04  5.49E-04  7.14E-04
  0.150  1.24E-03  1.06E-03  1.38E-03
  0.160  2.30E-03  1.97E-03  2.55E-03
  0.180  7.00E-03  5.95E-03  7.77E-03
  0.200  1.88E-02  1.59E-02  2.09E-02
  0.250  1.48E-01  1.26E-01  1.68E-01
  0.300  7.72E-01  6.37E-01  8.96E-01
  0.350  2.95E+00  2.35E+00  3.54E+00
  0.400  8.85E+00  6.73E+00  1.09E+01
  0.450  2.17E+01  1.59E+01  2.75E+01
  0.500  4.55E+01  3.24E+01  5.85E+01
  0.600  1.41E+02  9.63E+01  1.85E+02
  0.700  3.16E+02  2.12E+02  4.19E+02
  0.800  5.79E+02  3.87E+02  7.72E+02
  0.900  9.30E+02  6.24E+02  1.24E+03
  1.000  1.37E+03  9.33E+02  1.81E+03
  1.250  2.91E+03  2.10E+03  3.72E+03
  1.500  5.20E+03  4.02E+03  6.40E+03
  1.750  8.35E+03  6.78E+03  9.92E+03
  2.000  1.23E+04  1.03E+04  1.42E+04
  2.500  2.18E+04  1.90E+04  2.47E+04
  3.000  3.21E+04  2.82E+04  3.60E+04
  3.500  4.16E+04  3.66E+04  4.68E+04
  4.000  5.00E+04  4.37E+04  5.64E+04
  5.000  6.22E+04  5.38E+04  7.05E+04
  6.000  6.90E+04  5.94E+04  7.87E+04
  7.000  7.22E+04  6.17E+04  8.26E+04
  8.000  7.29E+04  6.20E+04  8.37E+04
  9.000  7.21E+04  6.11E+04  8.30E+04
 10.000  7.03E+04  5.94E+04  8.12E+04
