# T9 	    adopted 	low 	   high 	
  0.001  1.46E-15  1.08E-15  1.72E-15
  0.002  6.02E-12  4.47E-12  7.12E-12
  0.003  3.30E-10  2.45E-10  3.90E-10
  0.004  4.05E-09  3.01E-09  4.79E-09
  0.005  2.39E-08  1.77E-08  2.83E-08
  0.006  9.19E-08  6.82E-08  1.09E-07
  0.007  2.68E-07  1.99E-07  3.18E-07
  0.008  6.47E-07  4.80E-07  7.66E-07
  0.009  1.36E-06  1.01E-06  1.61E-06
  0.010  2.57E-06  1.90E-06  3.04E-06
  0.011  4.47E-06  3.31E-06  5.29E-06
  0.012  7.28E-06  5.41E-06  8.62E-06
  0.013  1.13E-05  8.36E-06  1.33E-05
  0.014  1.67E-05  1.24E-05  1.98E-05
  0.015  2.38E-05  1.77E-05  2.82E-05
  0.016  3.29E-05  2.44E-05  3.90E-05
  0.018  5.83E-05  4.33E-05  6.91E-05
  0.020  9.52E-05  7.07E-05  1.13E-04
  0.025  2.52E-04  1.87E-04  2.99E-04
  0.030  5.27E-04  3.91E-04  6.25E-04
  0.040  1.52E-03  1.13E-03  1.80E-03
  0.050  3.19E-03  2.37E-03  3.79E-03
  0.060  5.57E-03  4.14E-03  6.62E-03
  0.070  8.65E-03  6.44E-03  1.03E-02
  0.080  1.24E-02  9.22E-03  1.47E-02
  0.090  1.68E-02  1.25E-02  1.99E-02
  0.100  2.16E-02  1.61E-02  2.58E-02
  0.110  2.71E-02  2.02E-02  3.22E-02
  0.120  3.29E-02  2.45E-02  3.92E-02
  0.130  3.91E-02  2.92E-02  4.66E-02
  0.140  4.57E-02  3.41E-02  5.45E-02
  0.150  5.26E-02  3.93E-02  6.27E-02
  0.160  5.98E-02  4.47E-02  7.13E-02
  0.180  7.48E-02  5.60E-02  8.93E-02
  0.200  9.06E-02  6.79E-02  1.08E-01
  0.250  1.32E-01  9.96E-02  1.58E-01
  0.300  1.76E-01  1.33E-01  2.11E-01
  0.350  2.21E-01  1.67E-01  2.66E-01
  0.400  2.67E-01  2.02E-01  3.23E-01
  0.450  3.15E-01  2.37E-01  3.82E-01
  0.500  3.63E-01  2.73E-01  4.44E-01
  0.600  4.65E-01  3.47E-01  5.78E-01
  0.700  5.74E-01  4.25E-01  7.27E-01
  0.800  6.92E-01  5.07E-01  8.92E-01
  0.900  8.18E-01  5.94E-01  1.07E+00
  1.000  9.54E-01  6.86E-01  1.27E+00
  1.250  1.33E+00  9.38E-01  1.85E+00
  1.500  1.76E+00  1.22E+00  2.51E+00
  1.750  2.23E+00  1.53E+00  3.25E+00
  2.000  2.75E+00  1.88E+00  4.05E+00
  2.500  3.92E+00  2.67E+00  5.81E+00
  3.000  5.27E+00  3.62E+00  7.74E+00
  3.500  6.80E+00  4.76E+00  9.81E+00
  4.000  8.50E+00  6.07E+00  1.20E+01
  5.000  1.23E+01  9.17E+00  1.67E+01
  6.000  1.66E+01  1.28E+01  2.17E+01
  7.000  2.12E+01  1.67E+01  2.69E+01
  8.000  2.58E+01  2.08E+01  3.20E+01
  9.000  3.04E+01  2.49E+01  3.70E+01
 10.000  3.48E+01  2.88E+01  4.18E+01
