#T9 	adopted 	low 	high                                                  
  0.001  1.43E-08  1.28E-08  1.58E-08
  0.002  5.95E-05  5.31E-05  6.57E-05
  0.003  3.23E-03  2.89E-03  3.57E-03
  0.004  3.95E-02  3.53E-02  4.36E-02
  0.005  2.34E-01  2.09E-01  2.58E-01
  0.006  9.01E-01  8.05E-01  9.95E-01
  0.007  2.64E+00  2.36E+00  2.91E+00
  0.008  6.38E+00  5.70E+00  7.04E+00
  0.009  1.34E+01  1.20E+01  1.48E+01
  0.010  2.54E+01  2.27E+01  2.80E+01
  0.011  4.44E+01  3.97E+01  4.89E+01
  0.012  7.25E+01  6.49E+01  7.99E+01
  0.013  1.12E+02  1.01E+02  1.24E+02
  0.014  1.67E+02  1.49E+02  1.84E+02
  0.015  2.39E+02  2.14E+02  2.63E+02
  0.016  3.31E+02  2.96E+02  3.64E+02
  0.018  5.88E+02  5.27E+02  6.48E+02
  0.020  9.64E+02  8.64E+02  1.06E+03
  0.025  2.58E+03  2.31E+03  2.84E+03
  0.030  5.44E+03  4.88E+03  5.97E+03
  0.040  1.60E+04  1.44E+04  1.75E+04
  0.050  3.40E+04  3.07E+04  3.73E+04
  0.060  6.04E+04  5.45E+04  6.60E+04
  0.070  9.52E+04  8.61E+04  1.04E+05
  0.080  1.38E+05  1.25E+05  1.51E+05
  0.090  1.89E+05  1.72E+05  2.06E+05
  0.100  2.48E+05  2.25E+05  2.69E+05
  0.110  3.13E+05  2.85E+05  3.40E+05
  0.120  3.86E+05  3.51E+05  4.17E+05
  0.130  4.64E+05  4.23E+05  5.02E+05
  0.140  5.48E+05  5.01E+05  5.92E+05
  0.150  6.38E+05  5.83E+05  6.88E+05
  0.160  7.32E+05  6.70E+05  7.89E+05
  0.180  9.36E+05  8.59E+05  1.01E+06
  0.200  1.16E+06  1.06E+06  1.24E+06
  0.250  1.77E+06  1.64E+06  1.90E+06
  0.300  2.46E+06  2.28E+06  2.63E+06
  0.350  3.20E+06  2.97E+06  3.41E+06
  0.400  3.98E+06  3.70E+06  4.23E+06
  0.450  4.78E+06  4.46E+06  5.08E+06
  0.500  5.59E+06  5.23E+06  5.93E+06
  0.600  7.25E+06  6.80E+06  7.67E+06
  0.700  8.90E+06  8.38E+06  9.40E+06
  0.800  1.05E+07  9.95E+06  1.11E+07
  0.900  1.22E+07  1.15E+07  1.28E+07
  1.000  1.37E+07  1.30E+07  1.45E+07
  1.250  1.76E+07  1.66E+07  1.85E+07
  1.500  2.12E+07  2.01E+07  2.23E+07
  1.750  2.46E+07  2.34E+07  2.59E+07
  2.000  2.79E+07  2.65E+07  2.93E+07
  2.500  3.39E+07  3.23E+07  3.55E+07
  3.000  3.93E+07  3.76E+07  4.10E+07
  3.500  4.43E+07  4.25E+07  4.60E+07
  4.000  4.87E+07  4.70E+07  5.05E+07
  5.000  5.65E+07  5.48E+07  5.81E+07
  6.000  6.26E+07  6.10E+07  6.42E+07
  7.000  6.73E+07  6.58E+07  6.88E+07
  8.000  7.27E+07  7.11E+07  7.44E+07
  9.000  7.72E+07  7.54E+07  7.89E+07
 10.000  8.13E+07  8.03E+07  8.40E+07
