#T9 	adopted 	low 	high                                                  
  0.001  1.45E-08  1.33E-08  1.57E-08
  0.002  6.02E-05  5.52E-05  6.54E-05
  0.003  3.27E-03  3.00E-03  3.55E-03
  0.004  4.00E-02  3.67E-02  4.34E-02
  0.005  2.36E-01  2.17E-01  2.57E-01
  0.006  9.12E-01  8.38E-01  9.89E-01
  0.007  2.67E+00  2.45E+00  2.90E+00
  0.008  6.46E+00  5.94E+00  7.00E+00
  0.009  1.36E+01  1.25E+01  1.47E+01
  0.010  2.57E+01  2.37E+01  2.79E+01
  0.011  4.49E+01  4.13E+01  4.87E+01
  0.012  7.34E+01  6.76E+01  7.96E+01
  0.013  1.14E+02  1.05E+02  1.23E+02
  0.014  1.69E+02  1.56E+02  1.83E+02
  0.015  2.42E+02  2.23E+02  2.62E+02
  0.016  3.35E+02  3.09E+02  3.63E+02
  0.018  5.96E+02  5.49E+02  6.45E+02
  0.020  9.77E+02  9.01E+02  1.06E+03
  0.025  2.62E+03  2.41E+03  2.83E+03
  0.030  5.51E+03  5.10E+03  5.95E+03
  0.040  1.62E+04  1.50E+04  1.74E+04
  0.050  3.46E+04  3.21E+04  3.72E+04
  0.060  6.14E+04  5.71E+04  6.59E+04
  0.070  9.68E+04  9.02E+04  1.04E+05
  0.080  1.41E+05  1.31E+05  1.50E+05
  0.090  1.93E+05  1.80E+05  2.06E+05
  0.100  2.52E+05  2.37E+05  2.69E+05
  0.110  3.19E+05  3.00E+05  3.40E+05
  0.120  3.92E+05  3.69E+05  4.17E+05
  0.130  4.72E+05  4.45E+05  5.02E+05
  0.140  5.57E+05  5.26E+05  5.91E+05
  0.150  6.47E+05  6.12E+05  6.87E+05
  0.160  7.42E+05  7.02E+05  7.87E+05
  0.180  9.44E+05  8.95E+05  1.00E+06
  0.200  1.16E+06  1.10E+06  1.23E+06
  0.250  1.75E+06  1.66E+06  1.84E+06
  0.300  2.38E+06  2.26E+06  2.51E+06
  0.350  3.04E+06  2.89E+06  3.20E+06
  0.400  3.72E+06  3.54E+06  3.91E+06
  0.450  4.41E+06  4.20E+06  4.63E+06
  0.500  5.11E+06  4.87E+06  5.36E+06
  0.600  6.52E+06  6.23E+06  6.82E+06
  0.700  7.93E+06  7.61E+06  8.27E+06
  0.800  9.34E+06  8.99E+06  9.71E+06
  0.900  1.07E+07  1.04E+07  1.11E+07
  1.000  1.21E+07  1.17E+07  1.25E+07
  1.250  1.54E+07  1.50E+07  1.59E+07
  1.500  1.86E+07  1.81E+07  1.90E+07
  1.750  2.15E+07  2.11E+07  2.19E+07
  2.000  2.43E+07  2.38E+07  2.47E+07
  2.500  2.94E+07  2.89E+07  2.98E+07
  3.000  3.40E+07  3.35E+07  3.44E+07
  3.500  3.82E+07  3.77E+07  3.86E+07
  4.000  4.21E+07  4.17E+07  4.25E+07
  5.000  4.91E+07  4.88E+07  4.95E+07
  6.000  5.54E+07  5.51E+07  5.58E+07
  7.000  6.10E+07  6.07E+07  6.14E+07
  8.000  6.59E+07  6.55E+07  6.63E+07
  9.000  7.00E+07  6.96E+07  7.03E+07
 10.000  7.33E+07  7.29E+07  7.36E+07
