#T9 	adopted 	low 	high                                                  
  0.001  3.54E-19  3.21E-19  3.87E-19
  0.002  6.14E-13  5.58E-13  6.72E-13
  0.003  6.36E-10  5.78E-10  6.96E-10
  0.004  5.02E-08  4.56E-08  5.49E-08
  0.005  1.11E-06  1.01E-06  1.22E-06
  0.006  1.18E-05  1.07E-05  1.29E-05
  0.007  7.74E-05  7.04E-05  8.47E-05
  0.008  3.64E-04  3.31E-04  3.99E-04
  0.009  1.35E-03  1.23E-03  1.48E-03
  0.010  4.15E-03  3.78E-03  4.54E-03
  0.011  1.11E-02  1.01E-02  1.21E-02
  0.012  2.64E-02  2.40E-02  2.89E-02
  0.013  5.74E-02  5.22E-02  6.29E-02
  0.014  1.16E-01  1.05E-01  1.26E-01
  0.015  2.18E-01  1.98E-01  2.39E-01
  0.016  3.89E-01  3.54E-01  4.26E-01
  0.018  1.08E+00  9.87E-01  1.19E+00
  0.020  2.62E+00  2.38E+00  2.87E+00
  0.025  1.52E+01  1.39E+01  1.67E+01
  0.030  5.82E+01  5.30E+01  6.37E+01
  0.040  4.07E+02  3.71E+02  4.46E+02
  0.050  1.62E+03  1.48E+03  1.77E+03
  0.060  4.63E+03  4.23E+03  5.07E+03
  0.070  1.07E+04  9.80E+03  1.17E+04
  0.080  2.14E+04  1.96E+04  2.35E+04
  0.090  3.85E+04  3.52E+04  4.22E+04
  0.100  6.38E+04  5.85E+04  6.99E+04
  0.110  9.94E+04  9.11E+04  1.09E+05
  0.120  1.47E+05  1.35E+05  1.61E+05
  0.130  2.09E+05  1.92E+05  2.29E+05
  0.140  2.88E+05  2.64E+05  3.15E+05
  0.150  3.85E+05  3.53E+05  4.22E+05
  0.160  5.03E+05  4.61E+05  5.51E+05
  0.180  8.07E+05  7.40E+05  8.84E+05
  0.200  1.22E+06  1.11E+06  1.33E+06
  0.250  2.77E+06  2.53E+06  3.04E+06
  0.300  5.19E+06  4.71E+06  5.69E+06
  0.350  8.51E+06  7.68E+06  9.34E+06
  0.400  1.27E+07  1.14E+07  1.39E+07
  0.450  1.76E+07  1.57E+07  1.93E+07
  0.500  2.31E+07  2.06E+07  2.54E+07
  0.600  3.53E+07  3.13E+07  3.89E+07
  0.700  4.83E+07  4.26E+07  5.33E+07
  0.800  6.12E+07  5.37E+07  6.77E+07
  0.900  7.35E+07  6.42E+07  8.15E+07
  1.000  8.49E+07  7.39E+07  9.43E+07
  1.250  1.09E+08  9.40E+07  1.21E+08
  1.500  1.27E+08  1.08E+08  1.42E+08
  1.750  1.39E+08  1.18E+08  1.56E+08
  2.000  1.48E+08  1.25E+08  1.67E+08
  2.500  1.57E+08  1.31E+08  1.78E+08
  3.000  1.61E+08  1.33E+08  1.83E+08
  3.500  1.61E+08  1.32E+08  1.83E+08
  4.000  1.59E+08  1.30E+08  1.82E+08
  5.000  1.53E+08  1.24E+08  1.76E+08
  6.000  1.46E+08  1.18E+08  1.68E+08
  7.000  1.38E+08  1.11E+08  1.59E+08
  8.000  1.31E+08  1.05E+08  1.51E+08
  9.000  1.24E+08  9.85E+07  1.42E+08
 10.000  1.17E+08  9.27E+07  1.34E+08
