#T9 	adopted 	low 	high
  0.001  2.23E-29  1.89E-29  3.92E-29
  0.002  5.38E-22  4.55E-22  9.45E-22
  0.003  1.91E-18  1.62E-18  3.36E-18
  0.004  3.28E-16  2.77E-16  5.75E-16
  0.005  1.26E-14  1.07E-14  2.21E-14
  0.006  2.04E-13  1.72E-13  3.57E-13
  0.007  1.87E-12  1.58E-12  3.27E-12
  0.008  1.16E-11  9.82E-12  2.03E-11
  0.009  5.44E-11  4.59E-11  9.49E-11
  0.010  2.05E-10  1.73E-10  3.57E-10
  0.011  6.52E-10  5.50E-10  1.14E-09
  0.012  1.82E-09  1.53E-09  3.16E-09
  0.013  4.53E-09  3.82E-09  7.89E-09
  0.014  1.03E-08  8.71E-09  1.80E-08
  0.015  2.18E-08  1.84E-08  3.80E-08
  0.016  4.32E-08  3.64E-08  7.51E-08
  0.018  1.45E-07  1.22E-07  2.51E-07
  0.020  4.09E-07  3.44E-07  7.08E-07
  0.025  3.25E-06  2.74E-06  5.62E-06
  0.030  1.57E-05  1.32E-05  2.71E-05
  0.040  1.55E-04  1.30E-04  2.65E-04
  0.050  7.80E-04  6.54E-04  1.33E-03
  0.060  2.66E-03  2.24E-03  4.51E-03
  0.070  7.06E-03  5.95E-03  1.19E-02
  0.080  1.58E-02  1.33E-02  2.64E-02
  0.090  3.10E-02  2.63E-02  5.15E-02
  0.100  5.53E-02  4.73E-02  9.15E-02
  0.110  9.18E-02  7.88E-02  1.51E-01
  0.120  1.44E-01  1.24E-01  2.34E-01
  0.130  2.14E-01  1.85E-01  3.47E-01
  0.140  3.07E-01  2.67E-01  4.94E-01
  0.150  4.25E-01  3.72E-01  6.79E-01
  0.160  5.74E-01  5.03E-01  9.08E-01
  0.180  9.74E-01  8.59E-01  1.51E+00
  0.200  1.54E+00  1.36E+00  2.35E+00
  0.250  3.85E+00  3.42E+00  5.58E+00
  0.300  7.73E+00  6.82E+00  1.07E+01
  0.350  1.34E+01  1.17E+01  1.78E+01
  0.400  2.11E+01  1.82E+01  2.70E+01
  0.450  3.07E+01  2.60E+01  3.83E+01
  0.500  4.21E+01  3.53E+01  5.15E+01
  0.600  7.00E+01  5.72E+01  8.31E+01
  0.700  1.03E+02  8.30E+01  1.21E+02
  0.800  1.41E+02  1.12E+02  1.63E+02
  0.900  1.83E+02  1.43E+02  2.10E+02
  1.000  2.26E+02  1.76E+02  2.60E+02
  1.250  3.43E+02  2.65E+02  3.95E+02
  1.500  4.64E+02  3.59E+02  5.40E+02
  1.750  5.85E+02  4.56E+02  6.92E+02
  2.000  7.04E+02  5.53E+02  8.50E+02
  2.500  9.32E+02  7.45E+02  1.19E+03
  3.000  1.14E+03  9.28E+02  1.54E+03
  3.500  1.34E+03  1.10E+03  1.90E+03
  4.000  1.52E+03  1.26E+03  2.25E+03
  5.000  1.84E+03  1.55E+03  2.91E+03
  6.000  2.11E+03  1.80E+03  3.46E+03
  7.000  2.34E+03  2.02E+03  3.91E+03
  8.000  2.54E+03  2.20E+03  4.27E+03
  9.000  2.71E+03  2.36E+03  4.56E+03
 10.000  2.86E+03  2.50E+03  4.79E+03
