#T9 	adopted 	low 	high                                                  
  0.020  4.63E-27  1.57E-27  1.38E-26
  0.025  1.56E-24  5.30E-25  4.63E-24
  0.030  1.30E-22  4.42E-23  3.85E-22
  0.040  7.90E-20  2.70E-20  2.33E-19
  0.050  7.33E-18  2.52E-18  2.15E-17
  0.060  2.28E-16  7.86E-17  6.66E-16
  0.070  3.49E-15  1.21E-15  1.02E-14
  0.080  3.29E-14  1.15E-14  9.55E-14
  0.090  2.18E-13  7.63E-14  6.29E-13
  0.100  1.10E-12  3.88E-13  3.17E-12
  0.110  4.53E-12  1.60E-12  1.30E-11
  0.120  1.58E-11  5.61E-12  4.50E-11
  0.130  4.80E-11  1.71E-11  1.36E-10
  0.140  1.31E-10  4.69E-11  3.69E-10
  0.150  3.24E-10  1.17E-10  9.11E-10
  0.160  7.41E-10  2.69E-10  2.08E-09
  0.180  3.23E-09  1.20E-09  8.93E-09
  0.200  1.23E-08  4.98E-09  3.23E-08
  0.250  6.37E-07  4.49E-07  1.04E-06
  0.300  2.99E-05  2.34E-05  4.13E-05
  0.350  5.11E-04  4.05E-04  6.93E-04
  0.400  4.25E-03  3.37E-03  5.73E-03
  0.450  2.17E-02  1.72E-02  2.92E-02
  0.500  7.86E-02  6.25E-02  1.06E-01
  0.600  5.31E-01  4.22E-01  7.15E-01
  0.700  2.05E+00  1.62E+00  2.76E+00
  0.800  5.63E+00  4.46E+00  7.59E+00
  0.900  1.25E+01  9.85E+00  1.68E+01
  1.000  2.37E+01  1.87E+01  3.21E+01
  1.250  7.81E+01  6.11E+01  1.06E+02
  1.500  1.77E+02  1.37E+02  2.41E+02
  1.750  3.20E+02  2.46E+02  4.38E+02
  2.000  4.97E+02  3.80E+02  6.82E+02
  2.500  9.09E+02  6.85E+02  1.25E+03
  3.000  1.34E+03  9.92E+02  1.85E+03
  3.500  1.74E+03  1.27E+03  2.43E+03
  4.000  2.11E+03  1.51E+03  2.95E+03
  5.000  2.73E+03  1.90E+03  3.87E+03
  6.000  3.22E+03  2.17E+03  4.61E+03
  7.000  3.60E+03  2.35E+03  5.20E+03
  8.000  3.89E+03  2.48E+03  5.66E+03
  9.000  4.10E+03  2.56E+03  6.01E+03
 10.000  4.24E+03  2.61E+03  6.26E+03
