#T9 	adopted 	low 	high                                                  
  0.003  1.65E-24  1.53E-24  1.80E-24
  0.004  9.08E-22  8.42E-22  9.92E-22
  0.005  8.02E-20  7.44E-20  8.77E-20
  0.006  2.44E-18  2.26E-18  2.66E-18
  0.007  3.71E-17  3.44E-17  4.06E-17
  0.008  3.50E-16  3.25E-16  3.83E-16
  0.009  2.33E-15  2.16E-15  2.55E-15
  0.010  1.19E-14  1.10E-14  1.30E-14
  0.011  4.94E-14  4.58E-14  5.40E-14
  0.012  1.74E-13  1.61E-13  1.90E-13
  0.013  5.36E-13  4.97E-13  5.86E-13
  0.014  1.48E-12  1.37E-12  1.62E-12
  0.015  3.71E-12  3.44E-12  4.06E-12
  0.016  8.61E-12  7.98E-12  9.41E-12
  0.018  3.81E-11  3.53E-11  4.16E-11
  0.020  1.37E-10  1.27E-10  1.49E-10
  0.025  1.76E-09  1.63E-09  1.92E-09
  0.030  1.23E-08  1.14E-08  1.34E-08
  0.040  2.06E-07  1.91E-07  2.25E-07
  0.050  1.52E-06  1.40E-06  1.66E-06
  0.060  6.90E-06  6.38E-06  7.55E-06
  0.070  2.30E-05  2.13E-05  2.52E-05
  0.080  6.20E-05  5.73E-05  6.78E-05
  0.090  1.43E-04  1.32E-04  1.56E-04
  0.100  2.93E-04  2.70E-04  3.20E-04
  0.110  5.47E-04  5.05E-04  5.98E-04
  0.120  9.49E-04  8.76E-04  1.04E-03
  0.130  1.55E-03  1.43E-03  1.70E-03
  0.140  2.42E-03  2.23E-03  2.64E-03
  0.150  3.61E-03  3.33E-03  3.95E-03
  0.160  5.21E-03  4.80E-03  5.70E-03
  0.180  9.94E-03  9.15E-03  1.09E-02
  0.200  1.73E-02  1.59E-02  1.89E-02
  0.250  5.23E-02  4.81E-02  5.72E-02
  0.300  1.21E-01  1.11E-01  1.32E-01
  0.350  2.35E-01  2.15E-01  2.57E-01
  0.400  4.06E-01  3.71E-01  4.44E-01
  0.450  6.44E-01  5.87E-01  7.06E-01
  0.500  9.58E-01  8.71E-01  1.05E+00
  0.600  1.86E+00  1.67E+00  2.05E+00
  0.700  3.18E+00  2.85E+00  3.52E+00
  0.800  5.03E+00  4.45E+00  5.58E+00
  0.900  7.46E+00  6.55E+00  8.31E+00
  1.000  1.05E+01  9.19E+00  1.18E+01
  1.250  2.10E+01  1.81E+01  2.35E+01
  1.500  3.49E+01  3.01E+01  3.93E+01
  1.750  5.14E+01  4.42E+01  5.79E+01
  2.000  6.97E+01  6.00E+01  7.86E+01
  2.500  1.09E+02  9.43E+01  1.23E+02
  3.000  1.51E+02  1.31E+02  1.70E+02
  3.500  1.93E+02  1.68E+02  2.17E+02
  4.000  2.37E+02  2.08E+02  2.66E+02
  5.000  3.31E+02  2.91E+02  3.69E+02
  6.000  4.33E+02  3.84E+02  4.81E+02
  7.000  5.45E+02  4.87E+02  6.03E+02
  8.000  6.68E+02  6.00E+02  7.36E+02
  9.000  8.02E+02  7.24E+02  8.79E+02
 10.000  9.43E+02  8.56E+02  1.03E+03
