#T9 	adopted 	low 	high                                                  
  0.015  1.73E-25  1.11E-25  2.76E-25
  0.016  8.64E-25  5.54E-25  1.38E-24
  0.018  1.48E-23  9.49E-24  2.37E-23
  0.020  1.71E-22  1.10E-22  2.74E-22
  0.025  2.30E-20  1.47E-20  3.69E-20
  0.030  9.61E-19  6.12E-19  1.55E-18
  0.040  2.20E-16  1.40E-16  3.57E-16
  0.050  1.05E-14  6.65E-15  1.70E-14
  0.060  1.99E-13  1.26E-13  3.23E-13
  0.070  2.09E-12  1.33E-12  3.40E-12
  0.080  1.57E-11  1.03E-11  2.50E-11
  0.090  1.39E-10  1.03E-10  1.95E-10
  0.100  1.79E-09  1.46E-09  2.20E-09
  0.110  2.00E-08  1.68E-08  2.34E-08
  0.120  1.60E-07  1.35E-07  1.85E-07
  0.130  9.33E-07  7.93E-07  1.07E-06
  0.140  4.23E-06  3.60E-06  4.86E-06
  0.150  1.56E-05  1.33E-05  1.79E-05
  0.160  4.84E-05  4.13E-05  5.56E-05
  0.180  3.17E-04  2.70E-04  3.64E-04
  0.200  1.40E-03  1.19E-03  1.61E-03
  0.250  1.93E-02  1.64E-02  2.22E-02
  0.300  1.06E-01  9.00E-02  1.21E-01
  0.350  3.44E-01  2.93E-01  3.94E-01
  0.400  8.13E-01  6.93E-01  9.34E-01
  0.450  1.57E+00  1.34E+00  1.81E+00
  0.500  2.66E+00  2.26E+00  3.07E+00
  0.600  6.18E+00  5.21E+00  7.15E+00
  0.700  1.26E+01  1.05E+01  1.47E+01
  0.800  2.40E+01  1.98E+01  2.83E+01
  0.900  4.27E+01  3.49E+01  5.05E+01
  1.000  7.02E+01  5.70E+01  8.34E+01
  1.250  1.80E+02  1.45E+02  2.15E+02
  1.500  3.37E+02  2.70E+02  4.04E+02
  1.750  5.20E+02  4.16E+02  6.24E+02
  2.000  7.13E+02  5.70E+02  8.58E+02
  2.500  1.10E+03  8.78E+02  1.33E+03
  3.000  1.48E+03  1.18E+03  1.80E+03
  3.500  1.87E+03  1.48E+03  2.27E+03
  4.000  2.25E+03  1.78E+03  2.75E+03
  5.000  2.97E+03  2.34E+03  3.67E+03
  6.000  3.59E+03  2.81E+03  4.48E+03
  7.000  4.10E+03  3.19E+03  5.17E+03
  8.000  4.50E+03  3.47E+03  5.73E+03
  9.000  4.79E+03  3.68E+03  6.17E+03
 10.000  5.00E+03  3.81E+03  6.50E+03
