#T9 	adopted 	low 	high                                                
  0.001  9.17E-27  7.79E-27  1.12E-26
  0.002  2.38E-19  2.02E-19  2.90E-19
  0.003  9.06E-16  7.71E-16  1.10E-15
  0.004  1.61E-13  1.37E-13  1.96E-13
  0.005  6.41E-12  5.45E-12  7.78E-12
  0.006  1.06E-10  9.02E-11  1.29E-10
  0.007  9.93E-10  8.46E-10  1.20E-09
  0.008  6.28E-09  5.36E-09  7.61E-09
  0.009  2.98E-08  2.55E-08  3.61E-08
  0.010  1.14E-07  9.74E-08  1.38E-07
  0.011  3.68E-07  3.15E-07  4.45E-07
  0.012  1.04E-06  8.89E-07  1.25E-06
  0.013  2.62E-06  2.25E-06  3.16E-06
  0.014  6.04E-06  5.18E-06  7.27E-06
  0.015  1.29E-05  1.11E-05  1.55E-05
  0.016  2.58E-05  2.22E-05  3.10E-05
  0.018  8.80E-05  7.56E-05  1.05E-04
  0.020  2.53E-04  2.17E-04  3.01E-04
  0.025  2.09E-03  1.80E-03  2.47E-03
  0.030  1.04E-02  8.98E-03  1.23E-02
  0.040  1.08E-01  9.30E-02  1.26E-01
  0.050  5.63E-01  4.88E-01  6.52E-01
  0.060  1.98E+00  1.72E+00  2.28E+00
  0.070  5.40E+00  4.71E+00  6.17E+00
  0.080  1.23E+01  1.08E+01  1.40E+01
  0.090  2.47E+01  2.16E+01  2.78E+01
  0.100  4.48E+01  3.94E+01  5.03E+01
  0.110  7.53E+01  6.66E+01  8.42E+01
  0.120  1.19E+02  1.06E+02  1.33E+02
  0.130  1.79E+02  1.60E+02  1.99E+02
  0.140  2.60E+02  2.32E+02  2.87E+02
  0.150  3.62E+02  3.25E+02  4.00E+02
  0.160  4.92E+02  4.42E+02  5.42E+02
  0.180  8.42E+02  7.60E+02  9.25E+02
  0.200  1.34E+03  1.21E+03  1.46E+03
  0.250  3.35E+03  3.05E+03  3.66E+03
  0.300  6.73E+03  6.14E+03  7.31E+03
  0.350  1.17E+04  1.07E+04  1.27E+04
  0.400  1.84E+04  1.68E+04  1.99E+04
  0.450  2.68E+04  2.46E+04  2.91E+04
  0.500  3.71E+04  3.40E+04  4.02E+04
  0.600  6.31E+04  5.78E+04  6.83E+04
  0.700  9.58E+04  8.79E+04  1.04E+05
  0.800  1.35E+05  1.24E+05  1.46E+05
  0.900  1.79E+05  1.65E+05  1.94E+05
  1.000  2.29E+05  2.10E+05  2.48E+05
  1.250  3.72E+05  3.41E+05  4.03E+05
  1.500  5.39E+05  4.93E+05  5.84E+05
  1.750  7.25E+05  6.63E+05  7.88E+05
  2.000  9.31E+05  8.49E+05  1.01E+06
  2.500  1.40E+06  1.28E+06  1.53E+06
  3.000  1.98E+06  1.79E+06  2.17E+06
  3.500  2.68E+06  2.42E+06  2.94E+06
  4.000  3.51E+06  3.16E+06  3.85E+06
  5.000  5.52E+06  4.97E+06  6.08E+06
  6.000  7.86E+06  7.08E+06  8.65E+06
  7.000  1.03E+07  9.29E+06  1.13E+07
  8.000  1.27E+07  1.14E+07  1.40E+07
  9.000  1.49E+07  1.35E+07  1.64E+07
 10.000  1.70E+07  1.53E+07  1.86E+07
