#T9 	adopted 	low 	high                                                  
  0.001  2.50E-28  2.08E-28  3.15E-28
  0.002  6.16E-21  5.14E-21  7.75E-21
  0.003  2.32E-17  1.93E-17  2.91E-17
  0.004  4.12E-15  3.44E-15  5.17E-15
  0.005  1.63E-13  1.36E-13  2.04E-13
  0.006  2.68E-12  2.24E-12  3.36E-12
  0.007  2.50E-11  2.09E-11  3.13E-11
  0.008  1.57E-10  1.31E-10  1.97E-10
  0.009  7.44E-10  6.20E-10  9.28E-10
  0.010  2.83E-09  2.36E-09  3.53E-09
  0.011  9.08E-09  7.57E-09  1.13E-08
  0.012  2.55E-08  2.12E-08  3.17E-08
  0.013  6.40E-08  5.34E-08  7.95E-08
  0.014  1.47E-07  1.22E-07  1.82E-07
  0.015  3.12E-07  2.60E-07  3.87E-07
  0.016  6.21E-07  5.17E-07  7.69E-07
  0.018  2.09E-06  1.75E-06  2.59E-06
  0.020  5.96E-06  4.97E-06  7.36E-06
  0.025  4.81E-05  4.01E-05  5.92E-05
  0.030  2.35E-04  1.96E-04  2.89E-04
  0.040  2.35E-03  1.96E-03  2.87E-03
  0.050  1.20E-02  9.98E-03  1.45E-02
  0.060  4.11E-02  3.43E-02  4.97E-02
  0.070  1.10E-01  9.14E-02  1.32E-01
  0.080  2.45E-01  2.05E-01  2.94E-01
  0.090  4.84E-01  4.03E-01  5.78E-01
  0.100  8.65E-01  7.22E-01  1.03E+00
  0.110  1.44E+00  1.20E+00  1.71E+00
  0.120  2.25E+00  1.87E+00  2.67E+00
  0.130  3.35E+00  2.79E+00  3.96E+00
  0.140  4.79E+00  4.00E+00  5.66E+00
  0.150  6.63E+00  5.53E+00  7.82E+00
  0.160  8.92E+00  7.44E+00  1.05E+01
  0.180  1.50E+01  1.25E+01  1.77E+01
  0.200  2.35E+01  1.96E+01  2.76E+01
  0.250  5.77E+01  4.82E+01  6.74E+01
  0.300  1.17E+02  9.81E+01  1.36E+02
  0.350  2.18E+02  1.85E+02  2.51E+02
  0.400  3.97E+02  3.44E+02  4.52E+02
  0.450  7.10E+02  6.28E+02  7.94E+02
  0.500  1.22E+03  1.10E+03  1.35E+03
  0.600  3.07E+03  2.83E+03  3.32E+03
  0.700  6.22E+03  5.80E+03  6.66E+03
  0.800  1.06E+04  9.98E+03  1.13E+04
  0.900  1.60E+04  1.51E+04  1.70E+04
  1.000  2.21E+04  2.09E+04  2.33E+04
  1.250  3.80E+04  3.60E+04  4.01E+04
  1.500  5.27E+04  5.00E+04  5.54E+04
  1.750  6.48E+04  6.15E+04  6.81E+04
  2.000  7.42E+04  7.05E+04  7.79E+04
  2.500  8.64E+04  8.21E+04  9.09E+04
  3.000  9.29E+04  8.80E+04  9.78E+04
  3.500  9.59E+04  9.06E+04  1.01E+05
  4.000  9.71E+04  9.13E+04  1.03E+05
  5.000  9.73E+04  9.05E+04  1.04E+05
  6.000  9.66E+04  8.88E+04  1.04E+05
  7.000  9.63E+04  8.73E+04  1.05E+05
  8.000  9.66E+04  8.65E+04  1.07E+05
  9.000  9.77E+04  8.62E+04  1.09E+05
 10.000  9.93E+04  8.66E+04  1.12E+05 
