E,sigma,sigma_err,p_n
2,,,n
2,2703,110,p
2,3980,80,n
2.5,3160,60,n
3,2790,60,n
3,3622,145,p
3.5,3001,120,p
4,2776,100,p
4.5,2548,100,p
5,2355,80,p
5,2183,20,n
6,2130,75,p
6.6,1858,20,n
7,1900,50,n
8,1660,50,n
10,,,n
10,1453,60,p
10,1370,40,n
12,1260,30,n
12,1188,25,p
12,,,p
12.6,1157,20,n
13.3,1100,44,p
14.3,1045,20,p
15.2,957,20,n
17.5,836,25,p
19,816,30,n
20,751,13,n
20.6,715,30,p
24,652,12,n
28,591,12,n
47.5,377,12,n
48,391,,p
53,316,40,p
55,320,20,p
77.2,221.5,4.4,n
85,182,12,n
88,199,6,n
88.2,195.1,3.9,n
95,184,8,n
110,154.9,3.1,n
129.4,136,2.7,n
136,118.3,2,p
149,113.7,2,p
150.9,121.4,2.4,n
156,133,10,n
270,112,10,n
280,92,8,n
350,112,10,n
380,110,10,n
410,116,10,n
500,124,10,n
590,135,10,n
630,142,10,n
630,150,13,p
765,130,10,n
970,116,17,p
1000,152,8,p
1400,154,12,n
