reaction,E_MeV,sigma_mb,d_sigma_mb,status
he4_he4_n_be7,5.0,,,gap
he4_he4_n_be7,10.0,,,gap
he4_he4_n_be7,15.0,,,gap
he4_he4_n_be7,20.0,,,gap
he4_he4_n_be7,25.0,,,gap
he4_he4_n_be7,30.0,,,gap
he4_he4_n_be7,35.0,,,gap
he4_he4_n_be7,40.0,,,gap
he4_he4_n_be7,45.0,,,gap
he4_he4_n_be7,50.0,,,gap
he4_he4_n_be7,55.0,,,gap
he4_he4_n_be7,60.0,,,gap
he4_he4_n_be7,65.0,21.3323,,scaled
he4_he4_n_be7,70.0,19.1756,,scaled
he4_he4_n_be7,75.0,17.3641,,scaled
he4_he4_n_be7,80.0,15.8249,,scaled
he4_he4_n_be7,85.0,12.8703,,scaled
he4_he4_n_be7,90.0,10.3601,,scaled
he4_he4_n_be7,95.0,8.43789,,scaled
he4_he4_n_be7,100.0,6.94508,,scaled
he4_he4_n_be7,105.0,5.77095,,scaled
he4_he4_n_be7,110.0,4.83681,,scaled
he4_he4_n_be7,115.0,4.08583,,scaled
he4_he4_n_be7,120.0,3.45713,,scaled
he4_he4_n_be7,125.0,2.88906,,scaled
he4_he4_n_be7,130.0,2.43139,,scaled
he4_he4_n_be7,135.0,2.05959,,scaled
he4_he4_n_be7,140.0,1.73866,,scaled
he4_he4_n_be7,145.0,1.40608,,scaled
he4_he4_n_be7,150.0,1.14533,,scaled
he4_he4_n_be7,155.0,0.939231,,scaled
he4_he4_n_be7,160.0,0.820662,,extrapolated
he4_he4_n_be7,165.0,0.795794,,extrapolated
he4_he4_n_be7,170.0,0.772388,,extrapolated
he4_he4_n_be7,175.0,0.75032,,extrapolated
he4_he4_n_be7,180.0,0.729478,,extrapolated
he4_he4_n_be7,185.0,0.709762,,extrapolated
he4_he4_n_be7,190.0,0.691084,,extrapolated
he4_he4_n_be7,195.0,0.673364,,extrapolated
he4_he4_n_be7,200.0,0.65653,,extrapolated
he4_he4_n_be7,205.0,0.640517,,extrapolated
he4_he4_n_be7,210.0,0.625267,,extrapolated
he4_he4_n_be7,215.0,0.610726,,extrapolated
he4_he4_n_be7,220.0,0.596845,,extrapolated
he4_he4_n_be7,225.0,0.583582,,extrapolated
he4_he4_n_be7,230.0,0.570896,,extrapolated
he4_he4_n_be7,235.0,0.558749,,extrapolated
he4_he4_n_be7,240.0,0.547108,,extrapolated
he4_he4_n_be7,245.0,0.535943,,extrapolated
he4_he4_n_be7,250.0,0.525224,,extrapolated
he4_he4_n_be7,255.0,0.514925,,extrapolated
he4_he4_n_be7,260.0,0.505023,,extrapolated
he4_he4_n_be7,265.0,0.495494,,extrapolated
he4_he4_n_be7,270.0,0.486319,,extrapolated
he4_he4_n_be7,275.0,0.477476,,extrapolated
he4_he4_n_be7,280.0,0.46895,,extrapolated
he4_he4_n_be7,285.0,0.460723,,extrapolated
he4_he4_n_be7,290.0,0.452779,,extrapolated
he4_he4_n_be7,295.0,0.445105,,extrapolated
he4_he4_n_be7,300.0,0.437687,,extrapolated
he4_he4_n_be7,305.0,0.430511,,extrapolated
he4_he4_n_be7,310.0,0.423568,,extrapolated
he4_he4_n_be7,315.0,0.416844,,extrapolated
he4_he4_n_be7,320.0,0.410331,,extrapolated
he4_he4_n_be7,325.0,0.404018,,extrapolated
he4_he4_n_be7,330.0,0.397897,,extrapolated
he4_he4_n_be7,335.0,0.391958,,extrapolated
he4_he4_n_be7,340.0,0.386194,,extrapolated
he4_he4_n_be7,345.0,0.380597,,extrapolated
he4_he4_n_be7,350.0,0.37516,,extrapolated
he4_he4_n_be7,355.0,0.369876,,extrapolated
he4_he4_n_be7,360.0,0.364739,,extrapolated
he4_he4_n_be7,365.0,0.359742,,extrapolated
he4_he4_n_be7,370.0,0.354881,,extrapolated
he4_he4_n_be7,375.0,0.350149,,extrapolated
he4_he4_n_be7,380.0,0.345542,,extrapolated
he4_he4_n_be7,385.0,0.341055,,extrapolated
he4_he4_n_be7,390.0,0.336682,,extrapolated
he4_he4_n_be7,395.0,0.33242,,extrapolated
he4_he4_n_be7,400.0,0.328265,,extrapolated
