reaction,E_MeV,sigma_mb,d_sigma_mb,status
he4_he4_n_li7,5.0,,,gap
he4_he4_n_li7,10.0,,,gap
he4_he4_n_li7,15.0,,,gap
he4_he4_n_li7,20.0,,,gap
he4_he4_n_li7,25.0,,,gap
he4_he4_n_li7,30.0,,,gap
he4_he4_n_li7,35.0,,,gap
he4_he4_n_li7,40.0,,,gap
he4_he4_n_li7,45.0,,,gap
he4_he4_n_li7,50.0,,,gap
he4_he4_n_li7,55.0,,,gap
he4_he4_n_li7,60.0,,,gap
he4_he4_n_li7,65.0,27.211363692881804,3.301036269430052,interpolated
he4_he4_n_li7,70.0,23.447576946016014,2.7310880829015542,interpolated
he4_he4_n_li7,75.0,20.204384860842552,2.161139896373057,interpolated
he4_he4_n_li7,80.0,17.409780487975077,1.5911917098445594,interpolated
he4_he4_n_li7,85.0,14.45325320602966,1.367716535433071,interpolated
he4_he4_n_li7,90.0,11.91398114534526,1.2102362204724408,interpolated
he4_he4_n_li7,95.0,9.820830280094041,1.052755905511811,interpolated
he4_he4_n_li7,100.0,8.095422194628378,0.8952755905511811,interpolated
he4_he4_n_li7,105.0,6.673148668714615,0.7377952755905512,interpolated
he4_he4_n_li7,110.0,5.500752410950919,0.5803149606299214,interpolated
he4_he4_n_li7,115.0,4.5343328297840415,0.4228346456692915,interpolated
he4_he4_n_li7,120.0,3.7613906946682834,0.29458128078817736,interpolated
he4_he4_n_li7,125.0,3.1908864473507097,0.26995073891625615,interpolated
he4_he4_n_li7,130.0,2.7069127209568853,0.24532019704433497,interpolated
he4_he4_n_li7,135.0,2.296345106533608,0.22068965517241376,interpolated
he4_he4_n_li7,140.0,1.9374191570063624,0.19494736842105256,interpolated
he4_he4_n_li7,145.0,1.5883037171702077,0.16336842105263152,interpolated
he4_he4_n_li7,150.0,1.3020975295169,0.13178947368421046,interpolated
he4_he4_n_li7,155.0,1.0674645900814974,0.1002105263157894,interpolated
he4_he4_n_li7,160.0,,,gap
he4_he4_n_li7,165.0,,,gap
he4_he4_n_li7,170.0,,,gap
he4_he4_n_li7,175.0,,,gap
he4_he4_n_li7,180.0,,,gap
he4_he4_n_li7,185.0,,,gap
he4_he4_n_li7,190.0,,,gap
he4_he4_n_li7,195.0,,,gap
he4_he4_n_li7,200.0,,,gap
he4_he4_n_li7,205.0,,,gap
he4_he4_n_li7,210.0,,,gap
he4_he4_n_li7,215.0,,,gap
he4_he4_n_li7,220.0,,,gap
he4_he4_n_li7,225.0,,,gap
he4_he4_n_li7,230.0,,,gap
he4_he4_n_li7,235.0,,,gap
he4_he4_n_li7,240.0,,,gap
he4_he4_n_li7,245.0,,,gap
he4_he4_n_li7,250.0,,,gap
he4_he4_n_li7,255.0,,,gap
he4_he4_n_li7,260.0,,,gap
he4_he4_n_li7,265.0,,,gap
he4_he4_n_li7,270.0,,,gap
he4_he4_n_li7,275.0,,,gap
he4_he4_n_li7,280.0,,,gap
he4_he4_n_li7,285.0,,,gap
he4_he4_n_li7,290.0,,,gap
he4_he4_n_li7,295.0,,,gap
he4_he4_n_li7,300.0,,,gap
he4_he4_n_li7,305.0,,,gap
he4_he4_n_li7,310.0,,,gap
he4_he4_n_li7,315.0,,,gap
he4_he4_n_li7,320.0,,,gap
he4_he4_n_li7,325.0,,,gap
he4_he4_n_li7,330.0,,,gap
he4_he4_n_li7,335.0,,,gap
he4_he4_n_li7,340.0,,,gap
he4_he4_n_li7,345.0,,,gap
he4_he4_n_li7,350.0,,,gap
he4_he4_n_li7,355.0,,,gap
he4_he4_n_li7,360.0,,,gap
he4_he4_n_li7,365.0,,,gap
he4_he4_n_li7,370.0,,,gap
he4_he4_n_li7,375.0,,,gap
he4_he4_n_li7,380.0,,,gap
he4_he4_n_li7,385.0,,,gap
he4_he4_n_li7,390.0,,,gap
he4_he4_n_li7,395.0,,,gap
he4_he4_n_li7,400.0,,,gap
