reaction,E_MeV,sigma_mb,d_sigma_mb,status
he4_he4_p_li7,5.0,,,gap
he4_he4_p_li7,10.0,,,gap
he4_he4_p_li7,15.0,,,gap
he4_he4_p_li7,20.0,,,gap
he4_he4_p_li7,25.0,,,gap
he4_he4_p_li7,30.0,,,gap
he4_he4_p_li7,35.0,,,gap
he4_he4_p_li7,40.0,,,gap
he4_he4_p_li7,45.0,,,gap
he4_he4_p_li7,50.0,,,gap
he4_he4_p_li7,55.0,,,gap
he4_he4_p_li7,60.0,,,gap
he4_he4_p_li7,65.0,26.8781,,scaled
he4_he4_p_li7,70.0,22.9953,,scaled
he4_he4_p_li7,75.0,19.8864,,scaled
he4_he4_p_li7,80.0,17.3599,,scaled
he4_he4_p_li7,85.0,14.0145,,scaled
he4_he4_p_li7,90.0,11.2713,,scaled
he4_he4_p_li7,95.0,9.17243,,scaled
he4_he4_p_li7,100.0,7.54375,,scaled
he4_he4_p_li7,105.0,6.26374,,scaled
he4_he4_p_li7,110.0,5.24611,,scaled
he4_he4_p_li7,115.0,4.42858,,scaled
he4_he4_p_li7,120.0,3.75077,,scaled
he4_he4_p_li7,125.0,3.15507,,scaled
he4_he4_p_li7,130.0,2.67204,,scaled
he4_he4_p_li7,135.0,2.2772,,scaled
he4_he4_p_li7,140.0,1.9335,,scaled
he4_he4_p_li7,145.0,1.57186,,scaled
he4_he4_p_li7,150.0,1.28686,,scaled
he4_he4_p_li7,155.0,1.06047,,scaled
he4_he4_p_li7,160.0,0.929425,,extrapolated
he4_he4_p_li7,165.0,0.901261,,extrapolated
he4_he4_p_li7,170.0,0.874753,,extrapolated
he4_he4_p_li7,175.0,0.84976,,extrapolated
he4_he4_p_li7,180.0,0.826156,,extrapolated
he4_he4_p_li7,185.0,0.803827,,extrapolated
he4_he4_p_li7,190.0,0.782674,,extrapolated
he4_he4_p_li7,195.0,0.762605,,extrapolated
he4_he4_p_li7,200.0,0.74354,,extrapolated
he4_he4_p_li7,205.0,0.725405,,extrapolated
he4_he4_p_li7,210.0,0.708133,,extrapolated
he4_he4_p_li7,215.0,0.691665,,extrapolated
he4_he4_p_li7,220.0,0.675945,,extrapolated
he4_he4_p_li7,225.0,0.660924,,extrapolated
he4_he4_p_li7,230.0,0.646557,,extrapolated
he4_he4_p_li7,235.0,0.6328,,extrapolated
he4_he4_p_li7,240.0,0.619617,,extrapolated
he4_he4_p_li7,245.0,0.606971,,extrapolated
he4_he4_p_li7,250.0,0.594832,,extrapolated
he4_he4_p_li7,255.0,0.583169,,extrapolated
he4_he4_p_li7,260.0,0.571954,,extrapolated
he4_he4_p_li7,265.0,0.561162,,extrapolated
he4_he4_p_li7,270.0,0.55077,,extrapolated
he4_he4_p_li7,275.0,0.540756,,extrapolated
he4_he4_p_li7,280.0,0.5311,,extrapolated
he4_he4_p_li7,285.0,0.521782,,extrapolated
he4_he4_p_li7,290.0,0.512786,,extrapolated
he4_he4_p_li7,295.0,0.504095,,extrapolated
he4_he4_p_li7,300.0,0.495693,,extrapolated
he4_he4_p_li7,305.0,0.487567,,extrapolated
he4_he4_p_li7,310.0,0.479703,,extrapolated
he4_he4_p_li7,315.0,0.472089,,extrapolated
he4_he4_p_li7,320.0,0.464712,,extrapolated
he4_he4_p_li7,325.0,0.457563,,extrapolated
he4_he4_p_li7,330.0,0.45063,,extrapolated
he4_he4_p_li7,335.0,0.443904,,extrapolated
he4_he4_p_li7,340.0,0.437376,,extrapolated
he4_he4_p_li7,345.0,0.431038,,extrapolated
he4_he4_p_li7,350.0,0.42488,,extrapolated
he4_he4_p_li7,355.0,0.418896,,extrapolated
he4_he4_p_li7,360.0,0.413078,,extrapolated
he4_he4_p_li7,365.0,0.407419,,extrapolated
he4_he4_p_li7,370.0,0.401914,,extrapolated
he4_he4_p_li7,375.0,0.396555,,extrapolated
he4_he4_p_li7,380.0,0.391337,,extrapolated
he4_he4_p_li7,385.0,0.386255,,extrapolated
he4_he4_p_li7,390.0,0.381303,,extrapolated
he4_he4_p_li7,395.0,0.376476,,extrapolated
he4_he4_p_li7,400.0,0.37177,,extrapolated
