reaction,E_MeV,sigma_mb,d_sigma_mb,status
he4_p_2n3p,5.0,,,gap
he4_p_2n3p,10.0,,,gap
he4_p_2n3p,15.0,,,gap
he4_p_2n3p,20.0,,,gap
he4_p_2n3p,25.0,,,gap
he4_p_2n3p,30.0,,,gap
he4_p_2n3p,35.0,,,gap
he4_p_2n3p,40.0,,,gap
he4_p_2n3p,45.0,,,gap
he4_p_2n3p,50.0,,,gap
he4_p_2n3p,55.0,,,gap
he4_p_2n3p,60.0,,,gap
he4_p_2n3p,65.0,,,gap
he4_p_2n3p,70.0,,,gap
he4_p_2n3p,75.0,,,gap
he4_p_2n3p,80.0,,,gap
he4_p_2n3p,85.0,,,gap
he4_p_2n3p,90.0,0.5,0.3,data
he4_p_2n3p,95.0,0.5056267055824482,0.30476190476190473,interpolated
he4_p_2n3p,100.0,0.5113167307963193,0.30952380952380953,interpolated
he4_p_2n3p,105.0,0.5170707882034609,0.3142857142857143,interpolated
he4_p_2n3p,110.0,0.5228895983844715,0.319047619047619,interpolated
he4_p_2n3p,115.0,0.5287738900289394,0.32380952380952377,interpolated
he4_p_2n3p,120.0,0.5347244000266966,0.32857142857142857,interpolated
he4_p_2n3p,125.0,0.5407418735600995,0.3333333333333333,interpolated
he4_p_2n3p,130.0,0.5468270641973476,0.3380952380952381,interpolated
he4_p_2n3p,135.0,0.5529807339868535,0.34285714285714286,interpolated
he4_p_2n3p,140.0,0.5592036535526737,0.3476190476190476,interpolated
he4_p_2n3p,145.0,0.565496602191014,0.35238095238095235,interpolated
he4_p_2n3p,150.0,0.5718603679678214,0.35714285714285715,interpolated
he4_p_2n3p,155.0,0.5782957478174721,0.3619047619047619,interpolated
he4_p_2n3p,160.0,0.5848035476425733,0.36666666666666664,interpolated
he4_p_2n3p,165.0,0.5913845824148851,0.37142857142857144,interpolated
he4_p_2n3p,170.0,0.5980396762773803,0.3761904761904762,interpolated
he4_p_2n3p,175.0,0.6047696626474511,0.38095238095238093,interpolated
he4_p_2n3p,180.0,0.6115753843212784,0.3857142857142857,interpolated
he4_p_2n3p,185.0,0.6184576935793752,0.3904761904761905,interpolated
he4_p_2n3p,190.0,0.6254174522933174,0.3952380952380952,interpolated
he4_p_2n3p,195.0,0.6324555320336759,0.4,interpolated
he4_p_2n3p,200.0,0.639572814179164,0.40476190476190477,interpolated
he4_p_2n3p,205.0,0.646770190027012,0.4095238095238095,interpolated
he4_p_2n3p,210.0,0.654048560904584,0.41428571428571426,interpolated
he4_p_2n3p,215.0,0.6614088382822519,0.419047619047619,interpolated
he4_p_2n3p,220.0,0.6688519438875385,0.4238095238095238,interpolated
he4_p_2n3p,225.0,0.6763788098205451,0.42857142857142855,interpolated
he4_p_2n3p,230.0,0.6839903786706788,0.43333333333333335,interpolated
he4_p_2n3p,235.0,0.6916876036346931,0.4380952380952381,interpolated
he4_p_2n3p,240.0,0.699471448636056,0.44285714285714284,interpolated
he4_p_2n3p,245.0,0.7073428884456632,0.4476190476190476,interpolated
he4_p_2n3p,250.0,0.7153029088039076,0.4523809523809524,interpolated
he4_p_2n3p,255.0,0.7233525065441242,0.45714285714285713,interpolated
he4_p_2n3p,260.0,0.7314926897174235,0.46190476190476193,interpolated
he4_p_2n3p,265.0,0.7397244777189296,0.4666666666666667,interpolated
he4_p_2n3p,270.0,0.7480489014154388,0.4714285714285714,interpolated
he4_p_2n3p,275.0,0.7564670032745157,0.47619047619047616,interpolated
he4_p_2n3p,280.0,0.7649798374950406,0.4809523809523809,interpolated
he4_p_2n3p,285.0,0.7735884701392279,0.4857142857142857,interpolated
he4_p_2n3p,290.0,0.7822939792661276,0.49047619047619045,interpolated
he4_p_2n3p,295.0,0.7910974550666322,0.49523809523809526,interpolated
he4_p_2n3p,300.0,0.8,0.5,data
he4_p_2n3p,305.0,,,gap
he4_p_2n3p,310.0,,,gap
he4_p_2n3p,315.0,,,gap
he4_p_2n3p,320.0,,,gap
he4_p_2n3p,325.0,,,gap
he4_p_2n3p,330.0,,,gap
he4_p_2n3p,335.0,,,gap
he4_p_2n3p,340.0,,,gap
he4_p_2n3p,345.0,,,gap
he4_p_2n3p,350.0,,,gap
he4_p_2n3p,355.0,,,gap
he4_p_2n3p,360.0,,,gap
he4_p_2n3p,365.0,,,gap
he4_p_2n3p,370.0,,,gap
he4_p_2n3p,375.0,,,gap
he4_p_2n3p,380.0,,,gap
he4_p_2n3p,385.0,,,gap
he4_p_2n3p,390.0,,,gap
he4_p_2n3p,395.0,,,gap
he4_p_2n3p,400.0,,,gap
