reaction,E_MeV,sigma_mb,d_sigma_mb,status
he4_p_d_he3,5.0,,,gap
he4_p_d_he3,10.0,,,gap
he4_p_d_he3,15.0,,,gap
he4_p_d_he3,20.0,,,gap
he4_p_d_he3,25.0,68.1485,,scaled
he4_p_d_he3,30.0,208.668,,scaled
he4_p_d_he3,35.0,269.375,,scaled
he4_p_d_he3,40.0,262.905,,scaled
he4_p_d_he3,45.0,244.977,,scaled
he4_p_d_he3,50.0,193.853,,scaled
he4_p_d_he3,55.0,155.562,,scaled
he4_p_d_he3,60.0,126.124,,scaled
he4_p_d_he3,65.0,99.7471,,scaled
he4_p_d_he3,70.0,82.1379,,scaled
he4_p_d_he3,75.0,68.2229,,scaled
he4_p_d_he3,80.0,56.7994,,scaled
he4_p_d_he3,85.0,46.8704,,scaled
he4_p_d_he3,90.0,38.0535,,scaled
he4_p_d_he3,95.0,30.7592,,scaled
he4_p_d_he3,100.0,24.905,,scaled
he4_p_d_he3,105.0,20.4743,,scaled
he4_p_d_he3,110.0,17.4133,,scaled
he4_p_d_he3,115.0,15.5047,,scaled
he4_p_d_he3,120.0,14.6202,,scaled
he4_p_d_he3,125.0,14.5663,,scaled
he4_p_d_he3,130.0,14.9385,,scaled
he4_p_d_he3,135.0,15.4577,,scaled
he4_p_d_he3,140.0,16.0452,,scaled
he4_p_d_he3,145.0,16.504,,scaled
he4_p_d_he3,150.0,16.6921,,scaled
he4_p_d_he3,155.0,16.5461,,scaled
he4_p_d_he3,160.0,16.0197,,scaled
he4_p_d_he3,165.0,15.1583,,scaled
he4_p_d_he3,170.0,14.0135,,scaled
he4_p_d_he3,175.0,12.6339,,scaled
he4_p_d_he3,180.0,11.1143,,scaled
he4_p_d_he3,185.0,9.52992,,scaled
he4_p_d_he3,190.0,7.95722,,scaled
he4_p_d_he3,195.0,6.46202,,scaled
he4_p_d_he3,200.0,5.09839,,scaled
he4_p_d_he3,205.0,3.90488,,scaled
he4_p_d_he3,210.0,2.90586,,scaled
he4_p_d_he3,215.0,2.11053,,scaled
he4_p_d_he3,220.0,1.51613,,scaled
he4_p_d_he3,225.0,1.10945,,scaled
he4_p_d_he3,230.0,0.869659,,scaled
he4_p_d_he3,235.0,0.770123,,scaled
he4_p_d_he3,240.0,0.781541,,scaled
he4_p_d_he3,245.0,0.873711,,scaled
he4_p_d_he3,250.0,1.01757,,scaled
he4_p_d_he3,255.0,1.18669,,scaled
he4_p_d_he3,260.0,1.35817,,scaled
he4_p_d_he3,265.0,1.51351,,scaled
he4_p_d_he3,270.0,1.63861,,scaled
he4_p_d_he3,275.0,1.72412,,scaled
he4_p_d_he3,280.0,1.76501,,scaled
he4_p_d_he3,285.0,1.7603,,scaled
he4_p_d_he3,290.0,1.71195,,scaled
he4_p_d_he3,295.0,1.62502,,scaled
he4_p_d_he3,300.0,1.50614,,scaled
he4_p_d_he3,305.0,1.36329,,scaled
he4_p_d_he3,310.0,1.20506,,scaled
he4_p_d_he3,315.0,1.0399,,scaled
he4_p_d_he3,320.0,0.875836,,scaled
he4_p_d_he3,325.0,0.72005,,scaled
he4_p_d_he3,330.0,0.57846,,scaled
he4_p_d_he3,335.0,0.455715,,scaled
he4_p_d_he3,340.0,0.35504,,scaled
he4_p_d_he3,345.0,0.278161,,scaled
he4_p_d_he3,350.0,0.225529,,scaled
he4_p_d_he3,355.0,0.196332,,scaled
he4_p_d_he3,360.0,0.188777,,scaled
he4_p_d_he3,365.0,0.200232,,scaled
he4_p_d_he3,370.0,0.227422,,scaled
he4_p_d_he3,375.0,0.266718,,scaled
he4_p_d_he3,380.0,0.31436,,scaled
he4_p_d_he3,385.0,0.366581,,scaled
he4_p_d_he3,390.0,0.41974,,scaled
he4_p_d_he3,395.0,0.470649,,scaled
he4_p_d_he3,400.0,0.516496,,scaled
