reaction,E_MeV,sigma_mb,d_sigma_mb,status
he4_p_d_np,5.0,,,gap
he4_p_d_np,10.0,,,gap
he4_p_d_np,15.0,,,gap
he4_p_d_np,20.0,,,gap
he4_p_d_np,25.0,,,gap
he4_p_d_np,30.0,,,gap
he4_p_d_np,35.0,,,gap
he4_p_d_np,40.0,,,gap
he4_p_d_np,45.0,,,gap
he4_p_d_np,50.0,,,gap
he4_p_d_np,55.0,,,gap
he4_p_d_np,60.0,,,gap
he4_p_d_np,65.0,,,gap
he4_p_d_np,70.0,,,gap
he4_p_d_np,75.0,,,gap
he4_p_d_np,80.0,,,gap
he4_p_d_np,85.0,,,gap
he4_p_d_np,90.0,10.1,4.0,data
he4_p_d_np,95.0,10.14153635164944,4.023809523809524,interpolated
he4_p_d_np,100.0,10.183243521963073,4.0476190476190474,interpolated
he4_p_d_np,105.0,10.225122213434375,4.071428571428571,interpolated
he4_p_d_np,110.0,10.267173131445832,4.095238095238095,interpolated
he4_p_d_np,115.0,10.309396984280824,4.119047619047619,interpolated
he4_p_d_np,120.0,10.351794483135553,4.142857142857143,interpolated
he4_p_d_np,125.0,10.394366342131024,4.166666666666667,interpolated
he4_p_d_np,130.0,10.43711327832507,4.190476190476191,interpolated
he4_p_d_np,135.0,10.480036011724431,4.214285714285714,interpolated
he4_p_d_np,140.0,10.523135265296885,4.238095238095238,interpolated
he4_p_d_np,145.0,10.56641176498342,4.261904761904762,interpolated
he4_p_d_np,150.0,10.609866239710463,4.285714285714286,interpolated
he4_p_d_np,155.0,10.65349942140216,4.309523809523809,interpolated
he4_p_d_np,160.0,10.697312044992701,4.333333333333333,interpolated
he4_p_d_np,165.0,10.741304848438704,4.357142857142857,interpolated
he4_p_d_np,170.0,10.785478572731632,4.380952380952381,interpolated
he4_p_d_np,175.0,10.829833961910294,4.404761904761905,interpolated
he4_p_d_np,180.0,10.87437176307336,4.428571428571429,interpolated
he4_p_d_np,185.0,10.91909272639195,4.4523809523809526,interpolated
he4_p_d_np,190.0,10.963997605122273,4.476190476190476,interpolated
he4_p_d_np,195.0,11.009087155618305,4.5,interpolated
he4_p_d_np,200.0,11.054362137344558,4.523809523809524,interpolated
he4_p_d_np,205.0,11.09982331288881,4.5476190476190474,interpolated
he4_p_d_np,210.0,11.145471447975028,4.571428571428571,interpolated
he4_p_d_np,215.0,11.191307311476207,4.595238095238095,interpolated
he4_p_d_np,220.0,11.237331675427338,4.619047619047619,interpolated
he4_p_d_np,225.0,11.283545315038422,4.642857142857143,interpolated
he4_p_d_np,230.0,11.329949008707514,4.666666666666667,interpolated
he4_p_d_np,235.0,11.376543538033841,4.690476190476191,interpolated
he4_p_d_np,240.0,11.423329687830964,4.714285714285714,interpolated
he4_p_d_np,245.0,11.470308246139997,4.738095238095238,interpolated
he4_p_d_np,250.0,11.517480004242882,4.761904761904762,interpolated
he4_p_d_np,255.0,11.564845756675718,4.785714285714286,interpolated
he4_p_d_np,260.0,11.612406301242135,4.809523809523809,interpolated
he4_p_d_np,265.0,11.660162439026747,4.833333333333333,interpolated
he4_p_d_np,270.0,11.708114974408629,4.857142857142858,interpolated
he4_p_d_np,275.0,11.756264715074877,4.880952380952381,interpolated
he4_p_d_np,280.0,11.804612472034211,4.904761904761905,interpolated
he4_p_d_np,285.0,11.853159059630624,4.928571428571429,interpolated
he4_p_d_np,290.0,11.901905295557116,4.9523809523809526,interpolated
he4_p_d_np,295.0,11.950852000869453,4.976190476190476,interpolated
he4_p_d_np,300.0,12.0,5.0,data
he4_p_d_np,305.0,,,gap
he4_p_d_np,310.0,,,gap
he4_p_d_np,315.0,,,gap
he4_p_d_np,320.0,,,gap
he4_p_d_np,325.0,,,gap
he4_p_d_np,330.0,,,gap
he4_p_d_np,335.0,,,gap
he4_p_d_np,340.0,,,gap
he4_p_d_np,345.0,,,gap
he4_p_d_np,350.0,,,gap
he4_p_d_np,355.0,,,gap
he4_p_d_np,360.0,,,gap
he4_p_d_np,365.0,,,gap
he4_p_d_np,370.0,,,gap
he4_p_d_np,375.0,,,gap
he4_p_d_np,380.0,,,gap
he4_p_d_np,385.0,,,gap
he4_p_d_np,390.0,,,gap
he4_p_d_np,395.0,,,gap
he4_p_d_np,400.0,,,gap
