reaction,E_MeV,sigma_mb,d_sigma_mb,status
he4_p_dd,5.0,,,gap
he4_p_dd,10.0,,,gap
he4_p_dd,15.0,,,gap
he4_p_dd,20.0,,,gap
he4_p_dd,25.0,,,gap
he4_p_dd,30.0,,,gap
he4_p_dd,35.0,,,gap
he4_p_dd,40.0,,,gap
he4_p_dd,45.0,,,gap
he4_p_dd,50.0,,,gap
he4_p_dd,55.0,,,gap
he4_p_dd,60.0,,,gap
he4_p_dd,65.0,,,gap
he4_p_dd,70.0,,,gap
he4_p_dd,75.0,,,gap
he4_p_dd,80.0,,,gap
he4_p_dd,85.0,,,gap
he4_p_dd,90.0,5.1,2.0,data
he4_p_dd,95.0,5.104673045138949,2.011904761904762,interpolated
he4_p_dd,100.0,5.109350372111401,2.0238095238095237,interpolated
he4_p_dd,105.0,5.114031984840731,2.0357142857142856,interpolated
he4_p_dd,110.0,5.118717887253905,2.0476190476190474,interpolated
he4_p_dd,115.0,5.12340808328149,2.0595238095238093,interpolated
he4_p_dd,120.0,5.1281025768576525,2.0714285714285716,interpolated
he4_p_dd,125.0,5.1328013719201655,2.0833333333333335,interpolated
he4_p_dd,130.0,5.1375044724104075,2.0952380952380953,interpolated
he4_p_dd,135.0,5.142211882273373,2.107142857142857,interpolated
he4_p_dd,140.0,5.146923605457668,2.119047619047619,interpolated
he4_p_dd,145.0,5.151639645915516,2.130952380952381,interpolated
he4_p_dd,150.0,5.156360007602763,2.142857142857143,interpolated
he4_p_dd,155.0,5.16108469447888,2.1547619047619047,interpolated
he4_p_dd,160.0,5.165813710506966,2.1666666666666665,interpolated
he4_p_dd,165.0,5.17054705965375,2.1785714285714284,interpolated
he4_p_dd,170.0,5.175284745889598,2.1904761904761907,interpolated
he4_p_dd,175.0,5.18002677318851,2.2023809523809526,interpolated
he4_p_dd,180.0,5.1847731455281325,2.2142857142857144,interpolated
he4_p_dd,185.0,5.189523866889752,2.2261904761904763,interpolated
he4_p_dd,190.0,5.194278941258307,2.238095238095238,interpolated
he4_p_dd,195.0,5.1990383726223826,2.25,interpolated
he4_p_dd,200.0,5.203802164974224,2.261904761904762,interpolated
he4_p_dd,205.0,5.208570322309731,2.2738095238095237,interpolated
he4_p_dd,210.0,5.213342848628464,2.2857142857142856,interpolated
he4_p_dd,215.0,5.218119747933652,2.2976190476190474,interpolated
he4_p_dd,220.0,5.222901024232188,2.3095238095238093,interpolated
he4_p_dd,225.0,5.227686681534639,2.3214285714285716,interpolated
he4_p_dd,230.0,5.232476723855245,2.3333333333333335,interpolated
he4_p_dd,235.0,5.237271155211926,2.3452380952380953,interpolated
he4_p_dd,240.0,5.242069979626283,2.357142857142857,interpolated
he4_p_dd,245.0,5.246873201123601,2.369047619047619,interpolated
he4_p_dd,250.0,5.251680823732854,2.380952380952381,interpolated
he4_p_dd,255.0,5.256492851486708,2.392857142857143,interpolated
he4_p_dd,260.0,5.261309288421524,2.4047619047619047,interpolated
he4_p_dd,265.0,5.26613013857736,2.4166666666666665,interpolated
he4_p_dd,270.0,5.270955405997976,2.428571428571429,interpolated
he4_p_dd,275.0,5.275785094730842,2.4404761904761907,interpolated
he4_p_dd,280.0,5.28061920882713,2.4523809523809526,interpolated
he4_p_dd,285.0,5.285457752341728,2.4642857142857144,interpolated
he4_p_dd,290.0,5.290300729333238,2.4761904761904763,interpolated
he4_p_dd,295.0,5.2951481438639805,2.488095238095238,interpolated
he4_p_dd,300.0,5.3,2.5,data
he4_p_dd,305.0,,,gap
he4_p_dd,310.0,,,gap
he4_p_dd,315.0,,,gap
he4_p_dd,320.0,,,gap
he4_p_dd,325.0,,,gap
he4_p_dd,330.0,,,gap
he4_p_dd,335.0,,,gap
he4_p_dd,340.0,,,gap
he4_p_dd,345.0,,,gap
he4_p_dd,350.0,,,gap
he4_p_dd,355.0,,,gap
he4_p_dd,360.0,,,gap
he4_p_dd,365.0,,,gap
he4_p_dd,370.0,,,gap
he4_p_dd,375.0,,,gap
he4_p_dd,380.0,,,gap
he4_p_dd,385.0,,,gap
he4_p_dd,390.0,,,gap
he4_p_dd,395.0,,,gap
he4_p_dd,400.0,,,gap
