reaction,E_MeV,sigma_mb,d_sigma_mb,status
he4_p_h3_2p,5.0,,,gap
he4_p_h3_2p,10.0,,,gap
he4_p_h3_2p,15.0,,,gap
he4_p_h3_2p,20.0,,,gap
he4_p_h3_2p,25.0,,,gap
he4_p_h3_2p,30.0,9.087751087444127,1.064516129032258,interpolated
he4_p_h3_2p,35.0,9.57464024232666,1.2258064516129032,interpolated
he4_p_h3_2p,40.0,10.087615174302028,1.3870967741935485,interpolated
he4_p_h3_2p,45.0,10.628073465878924,1.5483870967741935,interpolated
he4_p_h3_2p,50.0,11.197487577031325,1.7096774193548387,interpolated
he4_p_h3_2p,55.0,11.7974088568649,1.870967741935484,interpolated
he4_p_h3_2p,60.0,12.42947177021414,2.032258064516129,interpolated
he4_p_h3_2p,65.0,13.095398350685425,2.193548387096774,interpolated
he4_p_h3_2p,70.0,13.79700289227818,2.354838709677419,interpolated
he4_p_h3_2p,75.0,14.536196892366322,2.5161290322580645,interpolated
he4_p_h3_2p,80.0,15.314994259506893,2.6774193548387095,interpolated
he4_p_h3_2p,85.0,16.135516800264476,2.838709677419355,interpolated
he4_p_h3_2p,90.0,17.0,3.0,data
he4_p_h3_2p,95.0,16.9879209510837,3.0714285714285716,interpolated
he4_p_h3_2p,100.0,16.975850484721672,3.142857142857143,interpolated
he4_p_h3_2p,105.0,16.963788594815746,3.2142857142857144,interpolated
he4_p_h3_2p,110.0,16.951735275272068,3.2857142857142856,interpolated
he4_p_h3_2p,115.0,16.93969052000111,3.357142857142857,interpolated
he4_p_h3_2p,120.0,16.927654322917697,3.4285714285714284,interpolated
he4_p_h3_2p,125.0,16.91562667794094,3.5,interpolated
he4_p_h3_2p,130.0,16.903607578994308,3.571428571428571,interpolated
he4_p_h3_2p,135.0,16.89159702000557,3.642857142857143,interpolated
he4_p_h3_2p,140.0,16.879594994906792,3.7142857142857144,interpolated
he4_p_h3_2p,145.0,16.867601497634393,3.7857142857142856,interpolated
he4_p_h3_2p,150.0,16.855616522129065,3.857142857142857,interpolated
he4_p_h3_2p,155.0,16.843640062335812,3.9285714285714284,interpolated
he4_p_h3_2p,160.0,16.831672112203957,4.0,interpolated
he4_p_h3_2p,165.0,16.81971266568711,4.071428571428571,interpolated
he4_p_h3_2p,170.0,16.807761716743165,4.142857142857142,interpolated
he4_p_h3_2p,175.0,16.79581925933434,4.214285714285714,interpolated
he4_p_h3_2p,180.0,16.783885287427115,4.285714285714286,interpolated
he4_p_h3_2p,185.0,16.771959794992263,4.357142857142858,interpolated
he4_p_h3_2p,190.0,16.760042776004855,4.428571428571429,interpolated
he4_p_h3_2p,195.0,16.74813422444423,4.5,interpolated
he4_p_h3_2p,200.0,16.736234134293998,4.571428571428571,interpolated
he4_p_h3_2p,205.0,16.72434249954207,4.642857142857142,interpolated
he4_p_h3_2p,210.0,16.7124593141806,4.714285714285714,interpolated
he4_p_h3_2p,215.0,16.70058457220603,4.785714285714286,interpolated
he4_p_h3_2p,220.0,16.688718267619063,4.857142857142857,interpolated
he4_p_h3_2p,225.0,16.676860394424647,4.928571428571429,interpolated
he4_p_h3_2p,230.0,16.665010946632027,5.0,interpolated
he4_p_h3_2p,235.0,16.653169918254672,5.071428571428571,interpolated
he4_p_h3_2p,240.0,16.64133730331031,5.142857142857142,interpolated
he4_p_h3_2p,245.0,16.62951309582094,5.214285714285714,interpolated
he4_p_h3_2p,250.0,16.61769728981278,5.285714285714286,interpolated
he4_p_h3_2p,255.0,16.605889879316308,5.357142857142858,interpolated
he4_p_h3_2p,260.0,16.594090858366254,5.428571428571429,interpolated
he4_p_h3_2p,265.0,16.582300221001557,5.5,interpolated
he4_p_h3_2p,270.0,16.570517961265427,5.571428571428571,interpolated
he4_p_h3_2p,275.0,16.558744073205276,5.642857142857142,interpolated
he4_p_h3_2p,280.0,16.546978550872755,5.714285714285714,interpolated
he4_p_h3_2p,285.0,16.53522138832376,5.785714285714286,interpolated
he4_p_h3_2p,290.0,16.52347257961838,5.857142857142858,interpolated
he4_p_h3_2p,295.0,16.511732118820944,5.928571428571429,interpolated
he4_p_h3_2p,300.0,16.5,6.0,data
he4_p_h3_2p,305.0,,,gap
he4_p_h3_2p,310.0,,,gap
he4_p_h3_2p,315.0,,,gap
he4_p_h3_2p,320.0,,,gap
he4_p_h3_2p,325.0,,,gap
he4_p_h3_2p,330.0,,,gap
he4_p_h3_2p,335.0,,,gap
he4_p_h3_2p,340.0,,,gap
he4_p_h3_2p,345.0,,,gap
he4_p_h3_2p,350.0,,,gap
he4_p_h3_2p,355.0,,,gap
he4_p_h3_2p,360.0,,,gap
he4_p_h3_2p,365.0,,,gap
he4_p_h3_2p,370.0,,,gap
he4_p_h3_2p,375.0,,,gap
he4_p_h3_2p,380.0,,,gap
he4_p_h3_2p,385.0,,,gap
he4_p_h3_2p,390.0,,,gap
he4_p_h3_2p,395.0,,,gap
he4_p_h3_2p,400.0,,,gap
