reaction,E_MeV,sigma_mb,d_sigma_mb,status
he4_p_he3_np,5.0,,,gap
he4_p_he3_np,10.0,,,gap
he4_p_he3_np,15.0,,,gap
he4_p_he3_np,20.0,,,gap
he4_p_he3_np,25.0,,,gap
he4_p_he3_np,30.0,,,gap
he4_p_he3_np,35.0,,,gap
he4_p_he3_np,40.0,,,gap
he4_p_he3_np,45.0,,,gap
he4_p_he3_np,50.0,,,gap
he4_p_he3_np,55.0,48.83294669979364,8.0,interpolated
he4_p_he3_np,60.0,48.41780088273647,8.0,interpolated
he4_p_he3_np,65.0,48.0061843642588,8.0,interpolated
he4_p_he3_np,70.0,47.59806714056927,8.0,interpolated
he4_p_he3_np,75.0,47.19341946294926,8.0,interpolated
he4_p_he3_np,80.0,46.79221183558422,8.0,interpolated
he4_p_he3_np,85.0,46.39441501341377,8.0,interpolated
he4_p_he3_np,90.0,46.0,8.0,data
he4_p_he3_np,95.0,45.42013797060338,8.047619047619047,interpolated
he4_p_he3_np,100.0,44.847585505840115,8.095238095238095,interpolated
he4_p_he3_np,105.0,44.28225046355848,8.142857142857142,interpolated
he4_p_he3_np,110.0,43.724041863122636,8.19047619047619,interpolated
he4_p_he3_np,115.0,43.17286987077104,8.238095238095237,interpolated
he4_p_he3_np,120.0,42.62864578515924,8.285714285714286,interpolated
he4_p_he3_np,125.0,42.09128202308506,8.333333333333334,interpolated
he4_p_he3_np,130.0,41.56069210539349,8.380952380952381,interpolated
he4_p_he3_np,135.0,41.03679064305952,8.428571428571429,interpolated
he4_p_he3_np,140.0,40.519493323446284,8.476190476190476,interpolated
he4_p_he3_np,145.0,40.00871689673635,8.523809523809524,interpolated
he4_p_he3_np,150.0,39.50437916253425,8.571428571428571,interpolated
he4_p_he3_np,155.0,39.00639895663769,8.619047619047619,interpolated
he4_p_he3_np,160.0,38.514696137975726,8.666666666666666,interpolated
he4_p_he3_np,165.0,38.02919157571135,8.714285714285714,interpolated
he4_p_he3_np,170.0,37.54980713650687,8.761904761904763,interpolated
he4_p_he3_np,175.0,37.07646567194977,8.80952380952381,interpolated
he4_p_he3_np,180.0,36.609091006136914,8.857142857142858,interpolated
he4_p_he3_np,185.0,36.1476079234155,8.904761904761905,interpolated
he4_p_he3_np,190.0,35.69194215627843,8.952380952380953,interpolated
he4_p_he3_np,195.0,35.242020373412196,9.0,interpolated
he4_p_he3_np,200.0,34.797770167895585,9.047619047619047,interpolated
he4_p_he3_np,205.0,34.359120045547016,9.095238095238095,interpolated
he4_p_he3_np,210.0,33.9259994134189,9.142857142857142,interpolated
he4_p_he3_np,215.0,33.49833856843686,9.19047619047619,interpolated
he4_p_he3_np,220.0,33.076068686182296,9.238095238095237,interpolated
he4_p_he3_np,225.0,32.659121809816384,9.285714285714286,interpolated
he4_p_he3_np,230.0,32.24743083914352,9.333333333333334,interpolated
he4_p_he3_np,235.0,31.8409295198128,9.380952380952381,interpolated
he4_p_he3_np,240.0,31.439552432655532,9.428571428571429,interpolated
he4_p_he3_np,245.0,31.04323498315724,9.476190476190476,interpolated
he4_p_he3_np,250.0,30.65191339106224,9.523809523809524,interpolated
he4_p_he3_np,255.0,30.26552468010938,9.571428571428571,interpolated
he4_p_he3_np,260.0,29.88400666789716,9.619047619047619,interpolated
he4_p_he3_np,265.0,29.507297955876528,9.666666666666666,interpolated
he4_p_he3_np,270.0,29.135337919469883,9.714285714285715,interpolated
he4_p_he3_np,275.0,28.768066698314648,9.761904761904763,interpolated
he4_p_he3_np,280.0,28.405425186629813,9.80952380952381,interpolated
he4_p_he3_np,285.0,28.047355023703872,9.857142857142858,interpolated
he4_p_he3_np,290.0,27.693798584502716,9.904761904761905,interpolated
he4_p_he3_np,295.0,27.34469897039595,9.952380952380953,interpolated
he4_p_he3_np,300.0,27.0,10.0,data
he4_p_he3_np,305.0,,,gap
he4_p_he3_np,310.0,,,gap
he4_p_he3_np,315.0,,,gap
he4_p_he3_np,320.0,,,gap
he4_p_he3_np,325.0,,,gap
he4_p_he3_np,330.0,,,gap
he4_p_he3_np,335.0,,,gap
he4_p_he3_np,340.0,,,gap
he4_p_he3_np,345.0,,,gap
he4_p_he3_np,350.0,,,gap
he4_p_he3_np,355.0,,,gap
he4_p_he3_np,360.0,,,gap
he4_p_he3_np,365.0,,,gap
he4_p_he3_np,370.0,,,gap
he4_p_he3_np,375.0,,,gap
he4_p_he3_np,380.0,,,gap
he4_p_he3_np,385.0,,,gap
he4_p_he3_np,390.0,,,gap
he4_p_he3_np,395.0,,,gap
he4_p_he3_np,400.0,,,gap
