reaction,E_MeV,sigma_mb,d_sigma_mb,status
li7_p_he4_he4,5.0,,,gap
li7_p_he4_he4,10.0,,,gap
li7_p_he4_he4,15.0,,,gap
li7_p_he4_he4,20.0,,,gap
li7_p_he4_he4,25.0,,,gap
li7_p_he4_he4,30.0,,,gap
li7_p_he4_he4,35.0,,,gap
li7_p_he4_he4,40.0,,,gap
li7_p_he4_he4,45.0,,,gap
li7_p_he4_he4,50.0,,,gap
li7_p_he4_he4,55.0,,,gap
li7_p_he4_he4,60.0,,,gap
li7_p_he4_he4,65.0,26.8781,,scaled
li7_p_he4_he4,70.0,22.9953,,scaled
li7_p_he4_he4,75.0,19.8864,,scaled
li7_p_he4_he4,80.0,17.3599,,scaled
li7_p_he4_he4,85.0,14.0145,,scaled
li7_p_he4_he4,90.0,11.2713,,scaled
li7_p_he4_he4,95.0,9.17243,,scaled
li7_p_he4_he4,100.0,7.54375,,scaled
li7_p_he4_he4,105.0,6.26374,,scaled
li7_p_he4_he4,110.0,5.24611,,scaled
li7_p_he4_he4,115.0,4.42858,,scaled
li7_p_he4_he4,120.0,3.75077,,scaled
li7_p_he4_he4,125.0,3.15507,,scaled
li7_p_he4_he4,130.0,2.67204,,scaled
li7_p_he4_he4,135.0,2.2772,,scaled
li7_p_he4_he4,140.0,1.9335,,scaled
li7_p_he4_he4,145.0,1.57186,,scaled
li7_p_he4_he4,150.0,1.28686,,scaled
li7_p_he4_he4,155.0,1.06047,,scaled
li7_p_he4_he4,160.0,0.929425,,extrapolated
li7_p_he4_he4,165.0,0.901261,,extrapolated
li7_p_he4_he4,170.0,0.874753,,extrapolated
li7_p_he4_he4,175.0,0.84976,,extrapolated
li7_p_he4_he4,180.0,0.826156,,extrapolated
li7_p_he4_he4,185.0,0.803827,,extrapolated
li7_p_he4_he4,190.0,0.782674,,extrapolated
li7_p_he4_he4,195.0,0.762605,,extrapolated
li7_p_he4_he4,200.0,0.74354,,extrapolated
li7_p_he4_he4,205.0,0.725405,,extrapolated
li7_p_he4_he4,210.0,0.708133,,extrapolated
li7_p_he4_he4,215.0,0.691665,,extrapolated
li7_p_he4_he4,220.0,0.675945,,extrapolated
li7_p_he4_he4,225.0,0.660924,,extrapolated
li7_p_he4_he4,230.0,0.646557,,extrapolated
li7_p_he4_he4,235.0,0.6328,,extrapolated
li7_p_he4_he4,240.0,0.619617,,extrapolated
li7_p_he4_he4,245.0,0.606971,,extrapolated
li7_p_he4_he4,250.0,0.594832,,extrapolated
li7_p_he4_he4,255.0,0.583169,,extrapolated
li7_p_he4_he4,260.0,0.571954,,extrapolated
li7_p_he4_he4,265.0,0.561162,,extrapolated
li7_p_he4_he4,270.0,0.55077,,extrapolated
li7_p_he4_he4,275.0,0.540756,,extrapolated
li7_p_he4_he4,280.0,0.5311,,extrapolated
li7_p_he4_he4,285.0,0.521782,,extrapolated
li7_p_he4_he4,290.0,0.512786,,extrapolated
li7_p_he4_he4,295.0,0.504095,,extrapolated
li7_p_he4_he4,300.0,0.495693,,extrapolated
li7_p_he4_he4,305.0,0.487567,,extrapolated
li7_p_he4_he4,310.0,0.479703,,extrapolated
li7_p_he4_he4,315.0,0.472089,,extrapolated
li7_p_he4_he4,320.0,0.464712,,extrapolated
li7_p_he4_he4,325.0,0.457563,,extrapolated
li7_p_he4_he4,330.0,0.45063,,extrapolated
li7_p_he4_he4,335.0,0.443904,,extrapolated
li7_p_he4_he4,340.0,0.437376,,extrapolated
li7_p_he4_he4,345.0,0.431038,,extrapolated
li7_p_he4_he4,350.0,0.42488,,extrapolated
li7_p_he4_he4,355.0,0.418896,,extrapolated
li7_p_he4_he4,360.0,0.413078,,extrapolated
li7_p_he4_he4,365.0,0.407419,,extrapolated
li7_p_he4_he4,370.0,0.401914,,extrapolated
li7_p_he4_he4,375.0,0.396555,,extrapolated
li7_p_he4_he4,380.0,0.391337,,extrapolated
li7_p_he4_he4,385.0,0.386255,,extrapolated
li7_p_he4_he4,390.0,0.381303,,extrapolated
li7_p_he4_he4,395.0,0.376476,,extrapolated
li7_p_he4_he4,400.0,0.37177,,extrapolated
