reaction,E_MeV,sigma_mb,d_sigma_mb,status
p_d_dp_n,5.0,,,gap
p_d_dp_n,10.0,,,gap
p_d_dp_n,15.0,,,gap
p_d_dp_n,20.0,,,gap
p_d_dp_n,25.0,,,gap
p_d_dp_n,30.0,,,gap
p_d_dp_n,35.0,,,gap
p_d_dp_n,40.0,,,gap
p_d_dp_n,45.0,,,gap
p_d_dp_n,50.0,34.00000000000001,4.0,data
p_d_dp_n,55.0,33.34623669187507,3.9,interpolated
p_d_dp_n,60.0,32.70504416207515,3.8,interpolated
p_d_dp_n,65.0,32.07618069549367,3.7,interpolated
p_d_dp_n,70.0,31.459409224802517,3.6,interpolated
p_d_dp_n,75.0,30.85449724108302,3.5,interpolated
p_d_dp_n,80.0,30.261216706175322,3.4,interpolated
p_d_dp_n,85.0,29.679343966713127,3.3,interpolated
p_d_dp_n,90.0,29.108659669811473,3.2,interpolated
p_d_dp_n,95.0,28.548948680375624,3.1,interpolated
p_d_dp_n,100.0,27.999999999999996,3.0,data
p_d_dp_n,105.0,27.664400533175233,3.0,interpolated
p_d_dp_n,110.0,27.33282345928379,3.0,interpolated
p_d_dp_n,115.0,27.005220567149827,3.0,interpolated
p_d_dp_n,120.0,26.681544223441946,3.0,interpolated
p_d_dp_n,125.0,26.36174736574736,3.0,interpolated
p_d_dp_n,130.0,26.045783495729,3.0,interpolated
p_d_dp_n,135.0,25.733606672364722,3.0,interpolated
p_d_dp_n,140.0,25.425171505267443,3.0,interpolated
p_d_dp_n,145.0,25.120433148085446,3.0,interpolated
p_d_dp_n,150.0,24.81934729198171,3.0,interpolated
p_d_dp_n,155.0,24.521870159191433,3.0,interpolated
p_d_dp_n,160.0,24.227958496656775,3.0,interpolated
p_d_dp_n,165.0,23.93756956973783,3.0,interpolated
p_d_dp_n,170.0,23.65066115599909,3.0,interpolated
p_d_dp_n,175.0,23.367191539070287,3.0,interpolated
p_d_dp_n,180.0,23.08711950258085,3.0,interpolated
p_d_dp_n,185.0,22.810404324167077,3.0,interpolated
p_d_dp_n,190.0,22.537005769551083,3.0,interpolated
p_d_dp_n,195.0,22.2668840866908,3.0,interpolated
p_d_dp_n,200.0,22.000000000000004,3.0,data
p_d_dp_n,205.0,21.889907502621153,2.975,interpolated
p_d_dp_n,210.0,21.78036593060499,2.95,interpolated
p_d_dp_n,215.0,21.671372527008376,2.925,interpolated
p_d_dp_n,220.0,21.562924548684475,2.9,interpolated
p_d_dp_n,225.0,21.455019266213732,2.875,interpolated
p_d_dp_n,230.0,21.347653963835146,2.85,interpolated
p_d_dp_n,235.0,21.24082593937796,2.825,interpolated
p_d_dp_n,240.0,21.134532504193615,2.8,interpolated
p_d_dp_n,245.0,21.02877098308811,2.775,interpolated
p_d_dp_n,250.0,20.923538714254647,2.75,interpolated
p_d_dp_n,255.0,20.818833049206667,2.725,interpolated
p_d_dp_n,260.0,20.71465135271119,2.7,interpolated
p_d_dp_n,265.0,20.610991002722457,2.675,interpolated
p_d_dp_n,270.0,20.507849390315968,2.65,interpolated
p_d_dp_n,275.0,20.40522391962282,2.625,interpolated
p_d_dp_n,280.0,20.30311200776437,2.6,interpolated
p_d_dp_n,285.0,20.201511084787217,2.575,interpolated
p_d_dp_n,290.0,20.100418593598548,2.55,interpolated
p_d_dp_n,295.0,19.99983198990175,2.525,interpolated
p_d_dp_n,300.0,19.8997487421324,2.5,interpolated
p_d_dp_n,305.0,19.800166331394536,2.475,interpolated
p_d_dp_n,310.0,19.70108225139727,2.45,interpolated
p_d_dp_n,315.0,19.6024940083917,2.425,interpolated
p_d_dp_n,320.0,19.504399121108165,2.4,interpolated
p_d_dp_n,325.0,19.406795120693772,2.375,interpolated
p_d_dp_n,330.0,19.309679550650277,2.35,interpolated
p_d_dp_n,335.0,19.21304996677226,2.325,interpolated
p_d_dp_n,340.0,19.116903937085596,2.3,interpolated
p_d_dp_n,345.0,19.021239041786263,2.275,interpolated
p_d_dp_n,350.0,18.92605287317942,2.25,interpolated
p_d_dp_n,355.0,18.83134303561885,2.225,interpolated
p_d_dp_n,360.0,18.73710714544662,2.2,interpolated
p_d_dp_n,365.0,18.643342830933104,2.175,interpolated
p_d_dp_n,370.0,18.55004773221731,2.15,interpolated
p_d_dp_n,375.0,18.457219501247458,2.125,interpolated
p_d_dp_n,380.0,18.364855801721916,2.1,interpolated
p_d_dp_n,385.0,18.272954309030368,2.075,interpolated
p_d_dp_n,390.0,18.18151271019533,2.05,interpolated
p_d_dp_n,395.0,18.090528703813934,2.025,interpolated
p_d_dp_n,400.0,17.999999999999996,2.0,data
