reaction,E_MeV,sigma_mb,d_sigma_mb,status
p_d_inel,5.0,,,interpolated
p_d_inel,10.0,134.48447252586547,13.500000000000004,data
p_d_inel,15.0,178.04775953515724,7.042925278219396,interpolated
p_d_inel,20.0,167.581258054084,7.281399046104928,interpolated
p_d_inel,25.0,157.7300277426078,7.519872813990461,interpolated
p_d_inel,30.0,148.45790000964556,7.758346581875994,interpolated
p_d_inel,35.0,139.7308324274154,7.996820349761526,interpolated
p_d_inel,40.0,131.51678374535751,8.235294117647058,interpolated
p_d_inel,45.0,123.78559625133589,8.473767885532592,interpolated
p_d_inel,50.0,116.50888504821451,8.712241653418124,interpolated
p_d_inel,55.0,109.65993383928608,8.950715421303656,interpolated
p_d_inel,60.0,103.21359683993369,9.18918918918919,interpolated
p_d_inel,65.0,97.14620645539625,9.427662957074721,interpolated
p_d_inel,70.0,91.43548638567654,9.666136724960253,interpolated
p_d_inel,75.0,86.0604698385609,9.904610492845787,interpolated
p_d_inel,80.0,80.89317326138094,9.833333333333334,interpolated
p_d_inel,85.0,75.96837714741146,9.555555555555555,interpolated
p_d_inel,90.0,71.34340382177291,9.277777777777779,interpolated
p_d_inel,95.0,66.99999999999997,9.0,data
p_d_inel,100.0,66.380306055215,8.25,interpolated
p_d_inel,105.0,65.76634376095544,7.5,interpolated
p_d_inel,110.0,65.15806010424929,6.75,interpolated
p_d_inel,115.0,64.55540256245014,6.0,interpolated
p_d_inel,120.0,63.95831909870226,5.25,interpolated
p_d_inel,125.0,63.366758157447165,4.5,interpolated
p_d_inel,130.0,62.78066865997218,3.75,interpolated
p_d_inel,135.0,62.19999999999998,3.0,data
p_d_inel,140.0,,,gap
p_d_inel,145.0,,,gap
p_d_inel,150.0,,,gap
p_d_inel,155.0,,,gap
p_d_inel,160.0,,,gap
p_d_inel,165.0,,,gap
p_d_inel,170.0,,,gap
p_d_inel,175.0,,,gap
p_d_inel,180.0,,,gap
p_d_inel,185.0,,,gap
p_d_inel,190.0,,,gap
p_d_inel,195.0,,,gap
p_d_inel,200.0,,,gap
p_d_inel,205.0,,,gap
p_d_inel,210.0,,,gap
p_d_inel,215.0,,,gap
p_d_inel,220.0,,,gap
p_d_inel,225.0,,,gap
p_d_inel,230.0,,,gap
p_d_inel,235.0,,,gap
p_d_inel,240.0,,,gap
p_d_inel,245.0,,,gap
p_d_inel,250.0,,,gap
p_d_inel,255.0,,,gap
p_d_inel,260.0,,,gap
p_d_inel,265.0,,,gap
p_d_inel,270.0,,,gap
p_d_inel,275.0,,,gap
p_d_inel,280.0,,,gap
p_d_inel,285.0,,,gap
p_d_inel,290.0,,,gap
p_d_inel,295.0,,,gap
p_d_inel,300.0,,,gap
p_d_inel,305.0,,,gap
p_d_inel,310.0,,,gap
p_d_inel,315.0,,,gap
p_d_inel,320.0,,,gap
p_d_inel,325.0,,,gap
p_d_inel,330.0,,,gap
p_d_inel,335.0,,,gap
p_d_inel,340.0,,,gap
p_d_inel,345.0,,,gap
p_d_inel,350.0,,,gap
p_d_inel,355.0,,,gap
p_d_inel,360.0,,,gap
p_d_inel,365.0,,,gap
p_d_inel,370.0,,,gap
p_d_inel,375.0,,,gap
p_d_inel,380.0,,,gap
p_d_inel,385.0,,,gap
p_d_inel,390.0,,,gap
p_d_inel,395.0,,,gap
p_d_inel,400.0,,,gap
