reaction,E_MeV,sigma_mb,d_sigma_mb,status
p_d_n_d,5.0,,,gap
p_d_n_d,10.0,,,gap
p_d_n_d,15.0,,,gap
p_d_n_d,20.0,,,gap
p_d_n_d,25.0,,,gap
p_d_n_d,30.0,,,gap
p_d_n_d,35.0,,,gap
p_d_n_d,40.0,,,gap
p_d_n_d,45.0,,,gap
p_d_n_d,50.0,74.00000000000003,5.0,data
p_d_n_d,55.0,72.2189794728241,4.9,interpolated
p_d_n_d,60.0,70.48082427157009,4.8,interpolated
p_d_n_d,65.0,68.78450272021952,4.7,interpolated
p_d_n_d,70.0,67.12900797297222,4.6,interpolated
p_d_n_d,75.0,65.51335741663681,4.5,interpolated
p_d_n_d,80.0,63.93659208740378,4.4,interpolated
p_d_n_d,85.0,62.397776101655936,4.3,interpolated
p_d_n_d,90.0,60.895996100477916,4.2,interpolated
p_d_n_d,95.0,59.43036070753499,4.1,interpolated
p_d_n_d,100.0,57.999999999999986,4.0,data
p_d_n_d,105.0,57.57117510796535,3.95,interpolated
p_d_n_d,110.0,57.14552074675874,3.9,interpolated
p_d_n_d,115.0,56.72301347495716,3.85,interpolated
p_d_n_d,120.0,56.303630024452374,3.8,interpolated
p_d_n_d,125.0,55.88734729916972,3.75,interpolated
p_d_n_d,130.0,55.47414237379608,3.7,interpolated
p_d_n_d,135.0,55.06399249251751,3.65,interpolated
p_d_n_d,140.0,54.65687506776578,3.6,interpolated
p_d_n_d,145.0,54.252767678974635,3.55,interpolated
p_d_n_d,150.0,53.85164807134502,3.5,interpolated
p_d_n_d,155.0,53.45349415461947,3.45,interpolated
p_d_n_d,160.0,53.05828400186551,3.4,interpolated
p_d_n_d,165.0,52.66599584826822,3.35,interpolated
p_d_n_d,170.0,52.276608089931464,3.3,interpolated
p_d_n_d,175.0,51.89009928268833,3.25,interpolated
p_d_n_d,180.0,51.506448140919936,3.2,interpolated
p_d_n_d,185.0,51.12563353638343,3.15,interpolated
p_d_n_d,190.0,50.7476344970482,3.1,interpolated
p_d_n_d,195.0,50.372430205941136,3.05,interpolated
p_d_n_d,200.0,49.99999999999999,3.0,data
p_d_n_d,205.0,49.840463347748056,3.0,interpolated
p_d_n_d,210.0,49.68143573436434,3.0,interpolated
p_d_n_d,215.0,49.52291553564174,3.0,interpolated
p_d_n_d,220.0,49.364901132555495,3.0,interpolated
p_d_n_d,225.0,49.2073909112468,3.0,interpolated
p_d_n_d,230.0,49.05038326300613,3.0,interpolated
p_d_n_d,235.0,48.89387658425704,3.0,interpolated
p_d_n_d,240.0,48.7378692765396,3.0,interpolated
p_d_n_d,245.0,48.58235974649416,3.0,interpolated
p_d_n_d,250.0,48.42734640584506,3.0,interpolated
p_d_n_d,255.0,48.272827671384384,3.0,interpolated
p_d_n_d,260.0,48.118801964955836,3.0,interpolated
p_d_n_d,265.0,47.965267713438564,3.0,interpolated
p_d_n_d,270.0,47.812223348731166,3.0,interpolated
p_d_n_d,275.0,47.65966730773559,3.0,interpolated
p_d_n_d,280.0,47.507598032341264,3.0,interpolated
p_d_n_d,285.0,47.35601396940905,3.0,interpolated
p_d_n_d,290.0,47.20491357075553,3.0,interpolated
p_d_n_d,295.0,47.054295293137116,3.0,interpolated
p_d_n_d,300.0,46.90415759823429,3.0,interpolated
p_d_n_d,305.0,46.75449895263589,3.0,interpolated
p_d_n_d,310.0,46.605317827823484,3.0,interpolated
p_d_n_d,315.0,46.45661270015571,3.0,interpolated
p_d_n_d,320.0,46.30838205085275,3.0,interpolated
p_d_n_d,325.0,46.16062436598083,3.0,interpolated
p_d_n_d,330.0,46.01333813643667,3.0,interpolated
p_d_n_d,335.0,45.8665218579322,3.0,interpolated
p_d_n_d,340.0,45.720174030979095,3.0,interpolated
p_d_n_d,345.0,45.57429316087352,3.0,interpolated
p_d_n_d,350.0,45.42887775768084,3.0,interpolated
p_d_n_d,355.0,45.283926336220375,3.0,interpolated
p_d_n_d,360.0,45.139437416050285,3.0,interpolated
p_d_n_d,365.0,44.99540952145243,3.0,interpolated
p_d_n_d,370.0,44.85184118141728,3.0,interpolated
p_d_n_d,375.0,44.7087309296289,3.0,interpolated
p_d_n_d,380.0,44.56607730445,3.0,interpolated
p_d_n_d,385.0,44.42387884890694,3.0,interpolated
p_d_n_d,390.0,44.282134110674924,3.0,interpolated
p_d_n_d,395.0,44.14084164206315,3.0,interpolated
p_d_n_d,400.0,43.99999999999999,3.0,data
