reaction,E_MeV,sigma_mb,d_sigma_mb,status
p_d_n_p,5.0,,,gap
p_d_n_p,10.0,,,gap
p_d_n_p,15.0,,,gap
p_d_n_p,20.0,,,gap
p_d_n_p,25.0,,,gap
p_d_n_p,30.0,,,gap
p_d_n_p,35.0,,,gap
p_d_n_p,40.0,,,gap
p_d_n_p,45.0,,,gap
p_d_n_p,50.0,108.00000000000003,5.0,data
p_d_n_p,55.0,105.56774019651925,4.9,interpolated
p_d_n_p,60.0,103.19025713147947,4.8,interpolated
p_d_n_p,65.0,100.86631718211139,4.7,interpolated
p_d_n_p,70.0,98.59471450797072,4.6,interpolated
p_d_n_p,75.0,96.37427042525405,4.5,interpolated
p_d_n_p,80.0,94.20383279520654,4.4,interpolated
p_d_n_p,85.0,92.08227542630279,4.3,interpolated
p_d_n_p,90.0,90.00849748989121,4.2,interpolated
p_d_n_p,95.0,87.98142294899895,4.1,interpolated
p_d_n_p,100.0,85.99999999999997,4.0,data
p_d_n_p,105.0,85.23935474938446,3.95,interpolated
p_d_n_p,110.0,84.48543718710945,3.9,interpolated
p_d_n_p,115.0,83.73818780870779,3.85,interpolated
p_d_n_p,120.0,82.99754763601194,3.8,interpolated
p_d_n_p,125.0,82.26345821249954,3.75,interpolated
p_d_n_p,130.0,81.53586159867932,3.7,interpolated
p_d_n_p,135.0,80.81470036751793,3.65,interpolated
p_d_n_p,140.0,80.09991759990784,3.6,interpolated
p_d_n_p,145.0,79.39145688017454,3.55,interpolated
p_d_n_p,150.0,78.68926229162396,3.5,interpolated
p_d_n_p,155.0,77.99327841212911,3.45,interpolated
p_d_n_p,160.0,77.30345030975565,3.4,interpolated
p_d_n_p,165.0,76.61972353842648,3.35,interpolated
p_d_n_p,170.0,75.94204413362449,3.3,interpolated
p_d_n_p,175.0,75.27035860813292,3.25,interpolated
p_d_n_p,180.0,74.60461394781429,3.2,interpolated
p_d_n_p,185.0,73.94475760742581,3.15,interpolated
p_d_n_p,190.0,73.2907375064723,3.1,interpolated
p_d_n_p,195.0,72.64250202509554,3.05,interpolated
p_d_n_p,200.0,72.0,3.0,data
p_d_n_p,205.0,71.73134534667118,2.975,interpolated
p_d_n_p,210.0,71.46369312838063,2.95,interpolated
p_d_n_p,215.0,71.19703960472782,2.925,interpolated
p_d_n_p,220.0,70.93138104926884,2.9,interpolated
p_d_n_p,225.0,70.66671374946425,2.875,interpolated
p_d_n_p,230.0,70.40303400662746,2.85,interpolated
p_d_n_p,235.0,70.14033813587263,2.825,interpolated
p_d_n_p,240.0,69.87862246606348,2.8,interpolated
p_d_n_p,245.0,69.61788333976187,2.775,interpolated
p_d_n_p,250.0,69.35811711317673,2.75,interpolated
p_d_n_p,255.0,69.09932015611312,2.725,interpolated
p_d_n_p,260.0,68.84148885192148,2.7,interpolated
p_d_n_p,265.0,68.58461959744714,2.675,interpolated
p_d_n_p,270.0,68.3287088029799,2.65,interpolated
p_d_n_p,275.0,68.07375289220393,2.625,interpolated
p_d_n_p,280.0,67.81974830214766,2.6,interpolated
p_d_n_p,285.0,67.5666914831343,2.575,interpolated
p_d_n_p,290.0,67.31457889873185,2.55,interpolated
p_d_n_p,295.0,67.06340702570388,2.525,interpolated
p_d_n_p,300.0,66.81317235396027,2.5,interpolated
p_d_n_p,305.0,66.56387138650815,2.475,interpolated
p_d_n_p,310.0,66.31550063940307,2.45,interpolated
p_d_n_p,315.0,66.06805664170021,2.425,interpolated
p_d_n_p,320.0,65.82153593540598,2.4,interpolated
p_d_n_p,325.0,65.57593507542957,2.375,interpolated
p_d_n_p,330.0,65.33125062953509,2.35,interpolated
p_d_n_p,335.0,65.0874791782932,2.325,interpolated
p_d_n_p,340.0,64.8446173150336,2.3,interpolated
p_d_n_p,345.0,64.60266164579734,2.275,interpolated
p_d_n_p,350.0,64.36160878928942,2.25,interpolated
p_d_n_p,355.0,64.12145537683148,2.225,interpolated
p_d_n_p,360.0,63.882198052314784,2.2,interpolated
p_d_n_p,365.0,63.64383347215329,2.175,interpolated
p_d_n_p,370.0,63.40635830523692,2.15,interpolated
p_d_n_p,375.0,63.16976923288503,2.125,interpolated
p_d_n_p,380.0,62.93406294879994,2.1,interpolated
p_d_n_p,385.0,62.699236159021,2.075,interpolated
p_d_n_p,390.0,62.46528558187817,2.05,interpolated
p_d_n_p,395.0,62.232207947946435,2.025,interpolated
p_d_n_p,400.0,62.00000000000001,2.0,data
