reaction,E_MeV,sigma_mb,d_sigma_mb,status
p_he4_p_he4,5.0,,,gap
p_he4_p_he4,10.0,,,gap
p_he4_p_he4,15.0,,,gap
p_he4_p_he4,20.0,,,gap
p_he4_p_he4,25.0,,,gap
p_he4_p_he4,30.0,,,gap
p_he4_p_he4,35.0,,,gap
p_he4_p_he4,40.0,,,gap
p_he4_p_he4,45.0,,,gap
p_he4_p_he4,50.0,159.99999999999994,8.0,data
p_he4_p_he4,55.0,156.71202395733357,7.8,interpolated
p_he4_p_he4,60.0,153.4916153300245,7.6,interpolated
p_he4_p_he4,65.0,150.337385617804,7.4,interpolated
p_he4_p_he4,70.0,147.24797485387626,7.2,interpolated
p_he4_p_he4,75.0,144.22205101855945,7.0,interpolated
p_he4_p_he4,80.0,141.2583094649769,6.8,interpolated
p_he4_p_he4,85.0,138.35547235654943,6.6,interpolated
p_he4_p_he4,90.0,135.51228811604864,6.4,interpolated
p_he4_p_he4,95.0,132.7275308859708,6.2,interpolated
p_he4_p_he4,100.0,129.99999999999997,6.0,data
p_he4_p_he4,105.0,128.6191542920626,5.95,interpolated
p_he4_p_he4,110.0,127.25297577542622,5.9,interpolated
p_he4_p_he4,115.0,125.90130865679734,5.85,interpolated
p_he4_p_he4,120.0,124.56399879770167,5.8,interpolated
p_he4_p_he4,125.0,123.2408936969069,5.75,interpolated
p_he4_p_he4,130.0,121.93184247303186,5.7,interpolated
p_he4_p_he4,135.0,120.63669584734124,5.65,interpolated
p_he4_p_he4,140.0,119.35530612672166,5.6,interpolated
p_he4_p_he4,145.0,118.08752718683985,5.55,interpolated
p_he4_p_he4,150.0,116.8332144554792,5.5,interpolated
p_he4_p_he4,155.0,115.59222489605324,5.45,interpolated
p_he4_p_he4,160.0,114.36441699129442,5.4,interpolated
p_he4_p_he4,165.0,113.14965072711605,5.35,interpolated
p_he4_p_he4,170.0,111.94778757664567,5.3,interpolated
p_he4_p_he4,175.0,110.7586904844279,5.25,interpolated
p_he4_p_he4,180.0,109.58222385079571,5.2,interpolated
p_he4_p_he4,185.0,108.41825351640645,5.15,interpolated
p_he4_p_he4,190.0,107.26664674694341,5.1,interpolated
p_he4_p_he4,195.0,106.12727221797918,5.05,interpolated
p_he4_p_he4,200.0,104.99999999999997,5.0,data
p_he4_p_he4,205.0,104.59613316962043,4.975,interpolated
p_he4_p_he4,210.0,104.19381975273309,4.95,interpolated
p_he4_p_he4,215.0,103.79305377436478,4.925,interpolated
p_he4_p_he4,220.0,103.39382928252415,4.9,interpolated
p_he4_p_he4,225.0,102.99614034811333,4.875,interpolated
p_he4_p_he4,230.0,102.59998106483981,4.85,interpolated
p_he4_p_he4,235.0,102.20534554912888,4.825,interpolated
p_he4_p_he4,240.0,101.81222794003581,4.8,interpolated
p_he4_p_he4,245.0,101.42062239915943,4.775,interpolated
p_he4_p_he4,250.0,101.03052311055495,4.75,interpolated
p_he4_p_he4,255.0,100.64192428064784,4.725,interpolated
p_he4_p_he4,260.0,100.25482013814764,4.7,interpolated
p_he4_p_he4,265.0,99.86920493396225,4.675,interpolated
p_he4_p_he4,270.0,99.48507294111269,4.65,interpolated
p_he4_p_he4,275.0,99.10241845464789,4.625,interpolated
p_he4_p_he4,280.0,98.72123579156003,4.6,interpolated
p_he4_p_he4,285.0,98.34151929070015,4.575,interpolated
p_he4_p_he4,290.0,97.96326331269401,4.55,interpolated
p_he4_p_he4,295.0,97.58646223985845,4.525,interpolated
p_he4_p_he4,300.0,97.21111047611784,4.5,interpolated
p_he4_p_he4,305.0,96.83720244692113,4.475,interpolated
p_he4_p_he4,310.0,96.46473259915865,4.45,interpolated
p_he4_p_he4,315.0,96.09369540108025,4.425,interpolated
p_he4_p_he4,320.0,95.72408534221272,4.4,interpolated
p_he4_p_he4,325.0,95.35589693327805,4.375,interpolated
p_he4_p_he4,330.0,94.98912470611194,4.35,interpolated
p_he4_p_he4,335.0,94.62376321358258,4.325,interpolated
p_he4_p_he4,340.0,94.25980702950967,4.3,interpolated
p_he4_p_he4,345.0,93.89725074858401,4.275,interpolated
p_he4_p_he4,350.0,93.53608898628703,4.25,interpolated
p_he4_p_he4,355.0,93.17631637881094,4.225,interpolated
p_he4_p_he4,360.0,92.81792758297901,4.2,interpolated
p_he4_p_he4,365.0,92.4609172761663,4.175,interpolated
p_he4_p_he4,370.0,92.10528015622057,4.15,interpolated
p_he4_p_he4,375.0,91.75101094138331,4.125,interpolated
p_he4_p_he4,380.0,91.39810437021174,4.1,interpolated
p_he4_p_he4,385.0,91.04655520150035,4.075,interpolated
p_he4_p_he4,390.0,90.69635821420316,4.05,interpolated
p_he4_p_he4,395.0,90.34750820735613,4.025,interpolated
p_he4_p_he4,400.0,90.0,4.0,data
