reaction,E_MeV,sigma_mb,d_sigma_mb,status
p_li7_he4_he4,5.0,,,gap
p_li7_he4_he4,10.0,,,gap
p_li7_he4_he4,15.0,,,gap
p_li7_he4_he4,20.0,,,gap
p_li7_he4_he4,25.0,,,gap
p_li7_he4_he4,30.0,,,gap
p_li7_he4_he4,35.0,,,data
p_li7_he4_he4,40.0,23.44757707894752,2.731088104606834,interpolated
p_li7_he4_he4,45.0,18.069926578861367,1.7336788298612011,interpolated
p_li7_he4_he4,50.0,13.12233949515685,1.288976396036126,interpolated
p_li7_he4_he4,55.0,9.357741325826334,1.0133858376216758,interpolated
p_li7_he4_he4,60.0,6.673148698324492,0.7377952792072254,interpolated
p_li7_he4_he4,65.0,4.758724568187138,0.4622047207927751,interpolated
p_li7_he4_he4,70.0,3.4644148702752684,0.2822660086206897,interpolated
p_li7_he4_he4,75.0,2.5978554080391967,0.23916256034482758,interpolated
p_li7_he4_he4,80.0,1.9374191385694706,0.19494736690858727,data
p_li7_he4_he4,85.0,1.3684093158538742,0.13968420974099727,interpolated
p_li7_he4_he4,90.0,0.9665146887618212,0.08442105257340726,data
p_li7_he4_he4,95.0,,,gap
p_li7_he4_he4,100.0,,,gap
p_li7_he4_he4,105.0,,,gap
p_li7_he4_he4,110.0,,,gap
p_li7_he4_he4,115.0,,,gap
p_li7_he4_he4,120.0,,,gap
p_li7_he4_he4,125.0,,,gap
p_li7_he4_he4,130.0,,,gap
p_li7_he4_he4,135.0,,,gap
p_li7_he4_he4,140.0,,,gap
p_li7_he4_he4,145.0,,,gap
p_li7_he4_he4,150.0,,,gap
p_li7_he4_he4,155.0,,,gap
p_li7_he4_he4,160.0,,,gap
p_li7_he4_he4,165.0,,,gap
p_li7_he4_he4,170.0,,,gap
p_li7_he4_he4,175.0,,,gap
p_li7_he4_he4,180.0,,,gap
p_li7_he4_he4,185.0,,,gap
p_li7_he4_he4,190.0,,,gap
p_li7_he4_he4,195.0,,,gap
p_li7_he4_he4,200.0,,,gap
p_li7_he4_he4,205.0,,,gap
p_li7_he4_he4,210.0,,,gap
p_li7_he4_he4,215.0,,,gap
p_li7_he4_he4,220.0,,,gap
p_li7_he4_he4,225.0,,,gap
p_li7_he4_he4,230.0,,,gap
p_li7_he4_he4,235.0,,,gap
p_li7_he4_he4,240.0,,,gap
p_li7_he4_he4,245.0,,,gap
p_li7_he4_he4,250.0,,,gap
p_li7_he4_he4,255.0,,,gap
p_li7_he4_he4,260.0,,,gap
p_li7_he4_he4,265.0,,,gap
p_li7_he4_he4,270.0,,,gap
p_li7_he4_he4,275.0,,,gap
p_li7_he4_he4,280.0,,,gap
p_li7_he4_he4,285.0,,,gap
p_li7_he4_he4,290.0,,,gap
p_li7_he4_he4,295.0,,,gap
p_li7_he4_he4,300.0,,,gap
p_li7_he4_he4,305.0,,,gap
p_li7_he4_he4,310.0,,,gap
p_li7_he4_he4,315.0,,,gap
p_li7_he4_he4,320.0,,,gap
p_li7_he4_he4,325.0,,,gap
p_li7_he4_he4,330.0,,,gap
p_li7_he4_he4,335.0,,,gap
p_li7_he4_he4,340.0,,,gap
p_li7_he4_he4,345.0,,,gap
p_li7_he4_he4,350.0,,,gap
p_li7_he4_he4,355.0,,,gap
p_li7_he4_he4,360.0,,,gap
p_li7_he4_he4,365.0,,,gap
p_li7_he4_he4,370.0,,,gap
p_li7_he4_he4,375.0,,,gap
p_li7_he4_he4,380.0,,,gap
p_li7_he4_he4,385.0,,,gap
p_li7_he4_he4,390.0,,,gap
p_li7_he4_he4,395.0,,,gap
p_li7_he4_he4,400.0,,,gap
