source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
fresco,40.0,0.3418508191282271,,1.000
fresco,45.0,0.43352957728562924,,1.000
fresco,50.0,0.40747282523480494,,1.000
fresco,55.0,3.4110458831157553,,1.000
fresco,60.0,259.80938306848805,,1.000
fresco,65.0,4524.96904088551,,1.000
fresco,70.0,9912.477700125299,,1.000
fresco,75.0,24736.271162658264,,1.000
fresco,80.0,73681.8715718422,,1.000
fresco,85.0,113954.84509776329,,1.000
fresco,90.0,223881.7984711353,,1.000
fresco,95.0,270041.73223650176,,1.000
fresco,100.0,346317.2171204811,,1.000
fresco,105.0,314467.9045959603,,1.000
fresco,110.0,2183754.725411988,,1.000
fresco,115.0,30147786.322981652,,1.000
fresco,120.0,67507458.326285,,1.000
fresco,125.0,81953831.5821214,,1.000
fresco,130.0,246326996.66397753,,1.000
fresco,135.0,112142578.93274795,,1.000
fresco,140.0,141311949.88163593,,1.000
fresco,145.0,502651707.3831193,,1.000
fresco,150.0,227481126.22217256,,1.000
fresco,155.0,144682168.83453754,,1.000
fresco,160.0,240433457.1448701,,1.000
fresco,165.0,175947440.1944274,,1.000
fresco,170.0,124514607.06556495,,1.000
fresco,175.0,191746379.4308099,,1.000
fresco,180.0,275398235.4902505,,1.000
fresco,185.0,1025428985.6719387,,1.000
fresco,190.0,1673817355.2812676,,1.000
fresco,195.0,2056621127.7461627,,1.000
fresco,200.0,1384112407.6330826,,1.000
fresco,205.0,2601810727.313878,,1.000
fresco,210.0,2638924076.6625776,,1.000
fresco,215.0,1666393881.8490064,,1.000
fresco,220.0,4771234751.151445,,1.000
fresco,225.0,6369195104.864234,,1.000
fresco,230.0,5645942152.276383,,1.000
fresco,235.0,2251940824.22022,,1.000
fresco,240.0,6201511068.536254,,1.000
fresco,245.0,6183802874.176338,,1.000
fresco,250.0,7911168429.918059,,1.000
fresco,255.0,5303125807.275817,,1.000
fresco,260.0,1872491671.0139544,,1.000
fresco,265.0,3111832420.9851413,,1.000
fresco,270.0,1123815875.9879622,,1.000
fresco,275.0,1832576957.4306927,,1.000
fresco,280.0,1666132718.517359,,1.000
fresco,285.0,319490878.50578237,,1.000
fresco,290.0,617991137.3931667,,1.000
fresco,295.0,1032065949.0294719,,1.000
fresco,300.0,466092081.6285009,,1.000
fresco,305.0,241907340.7665758,,1.000
fresco,310.0,280482397.9401783,,1.000
fresco,315.0,136693126.1573223,,1.000
fresco,320.0,181503943.06253448,,1.000
fresco,325.0,220102559.93258065,,1.000
fresco,330.0,52042675.99503346,,1.000
fresco,335.0,53775827.68719405,,1.000
fresco,340.0,17048129.717624817,,1.000
fresco,345.0,19449182.514921937,,1.000
fresco,350.0,11094654.392455054,,1.000
fresco,355.0,4375076.964121679,,1.000
fresco,360.0,5289353.401746852,,1.000
fresco,365.0,6415244.527313208,,1.000
fresco,370.0,1080489.836679789,,1.000
fresco,375.0,349164.63545817195,,1.000
fresco,380.0,824089.670159038,,1.000
fresco,385.0,54813.3254735153,,1.000
fresco,390.0,31243.940594672207,,1.000
fresco,395.0,32551.71205870482,,1.000
fresco,400.0,5044.9848324759605,,1.000
4He_4Hen_7Be_1,61.5,23.1,2.6,1.000
4He_4Hen_7Be_1,80.8,15.6,1.7,1.000
4He_4Hen_7Be_1,118.9,3.6,0.3,1.000
4He_4Hen_7Be_1,139.2,1.8,0.2,1.000
4He_4Hen_7Be_1,158.2,0.83,0.07,1.000
