source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
fresco,35.0,0.0025898747747496644,,1.000
fresco,40.0,0.23366679325141299,,1.000
fresco,45.0,0.2281122137454427,,1.000
fresco,50.0,0.37466476706673885,,1.000
fresco,55.0,9.657457010263293,,1.000
fresco,60.0,160.21496976779923,,1.000
fresco,65.0,513.8606078532566,,1.000
fresco,70.0,3984.337529887071,,1.000
fresco,75.0,3877.7749892887787,,1.000
fresco,80.0,15232.662989713577,,1.000
fresco,85.0,16728.984344407476,,1.000
fresco,90.0,26047.742301819213,,1.000
fresco,95.0,52454.87623421149,,1.000
fresco,100.0,72509.37068298402,,1.000
fresco,105.0,216131.56951923564,,1.000
fresco,110.0,630234.141555866,,1.000
fresco,115.0,1192094.2290142882,,1.000
fresco,120.0,1705833.3657279888,,1.000
fresco,125.0,3568944.7260158877,,1.000
fresco,130.0,10631926.244932864,,1.000
fresco,135.0,29810317.79213833,,1.000
fresco,140.0,42151847.82766545,,1.000
fresco,145.0,25743344.327409275,,1.000
fresco,150.0,39289380.15715547,,1.000
fresco,155.0,77220825.85838431,,1.000
fresco,160.0,77119566.32587509,,1.000
fresco,165.0,126225175.34741706,,1.000
fresco,170.0,143484409.68494013,,1.000
fresco,175.0,176136672.7903927,,1.000
fresco,180.0,233552929.09171245,,1.000
fresco,185.0,927682893.6808408,,1.000
fresco,190.0,1120620620.0351708,,1.000
fresco,195.0,1853073643.483232,,1.000
fresco,200.0,6320742410.275104,,1.000
fresco,205.0,7275685214.246191,,1.000
fresco,210.0,41000513562.09904,,1.000
fresco,215.0,13781436580.402838,,1.000
fresco,220.0,5328080452.920549,,1.000
fresco,225.0,7149544071.761371,,1.000
fresco,230.0,27926424422.937595,,1.000
fresco,235.0,6785228119.177191,,1.000
fresco,240.0,9050801241.2561,,1.000
fresco,245.0,6083837147.207759,,1.000
fresco,250.0,7335672631.896744,,1.000
fresco,255.0,15322949649.442356,,1.000
fresco,260.0,3455317208.8215075,,1.000
fresco,265.0,5383173654.860955,,1.000
fresco,270.0,4569663173.957666,,1.000
fresco,275.0,4254988271.358378,,1.000
fresco,280.0,3390372158.67427,,1.000
fresco,285.0,6260397121.803081,,1.000
fresco,290.0,2815355571.9218655,,1.000
fresco,295.0,3957564018.804003,,1.000
fresco,300.0,1282530812.9188633,,1.000
fresco,305.0,540858524.7240934,,1.000
fresco,310.0,340004833.23155224,,1.000
fresco,315.0,1020479326.7586349,,1.000
fresco,320.0,367010284.2863821,,1.000
fresco,325.0,283696860.18651193,,1.000
fresco,330.0,77871647.09636746,,1.000
fresco,335.0,56188302.460126154,,1.000
fresco,340.0,52643597.53960728,,1.000
fresco,345.0,26653051.319369175,,1.000
fresco,350.0,14680967.76337845,,1.000
fresco,355.0,13508213.831825053,,1.000
fresco,360.0,3575151.2487518075,,1.000
fresco,365.0,2379816.328549714,,1.000
fresco,370.0,1739741.8848987077,,1.000
fresco,375.0,526502.7035790522,,1.000
fresco,380.0,520789.5373875473,,1.000
fresco,385.0,62775.21159155344,,1.000
fresco,390.0,42335.51029325613,,1.000
fresco,395.0,9803.884238141127,,1.000
fresco,400.0,18301.243343376416,,1.000
4He_4Hep_7Li_1,61.5,30.2,3.7,1.000
4He_4Hep_7Li_1,80.8,17.0,1.5,1.000
4He_4Hep_7Li_1,118.9,3.9,0.3,1.000
4He_4Hep_7Li_1,139.2,2.0,0.2,1.000
4He_4Hep_7Li_1,158.2,0.94,0.08,1.000
