source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
fresco,25.0,0.25583085983763587,,1.000
fresco,30.0,0.7833436749387803,,1.000
fresco,35.0,1.011240223567154,,1.000
fresco,40.0,0.9869492887328742,,1.000
fresco,45.0,0.9196498425942269,,1.000
fresco,50.0,0.7277270989537278,,1.000
fresco,55.0,0.5839836526877181,,1.000
fresco,60.0,0.47347028408070113,,1.000
fresco,65.0,0.37445272785825745,,1.000
fresco,70.0,0.3083473867919725,,1.000
fresco,75.0,0.2561100477997087,,1.000
fresco,80.0,0.213226209561897,,1.000
fresco,85.0,0.17595245758607514,,1.000
fresco,90.0,0.14285366954099843,,1.000
fresco,95.0,0.11547078723470273,,1.000
fresco,100.0,0.09349381345343312,,1.000
fresco,105.0,0.07686077793545584,,1.000
fresco,110.0,0.06537003926479111,,1.000
fresco,115.0,0.05820500366501636,,1.000
fresco,120.0,0.05488452747057164,,1.000
fresco,125.0,0.05468217105469844,,1.000
fresco,130.0,0.056079294246454484,,1.000
fresco,135.0,0.058028474262836714,,1.000
fresco,140.0,0.060234102121583366,,1.000
fresco,145.0,0.06195631597169574,,1.000
fresco,150.0,0.06266248815030494,,1.000
fresco,155.0,0.06211456184938412,,1.000
fresco,160.0,0.060138099210170215,,1.000
fresco,165.0,0.05690471513554773,,1.000
fresco,170.0,0.05260677556270448,,1.000
fresco,175.0,0.047427858102999106,,1.000
fresco,180.0,0.04172347981972443,,1.000
fresco,185.0,0.035775524607886806,,1.000
fresco,190.0,0.02987155803125676,,1.000
fresco,195.0,0.024258553891244778,,1.000
fresco,200.0,0.01913947501907188,,1.000
fresco,205.0,0.014658988622382775,,1.000
fresco,210.0,0.01090865261448214,,1.000
fresco,215.0,0.007922952881177156,,1.000
fresco,220.0,0.0056915897357512945,,1.000
fresco,225.0,0.004164904796543289,,1.000
fresco,230.0,0.0032647153308996285,,1.000
fresco,235.0,0.0028910587658664277,,1.000
fresco,240.0,0.002933921222189864,,1.000
fresco,245.0,0.003279928149873613,,1.000
fresco,250.0,0.0038199765241827065,,1.000
fresco,255.0,0.004454868835486355,,1.000
fresco,260.0,0.005098609030610526,,1.000
fresco,265.0,0.00568176381480873,,1.000
fresco,270.0,0.006151365028856518,,1.000
fresco,275.0,0.00647239593838397,,1.000
fresco,280.0,0.0066258865438324705,,1.000
fresco,285.0,0.006608207123109711,,1.000
fresco,290.0,0.006426705256411957,,1.000
fresco,295.0,0.006100356504216701,,1.000
fresco,300.0,0.005654093873651496,,1.000
fresco,305.0,0.0051178189354391295,,1.000
fresco,310.0,0.004523829718823603,,1.000
fresco,315.0,0.003903818670386724,,1.000
fresco,320.0,0.003287904018290905,,1.000
fresco,325.0,0.0027030826600299663,,1.000
fresco,330.0,0.002171549487186371,,1.000
fresco,335.0,0.0017107615969435134,,1.000
fresco,340.0,0.0013328281154178169,,1.000
fresco,345.0,0.0010442217258644644,,1.000
fresco,350.0,0.0008466405506592075,,1.000
fresco,355.0,0.0007370343764638726,,1.000
fresco,360.0,0.0007086721125283212,,1.000
fresco,365.0,0.000751672999489268,,1.000
fresco,370.0,0.0008537457668141556,,1.000
fresco,375.0,0.0010012641641527445,,1.000
fresco,380.0,0.0011801150206252715,,1.000
fresco,385.0,0.001376151489332708,,1.000
fresco,390.0,0.0015757139201640286,,1.000
fresco,395.0,0.001766826572664495,,1.000
fresco,400.0,0.0019389372424536441,,1.000
4He_pd_3He_1,,31.543456275482317,1.5732707501769423,0.458
O2382002,92.0,34.9,3.8,1.000
