source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
fresco,5.0,2.7621055138179092e+85,,1.000
fresco,10.0,5.204688413343777e+65,,1.000
fresco,15.0,1.0152207380626635e+54,,1.000
fresco,20.0,6.902954920186396e+28,,1.000
fresco,25.0,5.963249691061219e+36,,1.000
fresco,30.0,1.4790725088348375e+34,,1.000
fresco,35.0,6.082424717850443e+26,,1.000
fresco,40.0,1.1335628196578648e+28,,1.000
fresco,45.0,8.753083070818244e+21,,1.000
fresco,50.0,13708.421385143665,,1.000
fresco,55.0,195174432904329.12,,1.000
fresco,60.0,1363645376902.1636,,1.000
fresco,65.0,130699030512459.64,,1.000
fresco,70.0,103139575.91339554,,1.000
fresco,75.0,3033911.8362457165,,1.000
fresco,80.0,459.68556949551567,,1.000
fresco,85.0,554.84999884517,,1.000
fresco,90.0,143.09444471411183,,1.000
fresco,95.0,766.3081476093432,,1.000
fresco,100.0,19.36196504417636,,1.000
fresco,105.0,26.367292652181956,,1.000
fresco,110.0,125.2790804429627,,1.000
fresco,115.0,178.1821884218558,,1.000
fresco,120.0,52.875869000713145,,1.000
fresco,125.0,27.83421023138567,,1.000
fresco,130.0,12.82189664544223,,1.000
fresco,135.0,7.395351274312551,,1.000
fresco,140.0,3.3869056571675906,,1.000
fresco,145.0,0.9593330108443338,,1.000
fresco,150.0,2.038507459164426,,1.000
fresco,155.0,1.1353352715614027,,1.000
fresco,160.0,0.43799381634181295,,1.000
fresco,165.0,0.1184068178074857,,1.000
fresco,170.0,0.04126551257535189,,1.000
fresco,175.0,0.05457488694933784,,1.000
fresco,180.0,0.011370880017338653,,1.000
fresco,185.0,0.003435374208056628,,1.000
fresco,190.0,0.0034506999476961644,,1.000
fresco,195.0,0.0011154533685171443,,1.000
fresco,200.0,0.0007251538869915516,,1.000
fresco,205.0,0.0002466276754802641,,1.000
fresco,210.0,0.00038160856392229685,,1.000
fresco,215.0,0.00013090179766494492,,1.000
fresco,220.0,0.0001265366702514954,,1.000
fresco,225.0,0.00010133436466450634,,1.000
fresco,230.0,9.716707395269028e-05,,1.000
fresco,235.0,8.72614909492081e-05,,1.000
fresco,240.0,8.709515786385955e-05,,1.000
fresco,245.0,8.753041125842536e-05,,1.000
fresco,250.0,8.776718949150205e-05,,1.000
fresco,255.0,8.837347279113924e-05,,1.000
fresco,260.0,8.887900016104212e-05,,1.000
fresco,265.0,8.922916842086053e-05,,1.000
fresco,270.0,8.938490578673526e-05,,1.000
fresco,275.0,8.948919732428367e-05,,1.000
fresco,280.0,8.94940764589197e-05,,1.000
fresco,285.0,8.942530238508822e-05,,1.000
fresco,290.0,8.928839434281548e-05,,1.000
fresco,295.0,8.909205167526366e-05,,1.000
fresco,300.0,8.886224725905694e-05,,1.000
fresco,305.0,8.861225606160303e-05,,1.000
fresco,310.0,8.83592375601674e-05,,1.000
fresco,315.0,8.812033771666396e-05,,1.000
fresco,320.0,8.791201581793719e-05,,1.000
fresco,325.0,8.775050281581678e-05,,1.000
fresco,330.0,8.76518923631672e-05,,1.000
fresco,335.0,8.763210851566311e-05,,1.000
fresco,340.0,8.77055997870646e-05,,1.000
fresco,345.0,8.788611025718133e-05,,1.000
fresco,350.0,8.818659099625013e-05,,1.000
fresco,355.0,8.861751960922348e-05,,1.000
fresco,360.0,8.91880782601536e-05,,1.000
fresco,365.0,8.990662733759617e-05,,1.000
fresco,370.0,9.077954563264885e-05,,1.000
fresco,375.0,9.181085383618164e-05,,1.000
fresco,380.0,9.300464340382957e-05,,1.000
fresco,385.0,9.436250521072932e-05,,1.000
fresco,390.0,9.588667384605789e-05,,1.000
fresco,395.0,9.757707980878811e-05,,1.000
fresco,400.0,9.943379995059008e-05,,1.000
7Li_p4He_4He_1,61.5,30.2,3.7,1.000
7Li_p4He_4He_1,80.8,17.0,1.5,1.000
7Li_p4He_4He_1,118.9,3.9,0.3,1.000
7Li_p4He_4He_1,139.2,2.0,0.2,1.000
7Li_p4He_4He_1,158.2,0.94,0.08,1.000
