E_MeV,sigma_fresco_mb,sigma_norm_mb,scale_factor,extrapolated
40.000,0.341851,nan,0,0
45.000,0.43353,nan,0,0
50.000,0.407473,nan,0,0
55.000,3.41105,nan,0,0
60.000,259.809,nan,0,0
65.000,4524.97,21.3323,0.00471436,0
70.000,9912.48,19.1756,0.00193449,0
75.000,24736.3,17.3641,0.00070197,0
80.000,73681.9,15.8249,0.000214773,0
85.000,113955,12.8703,0.000112942,0
90.000,223882,10.3601,4.62748e-05,0
95.000,270042,8.43789,3.12466e-05,0
100.000,346317,6.94508,2.00541e-05,0
105.000,314468,5.77095,1.83515e-05,0
110.000,2.18375e+06,4.83681,2.21491e-06,0
115.000,3.01478e+07,4.08583,1.35527e-07,0
120.000,6.75075e+07,3.45713,5.12111e-08,0
125.000,8.19538e+07,2.88906,3.52523e-08,0
130.000,2.46327e+08,2.43139,9.87059e-09,0
135.000,1.12143e+08,2.05959,1.83658e-08,0
140.000,1.41312e+08,1.73866,1.23037e-08,0
145.000,5.02652e+08,1.40608,2.79732e-09,0
150.000,2.27481e+08,1.14533,5.03483e-09,0
155.000,1.44682e+08,0.939231,6.49169e-09,0
160.000,2.40433e+08,0.820662,3.41326e-09,1
165.000,1.75947e+08,0.795794,4.52291e-09,1
170.000,1.24515e+08,0.772388,6.20319e-09,1
175.000,1.91746e+08,0.75032,3.91309e-09,1
180.000,2.75398e+08,0.729478,2.64881e-09,1
185.000,1.02543e+09,0.709762,6.92161e-10,1
190.000,1.67382e+09,0.691084,4.12879e-10,1
195.000,2.05662e+09,0.673364,3.27413e-10,1
200.000,1.38411e+09,0.65653,4.74333e-10,1
205.000,2.60181e+09,0.640517,2.46181e-10,1
210.000,2.63892e+09,0.625267,2.3694e-10,1
215.000,1.66639e+09,0.610726,3.66495e-10,1
220.000,4.77123e+09,0.596845,1.25092e-10,1
225.000,6.3692e+09,0.583582,9.16257e-11,1
230.000,5.64594e+09,0.570896,1.01116e-10,1
235.000,2.25194e+09,0.558749,2.48119e-10,1
240.000,6.20151e+09,0.547108,8.82218e-11,1
245.000,6.1838e+09,0.535943,8.66688e-11,1
250.000,7.91117e+09,0.525224,6.63902e-11,1
255.000,5.30313e+09,0.514925,9.70985e-11,1
260.000,1.87249e+09,0.505023,2.69706e-10,1
265.000,3.11183e+09,0.495494,1.59229e-10,1
270.000,1.12382e+09,0.486319,4.32739e-10,1
275.000,1.83258e+09,0.477476,2.60549e-10,1
280.000,1.66613e+09,0.46895,2.8146e-10,1
285.000,3.19491e+08,0.460723,1.44205e-09,1
290.000,6.17991e+08,0.452779,7.32663e-10,1
295.000,1.03207e+09,0.445105,4.31276e-10,1
300.000,4.66092e+08,0.437687,9.39056e-10,1
305.000,2.41907e+08,0.430511,1.77965e-09,1
310.000,2.80482e+08,0.423568,1.51014e-09,1
315.000,1.36693e+08,0.416844,3.04949e-09,1
320.000,1.81504e+08,0.410331,2.26073e-09,1
325.000,2.20103e+08,0.404018,1.83559e-09,1
330.000,5.20427e+07,0.397897,7.64559e-09,1
335.000,5.37758e+07,0.391958,7.28874e-09,1
340.000,1.70481e+07,0.386194,2.26532e-08,1
345.000,1.94492e+07,0.380597,1.95688e-08,1
350.000,1.10947e+07,0.37516,3.38145e-08,1
355.000,4.37508e+06,0.369876,8.45416e-08,1
360.000,5.28935e+06,0.364739,6.89572e-08,1
365.000,6.41524e+06,0.359742,5.60762e-08,1
370.000,1.08049e+06,0.354881,3.28445e-07,1
375.000,349165,0.350149,1.00282e-06,1
380.000,824090,0.345542,4.19302e-07,1
385.000,54813.3,0.341055,6.22211e-06,1
390.000,31243.9,0.336682,1.07759e-05,1
395.000,32551.7,0.33242,1.02121e-05,1
400.000,5044.98,0.328265,6.50676e-05,1
