E_MeV,sigma_fresco_mb,sigma_norm_mb,scale_factor,extrapolated
35.000,0.00258987,nan,0,0
40.000,0.233667,nan,0,0
45.000,0.228112,nan,0,0
50.000,0.374665,nan,0,0
55.000,9.65746,nan,0,0
60.000,160.215,nan,0,0
65.000,513.861,26.8781,0.0523062,0
70.000,3984.34,22.9953,0.00577142,0
75.000,3877.77,19.8864,0.00512831,0
80.000,15232.7,17.3599,0.00113965,0
85.000,16729,14.0145,0.000837736,0
90.000,26047.7,11.2713,0.000432715,0
95.000,52454.9,9.17243,0.000174863,0
100.000,72509.4,7.54375,0.000104038,0
105.000,216132,6.26374,2.89811e-05,0
110.000,630234,5.24611,8.32406e-06,0
115.000,1.19209e+06,4.42858,3.71495e-06,0
120.000,1.70583e+06,3.75077,2.19879e-06,0
125.000,3.56894e+06,3.15507,8.84033e-07,0
130.000,1.06319e+07,2.67204,2.51322e-07,0
135.000,2.98103e+07,2.2772,7.63897e-08,0
140.000,4.21518e+07,1.9335,4.58698e-08,0
145.000,2.57433e+07,1.57186,6.10587e-08,0
150.000,3.92894e+07,1.28686,3.27533e-08,0
155.000,7.72208e+07,1.06047,1.37329e-08,0
160.000,7.71196e+07,0.929425,1.20517e-08,1
165.000,1.26225e+08,0.901261,7.1401e-09,1
170.000,1.43484e+08,0.874753,6.0965e-09,1
175.000,1.76137e+08,0.84976,4.82444e-09,1
180.000,2.33553e+08,0.826156,3.53734e-09,1
185.000,9.27683e+08,0.803827,8.66489e-10,1
190.000,1.12062e+09,0.782674,6.98429e-10,1
195.000,1.85307e+09,0.762605,4.11535e-10,1
200.000,6.32074e+09,0.74354,1.17635e-10,1
205.000,7.27569e+09,0.725405,9.97026e-11,1
210.000,4.10005e+10,0.708133,1.72713e-11,1
215.000,1.37814e+10,0.691665,5.01882e-11,1
220.000,5.32808e+09,0.675945,1.26865e-10,1
225.000,7.14954e+09,0.660924,9.24429e-11,1
230.000,2.79264e+10,0.646557,2.31521e-11,1
235.000,6.78523e+09,0.6328,9.32614e-11,1
240.000,9.0508e+09,0.619617,6.84599e-11,1
245.000,6.08384e+09,0.606971,9.97679e-11,1
250.000,7.33567e+09,0.594832,8.10876e-11,1
255.000,1.53229e+10,0.583169,3.80585e-11,1
260.000,3.45532e+09,0.571954,1.65529e-10,1
265.000,5.38317e+09,0.561162,1.04244e-10,1
270.000,4.56966e+09,0.55077,1.20528e-10,1
275.000,4.25499e+09,0.540756,1.27088e-10,1
280.000,3.39037e+09,0.5311,1.56649e-10,1
285.000,6.2604e+09,0.521782,8.33465e-11,1
290.000,2.81536e+09,0.512786,1.82139e-10,1
295.000,3.95756e+09,0.504095,1.27375e-10,1
300.000,1.28253e+09,0.495693,3.86496e-10,1
305.000,5.40859e+08,0.487567,9.01469e-10,1
310.000,3.40005e+08,0.479703,1.41087e-09,1
315.000,1.02048e+09,0.472089,4.62615e-10,1
320.000,3.6701e+08,0.464712,1.26621e-09,1
325.000,2.83697e+08,0.457563,1.61286e-09,1
330.000,7.78716e+07,0.45063,5.78683e-09,1
335.000,5.61883e+07,0.443904,7.9003e-09,1
340.000,5.26436e+07,0.437376,8.30826e-09,1
345.000,2.66531e+07,0.431038,1.61722e-08,1
350.000,1.4681e+07,0.42488,2.89409e-08,1
355.000,1.35082e+07,0.418896,3.10104e-08,1
360.000,3.57515e+06,0.413078,1.15541e-07,1
365.000,2.37982e+06,0.407419,1.71198e-07,1
370.000,1.73974e+06,0.401914,2.31019e-07,1
375.000,526503,0.396555,7.53186e-07,1
380.000,520790,0.391337,7.5143e-07,1
385.000,62775.2,0.386255,6.15298e-06,1
390.000,42335.5,0.381303,9.00668e-06,1
395.000,9803.88,0.376476,3.84007e-05,1
400.000,18301.2,0.37177,2.03139e-05,1
