E_MeV,sigma_fresco_mb,sigma_norm_mb,scale_factor,extrapolated
25.000,0.255831,68.1485,266.381,0
30.000,0.783344,208.668,266.381,0
35.000,1.01124,269.375,266.381,0
40.000,0.986949,262.905,266.381,0
45.000,0.91965,244.977,266.381,0
50.000,0.727727,193.853,266.381,0
55.000,0.583984,155.562,266.381,0
60.000,0.47347,126.124,266.381,0
65.000,0.374453,99.7471,266.381,0
70.000,0.308347,82.1379,266.381,0
75.000,0.25611,68.2229,266.381,0
80.000,0.213226,56.7994,266.381,0
85.000,0.175952,46.8704,266.381,0
90.000,0.142854,38.0535,266.381,0
95.000,0.115471,30.7592,266.381,0
100.000,0.0934938,24.905,266.381,0
105.000,0.0768608,20.4743,266.381,0
110.000,0.06537,17.4133,266.381,0
115.000,0.058205,15.5047,266.381,0
120.000,0.0548845,14.6202,266.381,0
125.000,0.0546822,14.5663,266.381,0
130.000,0.0560793,14.9385,266.381,0
135.000,0.0580285,15.4577,266.381,0
140.000,0.0602341,16.0452,266.381,0
145.000,0.0619563,16.504,266.381,0
150.000,0.0626625,16.6921,266.381,0
155.000,0.0621146,16.5461,266.381,0
160.000,0.0601381,16.0197,266.381,0
165.000,0.0569047,15.1583,266.381,0
170.000,0.0526068,14.0135,266.381,0
175.000,0.0474279,12.6339,266.381,0
180.000,0.0417235,11.1143,266.381,0
185.000,0.0357755,9.52992,266.381,0
190.000,0.0298716,7.95722,266.381,0
195.000,0.0242586,6.46202,266.381,0
200.000,0.0191395,5.09839,266.381,0
205.000,0.014659,3.90488,266.381,0
210.000,0.0109087,2.90586,266.381,0
215.000,0.00792295,2.11053,266.381,0
220.000,0.00569159,1.51613,266.381,0
225.000,0.0041649,1.10945,266.381,0
230.000,0.00326472,0.869659,266.381,0
235.000,0.00289106,0.770123,266.381,0
240.000,0.00293392,0.781541,266.381,0
245.000,0.00327993,0.873711,266.381,0
250.000,0.00381998,1.01757,266.381,0
255.000,0.00445487,1.18669,266.381,0
260.000,0.00509861,1.35817,266.381,0
265.000,0.00568176,1.51351,266.381,0
270.000,0.00615137,1.63861,266.381,0
275.000,0.0064724,1.72412,266.381,0
280.000,0.00662589,1.76501,266.381,0
285.000,0.00660821,1.7603,266.381,0
290.000,0.00642671,1.71195,266.381,0
295.000,0.00610036,1.62502,266.381,0
300.000,0.00565409,1.50614,266.381,0
305.000,0.00511782,1.36329,266.381,0
310.000,0.00452383,1.20506,266.381,0
315.000,0.00390382,1.0399,266.381,0
320.000,0.0032879,0.875836,266.381,0
325.000,0.00270308,0.72005,266.381,0
330.000,0.00217155,0.57846,266.381,0
335.000,0.00171076,0.455715,266.381,0
340.000,0.00133283,0.35504,266.381,0
345.000,0.00104422,0.278161,266.381,0
350.000,0.000846641,0.225529,266.381,0
355.000,0.000737034,0.196332,266.381,0
360.000,0.000708672,0.188777,266.381,0
365.000,0.000751673,0.200232,266.381,0
370.000,0.000853746,0.227422,266.381,0
375.000,0.00100126,0.266718,266.381,0
380.000,0.00118012,0.31436,266.381,0
385.000,0.00137615,0.366581,266.381,0
390.000,0.00157571,0.41974,266.381,0
395.000,0.00176683,0.470649,266.381,0
400.000,0.00193894,0.516496,266.381,0
