E_MeV,sigma_fresco_mb,sigma_norm_mb,scale_factor,extrapolated
5.000,2.76211e+85,nan,0,0
10.000,5.20469e+65,nan,0,0
15.000,1.01522e+54,nan,0,0
20.000,6.90295e+28,nan,0,0
25.000,5.96325e+36,nan,0,0
30.000,1.47907e+34,nan,0,0
35.000,6.08242e+26,nan,0,0
40.000,1.13356e+28,nan,0,0
45.000,8.75308e+21,nan,0,0
50.000,13708.4,nan,0,0
55.000,1.95174e+14,nan,0,0
60.000,1.36365e+12,nan,0,0
65.000,1.30699e+14,26.8781,2.05649e-13,0
70.000,1.0314e+08,22.9953,2.22953e-07,0
75.000,3.03391e+06,19.8864,6.55471e-06,0
80.000,459.686,17.3599,0.0377647,0
85.000,554.85,14.0145,0.0252581,0
90.000,143.094,11.2713,0.078768,0
95.000,766.308,9.17243,0.0119696,0
100.000,19.362,7.54375,0.389617,0
105.000,26.3673,6.26374,0.237557,0
110.000,125.279,5.24611,0.0418754,0
115.000,178.182,4.42858,0.0248542,0
120.000,52.8759,3.75077,0.0709354,0
125.000,27.8342,3.15507,0.113352,0
130.000,12.8219,2.67204,0.208397,0
135.000,7.39535,2.2772,0.307923,0
140.000,3.38691,1.9335,0.570874,0
145.000,0.959333,1.57186,1.63849,0
150.000,2.03851,1.28686,0.631275,0
155.000,1.13534,1.06047,0.934058,0
160.000,0.437994,0.929425,2.122,1
165.000,0.118407,0.901261,7.61156,1
170.000,0.0412655,0.874753,21.1982,1
175.000,0.0545749,0.84976,15.5705,1
180.000,0.0113709,0.826156,72.6554,1
185.000,0.00343537,0.803827,233.985,1
190.000,0.0034507,0.782674,226.816,1
195.000,0.00111545,0.762605,683.673,1
200.000,0.000725154,0.74354,1025.35,1
205.000,0.000246628,0.725405,2941.3,1
210.000,0.000381609,0.708133,1855.65,1
215.000,0.000130902,0.691665,5283.85,1
220.000,0.000126537,0.675945,5341.89,1
225.000,0.000101334,0.660924,6522.21,1
230.000,9.71671e-05,0.646557,6654.07,1
235.000,8.72615e-05,0.6328,7251.77,1
240.000,8.70952e-05,0.619617,7114.25,1
245.000,8.75304e-05,0.606971,6934.41,1
250.000,8.77672e-05,0.594832,6777.38,1
255.000,8.83735e-05,0.583169,6598.91,1
260.000,8.8879e-05,0.571954,6435.2,1
265.000,8.92292e-05,0.561162,6289,1
270.000,8.93849e-05,0.55077,6161.78,1
275.000,8.94892e-05,0.540756,6042.7,1
280.000,8.94941e-05,0.5311,5934.47,1
285.000,8.94253e-05,0.521782,5834.84,1
290.000,8.92884e-05,0.512786,5743.03,1
295.000,8.90921e-05,0.504095,5658.14,1
300.000,8.88622e-05,0.495693,5578.22,1
305.000,8.86123e-05,0.487567,5502.25,1
310.000,8.83592e-05,0.479703,5429.01,1
315.000,8.81203e-05,0.472089,5357.32,1
320.000,8.7912e-05,0.464712,5286.11,1
325.000,8.77505e-05,0.457563,5214.36,1
330.000,8.76519e-05,0.45063,5141.14,1
335.000,8.76321e-05,0.443904,5065.55,1
340.000,8.77056e-05,0.437376,4986.87,1
345.000,8.78861e-05,0.431038,4904.5,1
350.000,8.81866e-05,0.42488,4817.97,1
355.000,8.86175e-05,0.418896,4727.01,1
360.000,8.91881e-05,0.413078,4631.54,1
365.000,8.99066e-05,0.407419,4531.58,1
370.000,9.07795e-05,0.401914,4427.36,1
375.000,9.18109e-05,0.396555,4319.26,1
380.000,9.30046e-05,0.391337,4207.71,1
385.000,9.43625e-05,0.386255,4093.31,1
390.000,9.58867e-05,0.381303,3976.6,1
395.000,9.75771e-05,0.376476,3858.24,1
400.000,9.94338e-05,0.37177,3738.87,1
