theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,143010000000000.0,0.99998
1.0,1258800.0,0.88015
2.0,64232.0,0.71847
3.0,14962.0,0.84705
4.0,9111.431432,1.6297
5.0,7678.697577,3.3515
6.0,6750.134934,6.1059
7.0,5806.845701,9.7247
8.0,4826.391853,13.778
9.0,3862.772956,17.649
10.0,2969.467254,20.658
11.0,2184.516085,22.227
12.0,1529.065804,22.009
13.0,1009.387071,19.986
14.0,619.969695,16.489
15.0,346.917821,12.141
16.0,171.249239,7.7462
17.0,71.829401,4.1338
18.0,27.760657,2.0045
19.0,20.135663,1.8015
20.0,33.146213,3.6337
21.0,54.605318,7.2611
22.0,75.985192,12.144
23.0,92.096223,17.543
24.0,100.534939,22.65
25.0,101.01759,26.729
26.0,94.695715,29.236
27.0,83.525876,29.909
28.0,69.741336,28.802
29.0,55.451102,26.275
30.0,42.373016,22.925
31.0,31.692835,19.489
32.0,24.03081,16.725
33.0,19.490869,15.291
34.0,17.764933,15.651
35.0,18.265509,18.007
36.0,20.262995,22.278
37.0,23.009244,28.122
38.0,25.834992,34.995
39.0,28.214925,42.237
40.0,29.799746,49.165
41.0,30.41893,55.167
42.0,30.060735,59.78
43.0,28.837394,62.733
44.0,26.943371,63.972
45.0,24.613515,63.646
46.0,22.086273,62.068
47.0,19.575178,59.668
48.0,17.249991,56.922
49.0,15.227334,54.296
50.0,13.569561,52.191
51.0,12.289957,50.901
52.0,11.362107,50.59
53.0,10.731398,51.286
54.0,10.32687,52.892
55.0,10.072077,55.205
56.0,9.894084,57.949
57.0,9.730108,60.814
58.0,9.531689,63.488
59.0,9.266562,65.692
60.0,8.918529,67.206
61.0,8.485802,67.89
62.0,7.978268,67.686
63.0,7.414156,66.625
64.0,6.81653,64.809
65.0,6.209973,62.401
66.0,5.617744,59.598
67.0,5.0596,56.612
68.0,4.550383,53.645
69.0,4.099379,50.871
70.0,3.710376,48.419
71.0,3.382287,46.373
72.0,3.110153,44.76
73.0,2.886342,43.565
74.0,2.701766,42.73
75.0,2.546978,42.174
76.0,2.41305,41.799
77.0,2.292197,41.504
78.0,2.178144,41.192
79.0,2.066268,40.782
80.0,1.953574,40.21
81.0,1.838542,39.435
82.0,1.720901,38.438
83.0,1.601365,37.221
84.0,1.481353,35.805
85.0,1.362704,34.227
86.0,1.247417,32.537
87.0,1.137422,30.79
88.0,1.034387,29.041
89.0,0.939586,27.341
90.0,0.853827,25.736
91.0,0.777437,24.259
92.0,0.710299,22.931
93.0,0.651921,21.761
94.0,0.60153,20.749
95.0,0.558165,19.885
96.0,0.520768,19.15
97.0,0.488253,18.523
98.0,0.45957,17.977
99.0,0.433744,17.484
100.0,0.409916,17.02
101.0,0.387369,16.557
102.0,0.365546,16.076
103.0,0.344063,15.562
104.0,0.322708,15.003
105.0,0.301425,14.397
106.0,0.280291,13.748
107.0,0.259475,13.063
108.0,0.239209,12.355
109.0,0.219741,11.638
110.0,0.20131,10.928
111.0,0.184121,10.24
112.0,0.168334,9.5875
113.0,0.154058,8.9814
114.0,0.141343,8.4309
115.0,0.130188,7.9419
116.0,0.120534,7.5167
117.0,0.112272,7.1543
118.0,0.105239,6.8498
119.0,0.099236,6.5945
120.0,0.094032,6.3772
121.0,0.089391,6.1847
122.0,0.08509,6.0033
123.0,0.08094,5.8209
124.0,0.076802,5.6279
125.0,0.072597,5.4184
126.0,0.068307,5.1907
127.0,0.063965,4.947
128.0,0.059641,4.6927
129.0,0.055428,4.4353
130.0,0.051425,4.1832
131.0,0.047718,3.9447
132.0,0.044375,3.7265
133.0,0.041435,3.5334
134.0,0.038905,3.3678
135.0,0.036763,3.2293
136.0,0.034953,3.1145
137.0,0.033397,3.0176
138.0,0.031998,2.9306
139.0,0.03065,2.8446
140.0,0.029256,2.7504
141.0,0.027736,2.6404
142.0,0.026044,2.5097
143.0,0.024175,2.3574
144.0,0.022172,2.1871
145.0,0.020116,2.0066
146.0,0.018125,1.8276
147.0,0.016326,1.6637
148.0,0.014847,1.5284
149.0,0.013789,1.4335
150.0,0.013213,1.3868
151.0,0.013131,1.3909
152.0,0.013498,1.4426
153.0,0.014221,1.5328
154.0,0.015161,1.6477
155.0,0.016153,1.7693
156.0,0.017018,1.8783
157.0,0.017587,1.9552
158.0,0.017713,1.983
159.0,0.017297,1.9493
160.0,0.016297,1.8482
161.0,0.014741,1.6818
162.0,0.012734,1.4611
163.0,0.010453,1.2059
164.0,0.00814,0.94375
165.0,0.006077,0.70795
166.0,0.004565,0.5342
167.0,0.003888,0.45685
168.0,0.00428,0.5048
169.0,0.005895,0.6978
170.0,0.008787,1.0434
171.0,0.012892,1.5353
172.0,0.018035,2.1533
173.0,0.023936,2.8644
174.0,0.030237,3.6257
175.0,0.036533,4.388
176.0,0.042403,5.1
177.0,0.047449,5.713
178.0,0.051324,6.1843
179.0,0.053762,6.481
179.99,0.054593,6.5823
