bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,0.0,0.0
5.0,10.0,0.0,0.0
10.0,15.0,0.0,0.0
15.0,20.0,9.460557097553059e-05,3.11113942351618e-15
20.0,25.0,0.00027729758588775224,9.119034350782443e-15
25.0,30.0,0.0006534229452572565,2.148805682643896e-14
30.0,35.0,0.0014780724741038738,4.8606963602471607e-14
35.0,40.0,0.0032380676260552713,1.064850594267607e-13
40.0,45.0,0.00653723710705136,2.1497947610168508e-13
45.0,50.0,0.014630244598257017,4.811210405050543e-13
50.0,55.0,0.02942111458977256,9.675243068688124e-13
55.0,60.0,0.053669257430236705,1.7649335118460938e-12
60.0,65.0,0.13141103551817024,4.321500827804411e-12
65.0,70.0,0.21228756031420112,6.981155456335703e-12
70.0,75.0,0.548336150262162,1.8032238448842958e-11
75.0,80.0,1.1260554851211506,3.7030753862615236e-11
80.0,85.0,2.8004834832509404,9.20949419765293e-11
85.0,90.0,7.469825517271072,2.45647993177696e-10
90.0,95.0,19.817000909648694,6.516894528527344e-10
95.0,100.0,49.723182268561416,1.6351653610167802e-09
100.0,105.0,30408656714.48627,0.9999999973054192
105.0,110.0,0.0,0.0
110.0,115.0,0.0,0.0
115.0,120.0,0.0,0.0
120.0,125.0,0.0,0.0
125.0,130.0,0.0,0.0
130.0,135.0,0.0,0.0
135.0,140.0,0.0,0.0
140.0,145.0,0.0,0.0
145.0,150.0,0.0,0.0
150.0,155.0,0.0,0.0
155.0,160.0,0.0,0.0
160.0,165.0,0.0,0.0
165.0,170.0,0.0,0.0
170.0,175.0,0.0,0.0
175.0,180.0,0.0,0.0
180.0,185.0,0.0,0.0
185.0,190.0,0.0,0.0
190.0,195.0,0.0,0.0
195.0,200.0,0.0,0.0
200.0,205.0,0.0,0.0
205.0,210.0,0.0,0.0
210.0,215.0,0.0,0.0
215.0,220.0,0.0,0.0
220.0,225.0,0.0,0.0
225.0,230.0,0.0,0.0
230.0,235.0,0.0,0.0
235.0,240.0,0.0,0.0
240.0,245.0,0.0,0.0
245.0,250.0,0.0,0.0
250.0,255.0,0.0,0.0
255.0,260.0,0.0,0.0
260.0,265.0,0.0,0.0
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
