E_lab_MeV,sigma_tot_mb
5.0,27368699789614.07
10.0,6842055336172.643
15.0,3040961324519.522
20.0,1710537754211.377
25.0,1094747989865.9225
30.0,760228369720.1174
35.0,558569302434.4108
40.0,427636830487.58026
45.0,337882996557.10547
50.0,273686997442.86896
55.0,226188273412.35233
60.0,190061876848.6881
65.0,161944431137.40457
70.0,139635149305.2832
75.0,121636539346.71724
80.0,106905619609.37115
85.0,94700820569.25182
90.0,84471945483.80298
95.0,75812327195.44858
100.0,68420553574.960754
105.0,62057408647.57092
110.0,56545872591.04637
115.0,51737631501.457016
120.0,47514034255.01691
125.0,43788963100.49599
130.0,40485390493.99561
135.0,37542077145.92402
140.0,34908309269.49799
145.0,32541984853.157604
150.0,30408656796.424854
155.0,28478662318.40295
160.0,26726166093.83456
165.0,25131073980.742226
170.0,23674727133.052803
175.0,22340858864.538967
180.0,21117029944.427265
185.0,19990801142.015087
190.0,18952603818.303562
195.0,17993347766.22236
200.0,17104899642.636812
205.0,16280561400.239544
210.0,15514591855.628334
215.0,14801249825.3856
220.0,14136229421.954058
225.0,13514746325.873571
230.0,12933451513.450407
235.0,12388995961.006685
240.0,11878030644.957453
245.0,11398163405.524204
250.0,10947002082.915443
255.0,10521676085.505613
260.0,10120750117.401552
265.0,9742788882.748425
270.0,9384921789.86355
275.0,9046670406.78726
280.0,8726599437.697638
285.0,8423273586.667924
290.0,8135257557.944419
295.0,7861594487.5938835
300.0,7601805943.6474
305.0,7354456630.262157
310.0,7119068115.518266
315.0,6895161967.420106
320.0,6681302890.184834
325.0,6477490883.733819
330.0,6282290652.319244
335.0,6096180627.801808
340.0,5918203946.326114
345.0,5747882175.918522
350.0,5584736884.659643
355.0,5428768072.545524
360.0,5279018875.675344
365.0,5135489294.043804
370.0,4997222463.747057
375.0,4865175248.696271
380.0,4737864509.878407
385.0,4615577306.424509
390.0,4497978735.965571
395.0,4384829582.572905
400.0,4275890630.235179
