input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_4He_p_7Li_10.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,10.0,-17.34545262438446,6842055336172.643,p
4He_4He_p_7Li_100.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,100.0,-17.34545262438446,68420553574.960754,p
4He_4He_p_7Li_105.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,105.0,-17.34545262438446,62057408647.57092,p
4He_4He_p_7Li_110.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,110.0,-17.34545262438446,56545872591.04637,p
4He_4He_p_7Li_115.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,115.0,-17.34545262438446,51737631501.457016,p
4He_4He_p_7Li_120.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,120.0,-17.34545262438446,47514034255.01691,p
4He_4He_p_7Li_125.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,125.0,-17.34545262438446,43788963100.49599,p
4He_4He_p_7Li_130.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,130.0,-17.34545262438446,40485390493.99561,p
4He_4He_p_7Li_135.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,135.0,-17.34545262438446,37542077145.92402,p
4He_4He_p_7Li_140.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,140.0,-17.34545262438446,34908309269.49799,p
4He_4He_p_7Li_145.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,145.0,-17.34545262438446,32541984853.157604,p
4He_4He_p_7Li_15.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,15.0,-17.34545262438446,3040961324519.522,p
4He_4He_p_7Li_150.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,150.0,-17.34545262438446,30408656796.424854,p
4He_4He_p_7Li_155.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,155.0,-17.34545262438446,28478662318.40295,p
4He_4He_p_7Li_160.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,160.0,-17.34545262438446,26726166093.83456,p
4He_4He_p_7Li_165.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,165.0,-17.34545262438446,25131073980.742226,p
4He_4He_p_7Li_170.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,170.0,-17.34545262438446,23674727133.052803,p
4He_4He_p_7Li_175.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,175.0,-17.34545262438446,22340858864.538967,p
4He_4He_p_7Li_180.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,180.0,-17.34545262438446,21117029944.427265,p
4He_4He_p_7Li_185.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,185.0,-17.34545262438446,19990801142.015087,p
4He_4He_p_7Li_190.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,190.0,-17.34545262438446,18952603818.303562,p
4He_4He_p_7Li_195.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,195.0,-17.34545262438446,17993347766.22236,p
4He_4He_p_7Li_20.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,20.0,-17.34545262438446,1710537754211.377,p
4He_4He_p_7Li_200.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,200.0,-17.34545262438446,17104899642.636812,p
4He_4He_p_7Li_205.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,205.0,-17.34545262438446,16280561400.239544,p
4He_4He_p_7Li_210.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,210.0,-17.34545262438446,15514591855.628334,p
4He_4He_p_7Li_215.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,215.0,-17.34545262438446,14801249825.3856,p
4He_4He_p_7Li_220.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,220.0,-17.34545262438446,14136229421.954058,p
4He_4He_p_7Li_225.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,225.0,-17.34545262438446,13514746325.873571,p
4He_4He_p_7Li_230.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,230.0,-17.34545262438446,12933451513.450407,p
4He_4He_p_7Li_235.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,235.0,-17.34545262438446,12388995961.006685,p
4He_4He_p_7Li_240.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,240.0,-17.34545262438446,11878030644.957453,p
4He_4He_p_7Li_245.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,245.0,-17.34545262438446,11398163405.524204,p
4He_4He_p_7Li_25.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,25.0,-17.34545262438446,1094747989865.9225,p
4He_4He_p_7Li_250.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,250.0,-17.34545262438446,10947002082.915443,p
4He_4He_p_7Li_255.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,255.0,-17.34545262438446,10521676085.505613,p
4He_4He_p_7Li_260.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,260.0,-17.34545262438446,10120750117.401552,p
4He_4He_p_7Li_265.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,265.0,-17.34545262438446,9742788882.748425,p
4He_4He_p_7Li_270.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,270.0,-17.34545262438446,9384921789.86355,p
4He_4He_p_7Li_275.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,275.0,-17.34545262438446,9046670406.78726,p
4He_4He_p_7Li_280.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,280.0,-17.34545262438446,8726599437.697638,p
4He_4He_p_7Li_285.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,285.0,-17.34545262438446,8423273586.667924,p
4He_4He_p_7Li_290.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,290.0,-17.34545262438446,8135257557.944419,p
4He_4He_p_7Li_295.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,295.0,-17.34545262438446,7861594487.5938835,p
4He_4He_p_7Li_30.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,30.0,-17.34545262438446,760228369720.1174,p
4He_4He_p_7Li_300.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,300.0,-17.34545262438446,7601805943.6474,p
4He_4He_p_7Li_305.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,305.0,-17.34545262438446,7354456630.262157,p
4He_4He_p_7Li_310.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,310.0,-17.34545262438446,7119068115.518266,p
4He_4He_p_7Li_315.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,315.0,-17.34545262438446,6895161967.420106,p
4He_4He_p_7Li_320.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,320.0,-17.34545262438446,6681302890.184834,p
4He_4He_p_7Li_325.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,325.0,-17.34545262438446,6477490883.733819,p
4He_4He_p_7Li_330.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,330.0,-17.34545262438446,6282290652.319244,p
4He_4He_p_7Li_335.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,335.0,-17.34545262438446,6096180627.801808,p
4He_4He_p_7Li_340.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,340.0,-17.34545262438446,5918203946.326114,p
4He_4He_p_7Li_345.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,345.0,-17.34545262438446,5747882175.918522,p
4He_4He_p_7Li_35.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,35.0,-17.34545262438446,558569302434.4108,p
4He_4He_p_7Li_350.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,350.0,-17.34545262438446,5584736884.659643,p
4He_4He_p_7Li_355.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,355.0,-17.34545262438446,5428768072.545524,p
4He_4He_p_7Li_360.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,360.0,-17.34545262438446,5279018875.675344,p
4He_4He_p_7Li_365.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,365.0,-17.34545262438446,5135489294.043804,p
4He_4He_p_7Li_370.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,370.0,-17.34545262438446,4997222463.747057,p
4He_4He_p_7Li_375.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,375.0,-17.34545262438446,4865175248.696271,p
4He_4He_p_7Li_380.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,380.0,-17.34545262438446,4737864509.878407,p
4He_4He_p_7Li_385.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,385.0,-17.34545262438446,4615577306.424509,p
4He_4He_p_7Li_390.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,390.0,-17.34545262438446,4497978735.965571,p
4He_4He_p_7Li_395.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,395.0,-17.34545262438446,4384829582.572905,p
4He_4He_p_7Li_40.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,40.0,-17.34545262438446,427636830487.58026,p
4He_4He_p_7Li_400.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,400.0,-17.34545262438446,4275890630.235179,p
4He_4He_p_7Li_45.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,45.0,-17.34545262438446,337882996557.10547,p
4He_4He_p_7Li_5.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,5.0,-17.34545262438446,27368699789614.07,p
4He_4He_p_7Li_50.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,50.0,-17.34545262438446,273686997442.86896,p
4He_4He_p_7Li_55.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,55.0,-17.34545262438446,226188273412.35233,p
4He_4He_p_7Li_60.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,60.0,-17.34545262438446,190061876848.6881,p
4He_4He_p_7Li_65.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,65.0,-17.34545262438446,161944431137.40457,p
4He_4He_p_7Li_70.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,70.0,-17.34545262438446,139635149305.2832,p
4He_4He_p_7Li_75.0MeV.out,he4_he4_p_li7,two_body,two_body_kinematics,75.0,-17.34545262438446,121636539346.71724,p
