theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,63559000000000.0,0.99997
1.0,529390.0,0.83284
2.0,30232.0,0.76086
3.0,12367.0,1.5753
4.0,10073.0,4.0537
5.0,8705.933977,8.5497
6.0,7222.258908,14.699
7.0,5678.839798,21.398
8.0,4216.702827,27.085
9.0,2940.762766,30.231
10.0,1908.225011,29.87
11.0,1134.616597,25.975
12.0,603.841393,19.556
13.0,279.152018,12.436
14.0,113.495835,6.7917
15.0,58.160321,4.5797
16.0,69.092421,7.0319
17.0,110.73116,14.338
18.0,157.579244,25.6
19.0,193.988184,39.051
20.0,212.734845,52.473
21.0,212.953038,63.714
22.0,197.894088,71.162
23.0,172.865607,74.088
24.0,143.568018,72.777
25.0,114.931743,68.424
26.0,90.463348,62.841
27.0,72.039361,58.04
28.0,60.042513,55.793
29.0,53.715479,57.269
30.0,51.609252,62.825
31.0,52.022618,71.979
32.0,53.359711,83.557
33.0,54.367208,95.967
34.0,54.244788,107.53
35.0,52.646784,116.78
36.0,49.607087,122.71
37.0,45.423275,124.91
38.0,40.531999,123.53
39.0,35.398951,119.23
40.0,30.436737,112.99
41.0,25.95497,105.91
42.0,22.140367,99.065
43.0,19.060769,93.296
44.0,16.685463,89.137
45.0,14.914241,86.772
46.0,13.608671,86.049
47.0,12.620594,86.556
48.0,11.814538,87.718
49.0,11.082455,88.912
50.0,10.350642,89.573
51.0,9.579914,89.272
52.0,8.760798,87.767
53.0,7.90582,85.011
54.0,7.0408,81.139
55.0,6.196705,76.419
56.0,5.403034,71.202
57.0,4.683229,65.859
58.0,4.05218,60.728
59.0,3.515592,56.075
60.0,3.070839,52.066
61.0,2.708815,48.761
62.0,2.416295,46.124
63.0,2.178346,44.044
64.0,1.980419,42.366
65.0,1.809865,40.92
66.0,1.656793,39.548
67.0,1.514307,38.123
68.0,1.378277,36.56
69.0,1.246831,34.813
70.0,1.119754,32.878
71.0,0.997907,30.784
72.0,0.882738,28.584
73.0,0.775869,26.349
74.0,0.678775,24.154
75.0,0.592522,22.076
76.0,0.517587,20.173
77.0,0.453783,18.487
78.0,0.400293,17.033
79.0,0.355812,15.801
80.0,0.318765,14.762
81.0,0.287542,13.877
82.0,0.26069,13.101
83.0,0.237038,12.396
84.0,0.215722,11.732
85.0,0.196161,11.086
86.0,0.177977,10.445
87.0,0.160936,9.8021
88.0,0.144898,9.153
89.0,0.129798,8.4983
90.0,0.115645,7.843
91.0,0.102505,7.1967
92.0,0.090485,6.5725
93.0,0.079691,5.9852
94.0,0.070187,5.4474
95.0,0.061971,4.9674
96.0,0.054961,4.5475
97.0,0.049017,4.184
98.0,0.043965,3.8694
99.0,0.039637,3.5951
100.0,0.035889,3.3527
101.0,0.032609,3.136
102.0,0.029712,2.9401
103.0,0.027128,2.7606
104.0,0.024791,2.5932
105.0,0.022638,2.4329
106.0,0.020615,2.275
107.0,0.018685,2.1166
108.0,0.016839,1.9568
109.0,0.015087,1.7979
110.0,0.013457,1.6437
111.0,0.011975,1.4986
112.0,0.010657,1.3657
113.0,0.009501,1.2463
114.0,0.00849,1.1395
115.0,0.007602,1.0434
116.0,0.006814,0.95614
117.0,0.006115,0.87671
118.0,0.005499,0.80524
119.0,0.004966,0.74247
120.0,0.004515,0.68889
121.0,0.004137,0.64396
122.0,0.003817,0.6059
123.0,0.003535,0.57209
124.0,0.003275,0.53989
125.0,0.003022,0.50755
126.0,0.002776,0.47457
127.0,0.002538,0.44164
128.0,0.002315,0.4099
129.0,0.002112,0.38022
130.0,0.001927,0.35265
131.0,0.001755,0.32649
132.0,0.001591,0.30069
133.0,0.001431,0.27457
134.0,0.001275,0.24829
135.0,0.001127,0.22284
136.0,0.000996,0.19972
137.0,0.000887,0.18029
138.0,0.000802,0.16518
139.0,0.000738,0.15411
140.0,0.00069,0.14598
141.0,0.000651,0.13942
142.0,0.000615,0.13328
143.0,0.000579,0.12703
144.0,0.000544,0.12073
145.0,0.000511,0.11475
146.0,0.000482,0.10935
147.0,0.000455,0.10431
148.0,0.000427,0.099017
149.0,0.000396,0.09271
150.0,0.00036,0.084976
151.0,0.000319,0.076065
152.0,0.000278,0.066907
153.0,0.000242,0.058791
154.0,0.000216,0.052872
155.0,0.000202,0.049732
156.0,0.000198,0.049181
157.0,0.000201,0.050363
158.0,0.000207,0.052072
159.0,0.00021,0.053164
160.0,0.000207,0.052883
161.0,0.000199,0.051001
162.0,0.000185,0.047736
163.0,0.000168,0.043507
164.0,0.000148,0.038674
165.0,0.000128,0.03343
166.0,0.000106,0.027913
167.0,8.5067e-05,0.022489
168.0,6.7832e-05,0.018001
169.0,5.9221e-05,0.015772
170.0,6.47e-05,0.017286
171.0,8.8361e-05,0.023676
172.0,0.000131,0.035256
173.0,0.000191,0.051345
174.0,0.000261,0.07045
175.0,0.000335,0.090657
176.0,0.000407,0.11004
177.0,0.000469,0.12692
178.0,0.000516,0.13997
179.0,0.000546,0.14821
179.99,0.000557,0.15102
