bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,26918416.30506025,0.02127659574468085
5.0,10.0,26918416.30506025,0.02127659574468085
10.0,15.0,26918416.30506025,0.02127659574468085
15.0,20.0,26918416.30506025,0.02127659574468085
20.0,25.0,26918416.30506025,0.02127659574468085
25.0,30.0,26918416.30506025,0.02127659574468085
30.0,35.0,26918416.30506025,0.02127659574468085
35.0,40.0,26918416.30506025,0.02127659574468085
40.0,45.0,26918416.30506025,0.02127659574468085
45.0,50.0,26918416.30506025,0.02127659574468085
50.0,55.0,26918416.30506025,0.02127659574468085
55.0,60.0,26918416.30506025,0.02127659574468085
60.0,65.0,26918416.30506025,0.02127659574468085
65.0,70.0,26918416.30506025,0.02127659574468085
70.0,75.0,26918416.30506025,0.02127659574468085
75.0,80.0,26918416.30506025,0.02127659574468085
80.0,85.0,26918416.30506025,0.02127659574468085
85.0,90.0,26918416.30506025,0.02127659574468085
90.0,95.0,26918416.30506025,0.02127659574468085
95.0,100.0,26918416.30506025,0.02127659574468085
100.0,105.0,26918416.30506025,0.02127659574468085
105.0,110.0,26918416.30506025,0.02127659574468085
110.0,115.0,26918416.30506025,0.02127659574468085
115.0,120.0,26918416.30506025,0.02127659574468085
120.0,125.0,26918416.30506025,0.02127659574468085
125.0,130.0,26918416.30506025,0.02127659574468085
130.0,135.0,26918416.30506025,0.02127659574468085
135.0,140.0,26918416.30506025,0.02127659574468085
140.0,145.0,26918416.30506025,0.02127659574468085
145.0,150.0,26918416.30506025,0.02127659574468085
150.0,155.0,26918416.30506025,0.02127659574468085
155.0,160.0,26918416.30506025,0.02127659574468085
160.0,165.0,26918416.30506025,0.02127659574468085
165.0,170.0,26918416.30506025,0.02127659574468085
170.0,175.0,26918416.30506025,0.02127659574468085
175.0,180.0,26918416.30506025,0.02127659574468085
180.0,185.0,26918416.30506025,0.02127659574468085
185.0,190.0,26918416.30506025,0.02127659574468085
190.0,195.0,26918416.30506025,0.02127659574468085
195.0,200.0,26918416.30506025,0.02127659574468085
200.0,205.0,26918416.30506025,0.02127659574468085
205.0,210.0,26918416.30506025,0.02127659574468085
210.0,215.0,26918416.30506025,0.02127659574468085
215.0,220.0,26918416.30506025,0.02127659574468085
220.0,225.0,26918416.30506025,0.02127659574468085
225.0,230.0,26918416.30506025,0.02127659574468085
230.0,235.0,26918416.30506025,0.02127659574468085
235.0,240.0,0.0,0.0
240.0,245.0,0.0,0.0
245.0,250.0,0.0,0.0
250.0,255.0,0.0,0.0
255.0,260.0,0.0,0.0
260.0,265.0,0.0,0.0
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
